u x R1 R2 R3
9.2103403719761836 10000.000000000009 37499623.401414379 249882628271.34955 1873288959473880.8
9.2123657809237063 10020.274614737269 37651908.234768279 251406295606.20233 1888534087880355.3
9.2143911898712272 10040.590335474786 37804815.052216798 252939252286.27429 1903903271285408.8
9.2164165988187499 10060.947245553429 37958341.963335238 254481555077.76785 1919397519095847.5
9.2184420077662708 10081.345428482960 38112491.547734283 256033260821.27615 1935017848930619.3
9.2204674167137934 10101.784967942534 38267264.593192592 257594426795.51401 1950765286683541.0
9.2224928256613143 10122.265947780885 38422664.245621487 259165110622.70255 1966640866591769.0
9.2245182346088370 10142.788452016821 38578692.174436852 260745370170.44653 1982645631301500.0
9.2265436435563579 10163.352564839421 38735361.843165502 262335264003.12317 1998780631939870.3
9.2285690525038806 10183.958370608529 38892667.821467556 263934850988.82101 2015046928201223.0
9.2305944614514015 10204.605953854949 39050609.243841857 265544190139.13785 2031445588402887.5
9.2326198703989242 10225.295399280945 39209194.516787969 267163340930.64474 2047977689549616.5
9.2346452793464451 10246.026791760438 39368419.901471272 268792363162.74448 2064644317412516.5
9.2366706882939678 10266.800216339498 39528290.968703680 270431316913.87329 2081446566591295.5
9.2386960972414904 10287.615758236569 39688817.764805272 272080262803.04379 2098385540589545.5
9.2407215061890113 10308.473502842873 39849993.860529058 273739261889.85205 2115462351900563.5
9.2427469151365340 10329.373535722812 40011819.641041227 275408375311.57416 2132678122066888.5
9.2447723240840549 10350.315942614197 40174300.144530259 277087664572.01929 2150033981745755.8
9.2467977330315776 10371.300809428742 40337438.804169133 278777191573.85413 2167531070785635.5
9.2488231419790985 10392.328222252265 40501247.987513721 280477018870.32068 2185170538306045.8
9.2508485509266212 10413.398267345197 40665724.379723743 282187209403.87402 2202953542789643.5
9.2528739598741421 10434.511031142787 40830867.792837583 283907826505.89069 2220881252153841.5
9.2548993688216648 10455.666600255598 40996682.512388282 285638933678.61389 2238954843819972.5
9.2569247777691857 10476.865061469722 41163165.761856012 287380594840.78864 2257175504788584.0
9.2589501867167083 10498.106501747279 41330321.171994992 289132874138.35126 2275544431708854.5
9.2609755956642310 10519.391008226645 41498155.519279562 290895836198.10638 2294062830956398.0
9.2630010046117519 10540.718668222868 41666672.193439424 292669546148.39282 2312731918720365.5
9.2650264135592746 10562.089569228074 41835881.307916909 294454069765.26349 2331552921090911.5
9.2670518225067955 10583.503798911708 42005772.826851368 296249472975.57806 2350527074146666.0
9.2690772314543182 10604.961445121036 42176351.438872084 298055821977.58838 2369655624016208.5
9.2711026404018391 10626.462595881350 42347621.860176623 299873183398.51184 2388939826959594.5
9.2731280493493617 10648.007339396492 42519582.058981106 301701624282.72473 2408380949454312.5
9.2751534582968826 10669.595764049052 42692242.365532100 303541212037.15570 2427980268271577.0
9.2771788672444053 10691.227958400892 42865613.029097758 305392014952.57300 2447739070577551.0
9.2792042761919262 10712.904011193354 43039684.167981170 307254101443.80646 2467658654027622.0
9.2812296851394489 10734.624011347774 43214466.210692324 309127540298.96051 2487740326831360.0
9.2832550940869698 10756.388047965698 43389960.710206710 311012400902.35870 2507985407850378.0
9.2852805030344925 10778.196210329395 43566161.104614742 312908752837.82544 2528395226684187.0
9.2873059119820152 10800.048587902100 43743077.429374009 314816665973.32062 2548971123738449.0
9.2893313209295361 10821.945270328422 43920717.057522960 316736210960.82043 2569714450325538.5
9.2913567298770587 10843.886347434785 44099073.125497177 318667458670.69519 2590626568758258.5
9.2933821388245796 10865.871909229654 44278150.739333503 320610480255.81732 2611708852423850.5
9.2954075477721023 10887.902045904058 44457953.300527230 322565347384.07050 2632962685874955.0
9.2974329567196232 10909.976847831815 44638485.341331959 324532132318.65979 2654389464926639.5
9.2994583656671459 10932.096405570037 44819757.742633574 326510907725.34692 2675990596752440.5
9.3014837746146668 10954.260809859370 45001763.867461838 328501746865.20929 2697767499983250.0
9.3035091835621895 10976.470151624508 45184506.782136165 330504723189.11591 2719721604792160.0
9.3055345925097104 10998.724521974411 45367988.643564999 332519910586.55499 2741854352983029.0
9.3075600014572331 11021.024012202841 45552212.040804297 334547383376.32135 2764167198084130.5
9.3095854104047557 11043.368713788592 45737187.004755251 336587216382.61359 2786661605439995.0
9.3116108193522766 11065.758718395929 45922920.633253761 338639485096.66077 2809339052319857.0
