om p1 p2
0.500 6.22642e+1 4.69986e+5
0.520 6.55860e+1 4.59909e+5
0.540 6.89564e+1 4.49419e+5
0.560 7.23661e+1 4.38534e+5
0.580 7.58057e+1 4.27275e+5
0.600 7.92654e+1 4.15663e+5
0.620 8.27355e+1 4.03727e+5
0.640 8.62057e+1 3.91493e+5
0.660 8.96659e+1 3.78994e+5
0.680 9.31057e+1 3.66261e+5
0.700 9.65146e+1 3.53329e+5
0.720 9.98822e+1 3.40236e+5
0.740 1.03198e+2 3.27018e+5
0.760 1.06451e+2 3.13715e+5
0.780 1.09631e+2 3.00367e+5
0.800 1.12728e+2 2.87014e+5
0.820 1.15732e+2 2.73695e+5
0.840 1.18632e+2 2.60451e+5
0.860 1.21419e+2 2.47322e+5
0.880 1.24084e+2 2.34347e+5
0.900 1.26616e+2 2.21562e+5
0.920 1.29009e+2 2.09004e+5
0.940 1.31252e+2 1.96708e+5
0.960 1.33339e+2 1.84706e+5
0.980 1.35261e+2 1.73027e+5
1.000 1.37013e+2 1.61701e+5
1.020 1.38588e+2 1.50751e+5
1.040 1.39981e+2 1.40201e+5
1.060 1.41187e+2 1.30069e+5
1.080 1.42202e+2 1.20373e+5
1.100 1.43022e+2 1.11125e+5
1.120 1.43646e+2 1.02336e+5
1.140 1.44071e+2 9.40142e+4
1.160 1.44296e+2 8.61624e+4
1.180 1.44323e+2 7.87824e+4
1.200 1.44151e+2 7.18724e+4
1.220 1.43782e+2 6.54282e+4
1.240 1.43220e+2 5.94425e+4
1.260 1.42468e+2 5.39059e+4
1.280 1.41529e+2 4.88066e+4
1.300 1.40411e+2 4.41307e+4
1.320 1.39117e+2 3.98623e+4
1.340 1.37657e+2 3.59842e+4
1.360 1.36037e+2 3.24774e+4
1.380 1.34265e+2 2.93221e+4
1.400 1.32352e+2 2.64973e+4
1.420 1.30306e+2 2.39814e+4
1.440 1.28138e+2 2.17523e+4
1.460 1.25860e+2 1.97879e+4
1.480 1.23482e+2 1.80658e+4
1.500 1.21016e+2 1.65640e+4
1.520 1.18475e+2 1.52607e+4
1.540 1.15871e+2 1.41349e+4
1.560 1.13216e+2 1.31662e+4
1.580 1.10524e+2 1.23351e+4
1.600 1.07807e+2 1.16233e+4
1.620 1.05077e+2 1.10133e+4
1.640 1.02348e+2 1.04890e+4
1.660 9.96320e+1 1.00356e+4
1.680 9.69404e+1 9.63943e+3
1.700 9.42853e+1 9.28840e+3
1.720 9.16779e+1 8.97164e+3
1.740 8.91289e+1 8.67966e+3
1.760 8.66484e+1 8.40431e+3
1.780 8.42459e+1 8.13869e+3
1.800 8.19302e+1 7.87719e+3
1.820 7.97091e+1 7.61531e+3
1.840 7.75899e+1 7.34968e+3
1.860 7.55788e+1 7.07793e+3
1.880 7.36812e+1 6.79862e+3
