om p1 p2 p3
0.500 2.78756e-3 6.11581e-1 1.31125e+8
0.520 2.91868e-3 6.09333e-1 1.27634e+8
0.540 3.05284e-3 6.06421e-1 1.24069e+8
0.560 3.18974e-3 6.02819e-1 1.20436e+8
0.580 3.32909e-3 5.98507e-1 1.16744e+8
0.600 3.47060e-3 5.93466e-1 1.13001e+8
0.620 3.61395e-3 5.87686e-1 1.09215e+8
0.640 3.75879e-3 5.81160e-1 1.05395e+8
0.660 3.90480e-3 5.73887e-1 1.01549e+8
0.680 4.05162e-3 5.65871e-1 9.76865e+7
0.700 4.19889e-3 5.57119e-1 9.38160e+7
0.720 4.34623e-3 5.47648e-1 8.99464e+7
0.740 4.49328e-3 5.37475e-1 8.60866e+7
0.760 4.63964e-3 5.26624e-1 8.22453e+7
0.780 4.78493e-3 5.15124e-1 7.84312e+7
0.800 4.92875e-3 5.03008e-1 7.46529e+7
0.820 5.07071e-3 4.90311e-1 7.09187e+7
0.840 5.21042e-3 4.77076e-1 6.72369e+7
0.860 5.34748e-3 4.63344e-1 6.36151e+7
0.880 5.48151e-3 4.49164e-1 6.00611e+7
0.900 5.61212e-3 4.34585e-1 5.65820e+7
0.920 5.73893e-3 4.19657e-1 5.31845e+7
0.940 5.86158e-3 4.04435e-1 4.98752e+7
0.960 5.97971e-3 3.88974e-1 4.66598e+7
0.980 6.09298e-3 3.73328e-1 4.35438e+7
1.000 6.20105e-3 3.57554e-1 4.05322e+7
1.020 6.30363e-3 3.41708e-1 3.76293e+7
1.040 6.40041e-3 3.25847e-1 3.48389e+7
1.060 6.49112e-3 3.10024e-1 3.21643e+7
1.080 6.57551e-3 2.94293e-1 2.96082e+7
1.100 6.65336e-3 2.78708e-1 2.71727e+7
1.120 6.72447e-3 2.63318e-1 2.48592e+7
1.140 6.78866e-3 2.48171e-1 2.26687e+7
1.160 6.84578e-3 2.33314e-1 2.06016e+7
1.180 6.89573e-3 2.18789e-1 1.86575e+7
1.200 6.93841e-3 2.04635e-1 1.68358e+7
1.220 6.97378e-3 1.90890e-1 1.51351e+7
1.240 7.00180e-3 1.77586e-1 1.35536e+7
1.260 7.02250e-3 1.64754e-1 1.20890e+7
1.280 7.03590e-3 1.52419e-1 1.07385e+7
1.300 7.04210e-3 1.40603e-1 9.49901e+6
1.320 7.04119e-3 1.29325e-1 8.36693e+6
1.340 7.03332e-3 1.18600e-1 7.33833e+6
1.360 7.01866e-3 1.08439e-1 6.40900e+6
1.380 6.99742e-3 9.88491e-2 5.57442e+6
1.400 6.96984e-3 8.98341e-2 4.82985e+6
1.420 6.93617e-3 8.13944e-2 4.17038e+6
1.440 6.89671e-3 7.35271e-2 3.59093e+6
1.460 6.85179e-3 6.62260e-2 3.08631e+6
1.480 6.80174e-3 5.94821e-2 2.65127e+6
1.500 6.74694e-3 5.32836e-2 2.28053e+6
1.520 6.68778e-3 4.76160e-2 1.96882e+6
1.540 6.62465e-3 4.24627e-2 1.71092e+6
1.560 6.55800e-3 3.78048e-2 1.50168e+6
1.580 6.48827e-3 3.36218e-2 1.33609e+6
1.600 6.41589e-3 2.98916e-2 1.20927e+6
1.620 6.34135e-3 2.65905e-2 1.11650e+6
1.640 6.26510e-3 2.36940e-2 1.05329e+6
1.660 6.18763e-3 2.11767e-2 1.01534e+6
1.680 6.10940e-3 1.90127e-2 9.98602e+5
1.700 6.03090e-3 1.71756e-2 9.99293e+5
1.720 5.95260e-3 1.56389e-2 1.01388e+6
1.740 5.87495e-3 1.43762e-2 1.03912e+6
1.760 5.79843e-3 1.33616e-2 1.07204e+6
1.780 5.72348e-3 1.25694e-2 1.10998e+6
1.800 5.65052e-3 1.19747e-2 1.15053e+6
1.820 5.57997e-3 1.15533e-2 1.19159e+6
1.840 5.51223e-3 1.12821e-2 1.23135e+6
1.860 5.44768e-3 1.11390e-2 1.26825e+6
1.880 5.38667e-3 1.11030e-2 1.30100e+6
1.900 5.32953e-3 1.11545e-2 1.32858e+6
1.920 5.27656e-3 1.12751e-2 1.35017e+6
1.940 5.22805e-3 1.14479e-2 1.36522e+6
1.960 5.18422e-3 1.16573e-2 1.37336e+6
1.980 5.14532e-3 1.18892e-2 1.37441e+6
2.000 5.11151e-3 1.21309e-2 1.36837e+6
2.020 5.08295e-3 1.23712e-2 1.35540e+6
2.040 5.05978e-3 1.26003e-2 1.33577e+6
2.060 5.04207e-3 1.28097e-2 1.30988e+6
2.080 5.02988e-3 1.29923e-2 1.27824e+6
2.100 5.02324e-3 1.31422e-2 1.24142e+6
2.120 5.02215e-3 1.32547e-2 1.20005e+6
2.140 5.02656e-3 1.33264e-2 1.15481e+6
2.160 5.03639e-3 1.33548e-2 1.10641e+6
2.180 5.05156e-3 1.33385e-2 1.05557e+6
2.200 5.07194e-3 1.32767e-2 1.00299e+6
2.220 5.09736e-3 1.31698e-2 9.49381e+5
2.240 5.12763e-3 1.30187e-2 8.95410e+5
2.260 5.16256e-3 1.28249e-2 8.41716e+5
2.280 5.20191e-3 1.25906e-2 7.88889e+5
2.300 5.24542e-3 1.23184e-2 7.37469e+5
2.320 5.29281e-3 1.20111e-2 6.87939e+5
2.340 5.34380e-3 1.16720e-2 6.40718e+5
2.360 5.39807e-3 1.13046e-2 5.96164e+5
2.380 5.45530e-3 1.09124e-2 5.54566e+5
2.400 5.51515e-3 1.04993e-2 5.16147e+5
2.420 5.57728e-3 1.00689e-2 4.81067e+5
2.440 5.64132e-3 9.62492e-3 4.49420e+5
2.460 5.70692e-3 9.17103e-3 4.21240e+5
2.480 5.77370e-3 8.71073e-3 3.96505e+5
2.500 5.84131e-3 8.24740e-3 3.75140e+5
2.520 5.90937e-3 7.78423e-3 3.57023e+5
2.540 5.97751e-3 7.32422e-3 3.41988e+5
2.560 6.04538e-3 6.87012e-3 3.29835e+5
2.580 6.11261e-3 6.42446e-3 3.20332e+5
2.600 6.17885e-3 5.98952e-3 3.13225e+5
2.620 6.24376e-3 5.56732e-3 3.08239e+5
2.640 6.30701e-3 5.15965e-3 3.05090e+5
2.660 6.36827e-3 4.76800e-3 3.03485e+5
2.680 6.42724e-3 4.39367e-3 3.03132e+5
2.700 6.48363e-3 4.03769e-3 3.03741e+5
2.720 6.53716e-3 3.70086e-3 3.05035e+5
2.740 6.58757e-3 3.38380e-3 3.06748e+5
2.760 6.63460e-3 3.08690e-3 3.08629e+5
2.780 6.67804e-3 2.81037e-3 3.10451e+5
2.800 6.71767e-3 2.55427e-3 3.12008e+5
2.820 6.75332e-3 2.31848e-3 3.13118e+5
2.840 6.78479e-3 2.10278e-3 3.13628e+5
2.860 6.81196e-3 1.90679e-3 3.13410e+5
2.880 6.83468e-3 1.73007e-3 3.12364e+5
2.900 6.85285e-3 1.57206e-3 3.10418e+5
2.920 6.86638e-3 1.43215e-3 3.07525e+5
2.940 6.87519e-3 1.30964e-3 3.03668e+5
2.960 6.87924e-3 1.20382e-3 2.98848e+5
2.980 6.87850e-3 1.11391e-3 2.93095e+5
3.000 6.87295e-3 1.03912e-3 2.86453e+5
3.020 6.86261e-3 9.78639e-4 2.78990e+5
3.040 6.84749e-3 9.31652e-4 2.70784e+5
3.060 6.82764e-3 8.97331e-4 2.61929e+5
3.080 6.80313e-3 8.74852e-4 2.52528e+5
3.100 6.77402e-3 8.63399e-4 2.42693e+5
3.120 6.74041e-3 8.62163e-4 2.32538e+5
3.140 6.70241e-3 8.70346e-4 2.22181e+5
3.160 6.66013e-3 8.87166e-4 2.11739e+5
3.180 6.61371e-3 9.11854e-4 2.01326e+5
3.200 6.56331e-3 9.43655e-4 1.91052e+5
3.220 6.50906e-3 9.81832e-4 1.81019e+5
3.240 6.45116e-3 1.02566e-3 1.71322e+5
3.260 6.38976e-3 1.07443e-3 1.62045e+5
3.280 6.32507e-3 1.12746e-3 1.53263e+5
3.300 6.25727e-3 1.18405e-3 1.45036e+5
3.320 6.18657e-3 1.24356e-3 1.37415e+5
3.340 6.11318e-3 1.30532e-3 1.30436e+5
3.360 6.03732e-3 1.36870e-3 1.24125e+5
