C d slope slopeC2 slopeC slopePrevC2 slopeDiagC2 fam
6.6447 2 0.4009 0.0091 0.0603 -0.1514 -0.0140 3
2.2408 2 -1.3079 -0.2605 -0.5837 0.0068 -0.3348 3
0.6217 2 -0.3777 -0.9772 -0.6076 -0.3115 -0.7247 3
3.2290 2 -1.9311 -0.1852 -0.5981 -0.0180 -0.1193 3
1.3722 2 -0.0021 -0.0011 -0.0016 -0.2937 -0.1267 3
1.2980 3 -0.7133 -0.4233 -0.5495 -0.3051 -0.3990 3
2.9167 1 -1.3374 -0.1572 -0.4585 -0.1182 -0.1572 0
1.0128 1 -0.5310 -0.5177 -0.5243 -0.4059 -0.5177 0
1.2772 1 -0.7904 -0.4846 -0.6189 -0.2601 -0.4846 0
2.1667 1 -1.2264 -0.2613 -0.5661 -0.1552 -0.2613 0
1.0053 1 -0.5367 -0.5311 -0.5339 -0.4105 -0.5311 0
1.5214 1 -0.7095 -0.3065 -0.4664 -0.3781 -0.3065 0
1.0067 1 -0.5376 -0.5305 -0.5340 -0.4091 -0.5305 0
1.0192 1 -0.5405 -0.5203 -0.5303 -0.4006 -0.5203 0
2.2408 2 -2.0684 -0.4120 -0.9231 0.0713 -0.3348 1
1.4263 2 -0.9059 -0.4453 -0.6352 -0.3171 -0.3696 1
1.4261 2 -1.1906 -0.5854 -0.8348 -0.1204 -0.4881 1
1.4624 2 -0.6121 -0.2862 -0.4186 -0.4740 -0.4477 1
0.6736 2 -0.9868 -2.1748 -1.4650 0.9965 -2.0516 1
0.6736 2 -0.9868 -2.1748 -1.4650 0.9965 -2.0516 1
3.5450 2 -2.2568 -0.1796 -0.6366 -0.0822 -0.1173 1
1.6353 2 -0.7286 -0.2725 -0.4456 -0.3927 -0.3099 1
1.2668 2 -0.7998 -0.4984 -0.6313 -0.2445 -0.5053 1
1.6766 2 -1.2115 -0.4310 -0.7226 -0.2067 -0.2398 1
2.7445 2 -0.8186 -0.1087 -0.2983 -0.1493 -0.0964 1
1.3646 2 -1.2085 -0.6490 -0.8856 -0.1087 -0.6921 1
1.4703 2 -0.0791 -0.0366 -0.0538 -0.5057 -0.1185 1
1.2668 2 -0.7998 -0.4984 -0.6313 -0.2445 -0.5053 1
1.4703 2 -0.0791 -0.0366 -0.0538 -0.5057 -0.1185 1
1.4205 2 -0.4210 -0.2086 -0.2963 -0.3917 -0.2612 1
2.3025 2 -0.7576 -0.1429 -0.3290 -0.1793 -0.1086 2
1.4089 2 -0.8882 -0.4475 -0.6304 -0.1759 -0.2915 2
1.6746 2 -0.4601 -0.1641 -0.2747 -0.3984 -0.2197 2
0.6939 2 -0.1403 -0.2915 -0.2023 -1.0952 -0.3964 2
0.3729 2 -0.3470 -2.4951 -0.9305 0.6608 -1.7422 2
1.2558 2 -0.1451 -0.0920 -0.1155 -0.6407 -0.1092 2
0.8828 2 -0.3110 -0.3991 -0.3523 -0.4991 -0.5996 2
0.4973 2 -0.2353 -0.9513 -0.4731 -0.6067 -1.0439 2
1.8636 2 -0.8126 -0.2340 -0.4361 -0.2958 -0.2684 2
1.7709 2 -0.8210 -0.2618 -0.4636 -0.2482 -0.3204 2
1.6180 2 -0.8542 -0.3263 -0.5279 -0.3359 -0.5070 2
0.9010 2 -0.4366 -0.5378 -0.4845 -0.8061 -0.2419 2
0.5101 2 -0.3846 -1.4779 -0.7539 -0.4429 -1.5741 2
1.3830 2 -0.8453 -0.4420 -0.6112 -0.3314 -0.3348 2
2.4307 2 -1.1430 -0.1934 -0.4702 -0.1390 -0.1594 2
1.1340 2 -0.6217 -0.4834 -0.5482 -0.3596 -0.6829 2
2.1615 3 -2.0399 -0.4366 -0.9437 -0.0026 -0.3495 1
0.6856 3 -0.5340 -1.1359 -0.7788 -0.2477 -1.2444 1
1.2635 3 -0.4210 -0.2637 -0.3332 -0.4939 -0.2639 1
2.5960 3 -1.0203 -0.1514 -0.3930 -0.2307 -0.1404 1
2.4034 3 -1.7937 -0.3105 -0.7463 -0.1480 -0.2974 1
1.7176 3 -0.6338 -0.2148 -0.3690 -0.2927 -0.2783 1
1.4312 3 -0.4160 -0.2031 -0.2907 -0.5598 -0.2396 1
1.5172 3 -0.6907 -0.3001 -0.4552 -0.3351 -0.3032 1
1.7087 3 -0.7536 -0.2581 -0.4411 -0.3284 -0.3071 1
1.2279 3 -0.7770 -0.5154 -0.6328 -0.3449 -0.4675 1
3.2176 3 -2.5792 -0.2491 -0.8016 -0.1183 -0.1755 1
1.0259 3 -0.4684 -0.4450 -0.4566 -0.6789 -0.3601 1
1.0108 3 -0.4044 -0.3958 -0.4001 -0.4461 -0.4446 1
0.6194 3 -0.1929 -0.5027 -0.3114 -1.0457 -0.6320 1
0.7179 3 -0.1900 -0.3685 -0.2646 -0.9763 -0.5002 1
1.8340 3 -1.0819 -0.3216 -0.5899 -0.2325 -0.2945 1
1.4776 3 -0.6592 -0.3019 -0.4461 -0.6244 -0.4160 2
1.0960 3 -0.5578 -0.4644 -0.5090 -0.7428 -0.8850 2
1.0377 3 -0.3573 -0.3318 -0.3443 -0.3644 -0.4911 2
0.5452 3 -0.2223 -0.7477 -0.4077 -0.7662 -0.8977 2
0.5829 3 -0.2628 -0.7734 -0.4508 -0.8622 -0.6590 2
1.1827 3 0.0236 0.0168 0.0199 -0.6751 -0.2807 2
0.7126 3 -0.3390 -0.6675 -0.4757 -0.7901 -0.4745 2
0.5275 3 0.1198 0.4307 0.2272 -1.4523 -0.3436 2
1.7390 3 -0.8359 -0.2764 -0.4807 -0.2453 -0.2293 2
0.7313 3 -0.5780 -1.0808 -0.7904 -0.5420 -1.2556 2
0.4105 3 -0.2460 -1.4599 -0.5993 -0.9646 -1.4713 2
3.9616 3 -2.3062 -0.1469 -0.5821 -0.0313 -0.1410 2
0.7330 3 -0.3878 -0.7218 -0.5290 -0.7523 -0.5194 2
2.3676 3 -0.3708 -0.0662 -0.1566 -0.1528 -0.2103 2
1.0571 3 0.1396 0.1249 0.1321 -0.8818 -0.1297 2
1.8715 3 -0.8635 -0.2465 -0.4614 -0.2088 -0.1704 2
1.2532 4 -0.4786 -0.3047 -0.3819 -0.2887 -0.3611 1
2.7228 4 -1.1433 -0.1542 -0.4199 -0.0727 -0.2155 1
0.6407 4 -0.1439 -0.3504 -0.2245 -0.9607 -0.4250 1
0.6324 4 -0.1416 -0.3540 -0.2238 -0.5066 -0.7010 1
1.5108 4 -0.7493 -0.3283 -0.4959 -0.3439 -0.3042 1
0.4204 4 -0.3240 -1.8332 -0.7707 0.3378 -1.8956 1
0.4404 4 -0.3205 -1.6524 -0.7277 0.4116 -1.5075 1
0.5709 4 -0.3057 -0.9379 -0.5355 -0.7303 -1.2015 1
0.5622 4 -0.1096 -0.3466 -0.1949 -0.4960 -0.8062 1
1.1067 4 -0.4869 -0.3975 -0.4399 -0.2868 -0.2916 1
0.7157 4 -0.4002 -0.7813 -0.5592 -0.7010 -0.6993 1
1.5602 4 -1.0217 -0.4197 -0.6549 -0.3769 -0.4235 1
1.8473 4 -1.3288 -0.3894 -0.7193 -0.1209 -0.3138 1
4.2048 4 -1.6286 -0.0921 -0.3873 -0.1131 -0.0762 1
1.6641 4 -1.1300 -0.4081 -0.6790 -0.2667 -0.3859 1
2.1963 4 -1.3989 -0.2900 -0.6370 -0.3056 -0.4354 1
3.2540 4 -1.1761 -0.1111 -0.3614 -0.1580 -0.1007 2
1.9353 4 -1.0840 -0.2894 -0.5601 -0.2246 -0.3140 2
1.5954 4 -0.8051 -0.3163 -0.5046 -0.3219 -0.3263 2
0.8523 4 -0.2203 -0.3033 -0.2585 -0.7652 -0.4551 2
1.2555 4 -0.9337 -0.5923 -0.7436 -0.2042 -0.5887 2
4.0874 4 -2.1634 -0.1295 -0.5293 -0.0907 -0.1246 2
1.2136 4 -0.6524 -0.4429 -0.5376 -0.3440 -0.3775 2
2.3324 4 -1.1288 -0.2075 -0.4840 -0.1532 -0.2143 2
0.4908 4 -0.3618 -1.5022 -0.7372 -0.0508 -1.6405 2
2.4714 4 -1.2265 -0.2008 -0.4963 -0.1565 -0.2361 2
0.8761 4 -0.3347 -0.4361 -0.3820 -0.6290 -0.3581 2
0.9397 4 -0.8291 -0.9390 -0.8823 0.0273 -0.9932 2
2.1791 4 -1.1260 -0.2371 -0.5167 -0.2346 -0.1700 2
1.5356 4 -0.2421 -0.1027 -0.1576 -0.3558 -0.1595 2
0.5515 4 -0.3062 -1.0067 -0.5552 -0.3671 -1.0297 2
0.4244 4 -0.2104 -1.1682 -0.4958 -0.8557 -1.0472 2
