x y
1 0
1 1
-1 1
-1 -1
2 0
2 2
-2 2
-2 0
0 -2
3 1
3 3
-3 3
-3 -1
-3 -3
1 -3
4 0
2 4
0 4
-4 2
-4 -2
-4 -4
2 -4
5 -3
5 3
-1 5
-5 5
-5 3
-5 -1
-5 -3
-3 -5
6 0
6 4
2 6
0 6
-6 2
-6 0
-6 -6
0 -6
4 -6
7 -3
7 3
7 5
-1 7
-3 7
-7 7
-7 5
-7 -7
5 -7
8 -6
8 -4
8 0
8 6
8 8
-2 8
-8 8
-8 2
-8 -4
-8 -6
-4 -8
0 -8
2 -8
9 -5
9 9
5 9
3 9
-1 9
-9 3
-9 -3
-5 -9
-3 -9
1 -9
7 -9
10 -4
10 2
10 8
8 10
2 10
-6 10
-10 10
-10 2
-10 -8
-10 -10
0 -10
2 -10
8 -10
11 -9
11 -3
11 5
11 9
11 11
7 11
-5 11
-11 9
-11 5
-11 -3
-11 -7
-9 -11
3 -11
5 -11
12 0
12 6
8 12
2 12
-4 12
-6 12
-12 12
-12 2
-12 -4
-12 -10
-12 -12
-6 -12
0 -12
4 -12
6 -12
13 -7
13 3
13 5
13 9
11 13
5 13
3 13
-9 13
-13 13
-13 7
-13 -1
-13 -11
-7 -13
3 -13
11 -13
14 -10
14 -4
14 0
14 8
14 14
10 14
2 14
-2 14
-14 12
-14 2
-14 -10
-14 -12
-6 -14
-4 -14
0 -14
2 -14
12 -14
15 -3
15 1
15 3
15 7
9 15
5 15
3 15
-1 15
-15 9
-15 5
-15 -3
-15 -13
-9 -15
-5 -15
1 -15
7 -15
16 -10
16 -6
16 0
16 6
16 14
12 16
0 16
-4 16
-10 16
-12 16
-16 10
-16 8
-16 2
-16 -8
-16 -10
-12 -16
-10 -16
-4 -16
14 -16
17 -15
17 -13
17 -9
17 -3
17 3
17 11
17 17
11 17
-11 17
-13 17
-17 11
-17 3
-17 -7
-17 -13
-15 -17
-7 -17
5 -17
9 -17
15 -17
18 -14
18 -12
18 -6
18 6
18 16
2 18
0 18
-4 18
-10 18
-12 18
-18 18
-18 14
-18 12
-18 8
-18 -4
-18 -6
-18 -12
10 -18
16 -18
19 -15
19 -7
19 11
17 19
3 19
-1 19
-3 19
-7 19
-13 19
-19 17
-19 13
-19 11
-19 5
-19 -7
-19 -17
-19 -19
-15 -19
-13 -19
-9 -19
-3 -19
9 -19
20 -18
20 -10
20 2
20 8
20 12
20 18
14 20
10 20
2 20
-2 20
-16 20
-20 20
-20 14
-20 12
-20 8
-20 2
-20 0
-20 -6
-20 -16
-4 -20
2 -20
6 -20
8 -20
21 -9
21 -5
21 -3
21 7
21 19
21 21
11 21
3 21
-3 21
-9 21
-15 21
-21 9
-21 3
-21 -1
-21 -3
-21 -15
-17 -21
-5 -21
3 -21
19 -21
22 -10
22 -4
22 0
22 2
22 6
22 8
22 18
14 22
8 22
2 22
-16 22
-18 22
-22 10
-22 8
-22 -14
-22 -20
-16 -22
-10 -22
-6 -22
-4 -22
0 -22
8 -22
14 -22
23 -21
23 -19
23 -9
23 5
23 15
23 21
13 23
11 23
7 23
5 23
-5 23
-17 23
-19 23
-23 11
-23 9
-23 3
-23 -1
-23 -3
-23 -13
-23 -21
-7 -23
17 -23
21 -23
24 -20
24 -12
24 4
24 6
24 10
24 18
14 24
12 24
8 24
0 24
-6 24
-12 24
-16 24
-24 20
-24 18
-24 -4
-24 -10
-24 -12
-24 -18
-24 -22
-20 -24
-6 -24
0 -24
4 -24
6 -24
12 -24
16 -24
22 -24
25 -15
25 -9
25 -3
25 11
25 15
25 21
17 25
9 25
3 25
-1 25
-25 23
-25 5
-25 -5
-25 -13
-25 -17
-25 -23
-25 -25
-19 -25
3 -25
15 -25
17 -25
26 -18
26 -10
26 -6
26 6
26 20
22 26
20 26
16 26
8 26
2 26
-4 26
-8 26
-10 26
-14 26
-20 26
-26 24
-26 20
-26 18
-26 12
-26 2
-26 0
-26 -10
-26 -18
-26 -22
-16 -26
-6 -26
6 -26
8 -26
14 -26
18 -26
20 -26
27 -17
27 -3
27 1
27 7
27 15
27 21
27 25
11 27
3 27
-7 27
-13 27
-19 27
-27 27
-27 17
-27 5
-27 -9
-27 -13
-27 -19
-27 -25
-27 -27
1 -27
3 -27
13 -27
21 -27
25 -27
28 -16
28 -12
28 -4
28 8
28 14
28 26
26 28
20 28
0 28
-10 28
-12 28
-28 28
-28 2
-28 -2
-28 -4
-28 -16
-28 -22
-28 -26
-18 -28
-12 -28
-4 -28
0 -28
8 -28
29 -27
29 -25
29 -21
29 -19
29 -7
29 21
29 23
29 29
23 29
17 29
13 29
7 29
5 29
-7 29
-11 29
-23 29
-25 29
-29 23
-29 21
-29 5
-29 3
-29 -13
-29 -19
-19 -29
-3 -29
5 -29
9 -29
11 -29
15 -29
17 -29
30 -20
30 -12
30 0
30 6
30 16
30 18
30 22
30 28
30 30
24 30
14 30
12 30
0 30
-10 30
-12 30
-22 30
-30 24
-30 18
-30 14
-30 8
-30 0
-30 -6
-30 -12
-30 -28
-20 -30
-18 -30
-14 -30
0 -30
6 -30
10 -30
18 -30
28 -30
31 -25
31 -19
31 -13
31 9
31 15
31 17
31 27
21 31
17 31
11 31
-7 31
-9 31
-19 31
-31 29
-31 25
-31 23
-31 13
-31 -1
-31 -5
-31 -13
-31 -31
-27 -31
-21 -31
-19 -31
-15 -31
-9 -31
-7 -31
5 -31
9 -31
29 -31
32 -12
32 0
32 2
32 6
32 12
32 18
32 20
32 26
16 32
14 32
8 32
-8 32
-14 32
-26 32
-28 32
-32 30
-32 18
-32 2
-32 0
-32 -4
-32 -10
-32 -24
-32 -28
-32 -30
-16 -32
8 -32
18 -32
24 -32
26 -32
33 -29
33 -27
33 -17
33 -15
33 -5
33 1
33 3
33 13
33 15
33 25
33 31
27 33
-3 33
-13 33
-15 33
-25 33
-33 33
-33 27
-33 17
-33 -1
-33 -7
-33 -19
-33 -31
-33 -33
-15 -33
-9 -33
-5 -33
1 -33
7 -33
25 -33
27 -33
34 -30
34 -16
34 -10
34 -6
34 -4
34 0
34 24
34 26
30 34
24 34
8 34
0 34
-6 34
-12 34
-30 34
-34 22
-34 20
-34 16
-34 10
-34 8
-34 2
-34 -4
-34 -14
-34 -20
-34 -32
-24 -34
-6 -34
-4 -34
2 -34
6 -34
24 -34
32 -34
35 -13
35 -9
35 -7
35 -3
35 3
35 5
35 17
35 21
35 35
5 35
-5 35
-11 35
-23 35
-35 33
-35 27
-35 17
-35 5
-35 3
-35 -1
-35 -7
-35 -15
-35 -21
-35 -31
-35 -33
-33 -35
-19 -35
-13 -35
-7 -35
-3 -35
3 -35
5 -35
15 -35
17 -35
33 -35
36 -26
36 -18
36 0
36 4
36 10
36 22
36 24
36 30
36 36
30 36
2 36
-4 36
-18 36
-22 36
-30 36
-36 32
-36 24
-36 12
-36 -6
-36 -10
-36 -12
-36 -16
-32 -36
-20 -36
-14 -36
-12 -36
4 -36
10 -36
16 -36
30 -36
37 -33
37 -19
37 -15
37 15
37 21
37 27
37 33
33 37
27 37
23 37
21 37
9 37
3 37
-1 37
-3 37
-9 37
-31 37
-37 37
-37 35
-37 31
-37 13
-37 11
-37 7
-37 -5
-37 -7
-37 -13
-37 -17
-31 -37
-25 -37
-19 -37
-15 -37
-7 -37
3 -37
35 -37
38 -24
38 -22
38 -16
38 -12
38 -10
38 -6
38 -4
38 6
38 20
38 26
38 30
38 38
28 38
22 38
2 38
-2 38
-4 38
-10 38
-38 36
-38 32
-38 24
-38 14
-38 8
-38 2
-38 -6
-38 -12
-38 -24
-38 -28
-38 -34
-38 -36
-34 -38
-30 -38
-24 -38
-22 -38
-12 -38
-10 -38
6 -38
12 -38
32 -38
36 -38
39 -29
39 -15
39 13
39 19
39 39
35 39
17 39
9 39
3 39
-1 39
-7 39
-21 39
-27 39
-33 39
-39 35
-39 33
-39 23
-39 11
-39 3
-39 -7
-39 -9
-39 -19
-39 -27
-39 -39
-29 -39
-5 -39
-3 -39
1 -39
9 -39
15 -39
19 -39
27 -39
40 -34
40 -24
40 -18
40 -12
40 -10
40 -4
40 6
40 18
40 20
40 30
40 36
38 40
32 40
24 40
18 40
8 40
2 40
0 40
-6 40
-12 40
-18 40
-28 40
-36 40
-40 20
-40 14
-40 -8
-40 -10
-40 -28
-40 -32
-40 -40
-30 -40
0 -40
8 -40
26 -40
30 -40
32 -40
41 -39
41 -33
41 -31
41 -25
41 -21
41 -3
41 5
41 17
41 35
31 41
25 41
23 41
11 41
5 41
-5 41
-7 41
-17 41
-19 41
-25 41
-35 41
-41 33
-41 29
-41 5
-41 3
-41 -13
-41 -15
-41 -25
-41 -27
-41 -37
-25 -41
-21 -41
-19 -41
-15 -41
-7 -41
9 -41
15 -41
21 -41
23 -41
35 -41
42 -32
42 -24
42 -20
42 -14
42 16
42 18
42 28
42 30
42 36
42 40
38 42
32 42
24 42
18 42
14 42
2 42
-4 42
-12 42
-24 42
-28 42
-42 42
-42 30
-42 20
-42 -4
-42 -10
-42 -22
-42 -28
-42 -30
-32 -42
-24 -42
-6 -42
4 -42
10 -42
24 -42
28 -42
30 -42
36 -42
43 -39
43 -31
43 -25
43 -21
43 -15
43 15
43 29
43 39
43 41
33 43
23 43
21 43
5 43
3 43
-15 43
-39 43
-43 29
-43 23
-43 7
-43 -11
-43 -17
-43 -19
-43 -37
-43 -41
-39 -43
-37 -43
-27 -43
-19 -43
-9 -43
-3 -43
3 -43
11 -43
15 -43
21 -43
23 -43
33 -43
35 -43
44 -40
44 -36
44 -30
44 -24
44 -22
44 -10
44 -6
44 8
44 26
44 30
44 36
32 44
28 44
20 44
14 44
10 44
2 44
-2 44
-16 44
-22 44
-26 44
-40 44
-44 36
-44 32
-44 30
-44 0
-44 -4
-44 -28
-44 -34
-44 -40
-36 -44
-24 -44
-10 -44
-4 -44
0 -44
2 -44
6 -44
24 -44
30 -44
42 -44
45 -39
45 -33
45 -29
45 -17
45 -15
45 -3
45 27
45 43
45 45
39 45
17 45
3 45
-3 45
-13 45
-25 45
-31 45
-33 45
-37 45
-45 45
-45 35
-45 29
-45 23
-45 -1
-45 -15
-45 -21
-45 -25
-45 -33
-45 -45
-27 -45
-17 -45
-15 -45
-5 -45
-3 -45
1 -45
7 -45
27 -45
33 -45
37 -45
46 -40
46 -36
46 -34
46 -30
46 -16
46 -10
46 2
46 26
46 36
46 42
42 46
32 46
30 46
0 46
-4 46
-10 46
-12 46
-24 46
-28 46
-42 46
-46 44
-46 10
-46 -2
-46 -10
-46 -16
-46 -26
-46 -28
-46 -32
-40 -46
-30 -46
-22 -46
-6 -46
-4 -46
6 -46
20 -46
24 -46
26 -46
38 -46
44 -46
47 -33
47 -27
47 -19
47 -15
47 -7
47 -3
47 3
47 11
47 17
47 23
47 35
47 41
47 45
43 47
37 47
29 47
11 47
7 47
-13 47
-17 47
-29 47
-31 47
-41 47
-47 47
-47 45
-47 35
-47 23
-47 21
-47 17
-47 -3
-47 -9
-47 -39
-47 -45
-45 -47
-37 -47
-27 -47
-15 -47
-9 -47
-7 -47
21 -47
23 -47
29 -47
33 -47
35 -47
48 -44
48 -32
48 -30
48 -24
48 -14
48 -6
48 18
48 30
48 36
42 48
36 48
32 48
18 48
12 48
8 48
-4 48
-12 48
-18 48
-30 48
-34 48
-40 48
-48 44
-48 38
-48 26
-48 24
-48 8
-48 -12
-48 -16
-48 -18
-48 -28
-48 -46
-42 -48
-38 -48
-24 -48
-20 -48
-18 -48
-12 -48
10 -48
16 -48
30 -48
36 -48
42 -48
49 -45
49 -39
49 -37
49 -27
49 -25
49 -21
49 -19
49 3
49 5
49 9
49 15
49 21
49 33
49 39
45 49
35 49
23 49
17 49
9 49
5 49
-31 49
-45 49
-49 41
-49 35
-49 31
-49 25
-49 23
-49 11
-49 5
-49 -7
-49 -23
-49 -25
-49 -35
-49 -43
-33 -49
-31 -49
-19 -49
-13 -49
-9 -49
-3 -49
15 -49
17 -49
29 -49
35 -49
39 -49
50 -48
50 -40
50 -34
50 -22
50 -18
50 -12
50 0
50 6
50 8
50 20
50 32
50 36
50 50
44 50
28 50
22 50
20 50
10 50
2 50
-16 50
-22 50
-50 44
-50 42
-50 14
-50 12
-50 -10
-50 -16
-50 -18
-50 -28
-50 -40
-50 -42
-50 -48
-48 -50
-40 -50
-18 -50
-12 -50
-10 -50
0 -50
8 -50
12 -50
18 -50
26 -50
30 -50
42 -50
