rho phi se phiRandom phiHL seHL kappa kappaC kappaSD T d n mu
0.4278 0.3052 0.0258 1.1596 0.3116 0.0154 -0.4994 -0.5576 0.3308 25 2 240 4.84
0.4700 0.3285 0.0321 1.0448 0.2981 0.0091 -0.6704 -0.7529 0.3317 50 2 240 8.72
0.4954 0.2991 0.0242 0.9207 0.2941 0.0063 -0.7030 -0.7493 0.3865 100 2 240 15.60
0.5091 0.2831 0.0271 0.9619 0.3001 0.0042 -0.6215 -0.6838 0.3223 200 2 240 27.86
0.5156 0.3912 0.0439 1.0055 0.3155 0.0031 -0.6182 -0.6653 0.3285 400 2 240 49.86
0.5182 0.3614 0.0301 1.0343 0.3328 0.0024 -0.5352 -0.6004 0.2592 800 2 240 89.67
0.5187 0.3890 0.0398 1.1052 0.3489 0.0019 -0.5713 -0.6166 0.2991 1600 2 240 162.28
0.5182 0.3262 0.0342 1.0524 0.3636 0.0015 -0.5271 -0.5822 0.2536 3200 2 240 295.67
0.5061 0.3469 0.0334 1.0235 0.1286 0.0168 -0.5379 -0.5466 0.4024 25 2 240 5.91
0.5201 0.2982 0.0286 1.0891 0.1687 0.0118 -0.6769 -0.7294 0.3567 50 2 240 9.98
0.5256 0.3340 0.0363 0.8683 0.2108 0.0082 -0.7199 -0.7279 0.4082 100 2 240 17.06
0.5269 0.2888 0.0268 0.9727 0.2486 0.0059 -0.6551 -0.6707 0.3862 200 2 240 29.52
0.5263 0.3784 0.0366 1.0649 0.2852 0.0045 -0.6552 -0.6564 0.3950 400 2 240 51.76
0.5248 0.3278 0.0342 0.9919 0.3169 0.0037 -0.5631 -0.5954 0.2922 800 2 240 91.88
0.5232 0.3746 0.0312 0.9877 0.3420 0.0031 -0.6003 -0.6056 0.3482 1600 2 240 164.96
0.5215 0.3753 0.0386 0.8694 0.3623 0.0027 -0.5321 -0.5601 0.2811 3200 2 240 299.09
