logY Y sqrtY_P sqrtY_T sqrtY_L1 sqrtY_L2 sqrtY_R
6.90675 999 -0.4694559 -0.0175536 -0.0193724 -0.0529780 -0.3795519
6.93049 1023 -0.4201325 -0.0098204 -0.0228021 -0.0894595 -0.2980506
6.95368 1047 -0.3302640 -0.0051624 -0.0188466 -0.0813271 -0.2249280
6.97635 1071 -0.2571168 -0.0048064 -0.0105121 -0.0405447 -0.2012536
6.99942 1096 -0.2468276 0.0039810 0.0009810 -0.0050473 -0.2467423
7.02287 1122 -0.1212706 0.0068581 0.0115970 0.0408400 -0.1805657
7.04578 1148 0.0002817 0.0049726 0.0107819 0.0414779 -0.0569506
7.06902 1175 0.0315806 0.0096225 0.0076322 0.0141048 0.0002211
7.09174 1202 -0.0218232 0.0066344 0.0046992 0.0069097 -0.0400665
7.11477 1230 -0.1105453 0.0019981 0.0098196 0.0441026 -0.1664656
7.13807 1259 -0.1626899 -0.0027646 0.0119574 0.0666985 -0.2385812
7.16162 1289 -0.0714014 -0.0063111 0.0146970 0.0892627 -0.1690500
7.18463 1319 0.0538415 -0.0130343 0.0164367 0.1147695 -0.0643304
7.20712 1349 0.1744839 -0.0114097 0.0205007 0.1310276 0.0343654
7.23056 1381 0.2332013 -0.0025466 0.0248836 0.1307846 0.0800797
7.25347 1413 0.2406763 0.0073001 0.0224507 0.0940030 0.1169225
7.27656 1446 0.2565038 0.0103148 0.0175956 0.0621909 0.1664025
7.29980 1480 0.1685069 0.0086945 0.0068022 0.0122747 0.1407356
7.32317 1515 0.1267817 0.0123788 0.0003365 -0.0292645 0.1433310
7.34601 1550 0.0309556 0.0082557 -0.0009302 -0.0252905 0.0489206
7.36897 1586 -0.0014819 0.0039711 -0.0066366 -0.0431108 0.0442945
7.39203 1623 0.1808963 0.0100433 -0.0096067 -0.0731417 0.2536013
7.41518 1661 0.3279990 0.0057488 -0.0114025 -0.0713844 0.4050371
7.43838 1700 0.3257935 -0.0101427 -0.0096870 -0.0230785 0.3687018
7.46164 1740 0.3240922 -0.0214844 -0.0104711 0.0013556 0.3546921
7.48437 1780 0.2414615 -0.0135003 -0.0055577 0.0059625 0.2545570
7.50769 1822 0.1232423 -0.0062547 -0.0050670 -0.0096983 0.1442623
7.53048 1864 0.1144944 -0.0017968 -0.0145436 -0.0682262 0.1990610
7.55381 1908 0.0999303 -0.0009855 -0.0183971 -0.0895218 0.2088347
7.57712 1953 0.1048721 0.0056079 -0.0183261 -0.1056502 0.2232405
7.59990 1998 0.1613626 0.0070880 -0.0211154 -0.1232969 0.2986869
7.62315 2045 0.1743858 0.0126720 -0.0190899 -0.1271293 0.3079330
7.64635 2093 0.0979425 0.0171517 -0.0159545 -0.1226517 0.2193969
7.66950 2142 0.1223546 0.0154231 -0.0134161 -0.1056379 0.2259855
7.69257 2192 0.1461312 0.0079367 -0.0164704 -0.1021937 0.2568585
7.71557 2243 0.1380054 -0.0046911 -0.0103933 -0.0402388 0.1933286
