h=1  columns: u  #Lambda  c_d  K2(T) for T in [1,4,16,64]  ;  (K2-c_d)/sqrt(T)
1	1	1.00	7.41	19.75	41.10	86.12	;	6.406	9.375	10.026	10.640
2	2	1.00	3.83	7.41	13.21	29.00	;	2.828	3.203	3.052	3.500
3	3	2.00	2.00	11.77	26.55	55.55	;	0.000	4.885	6.138	6.694
4	4	2.00	2.00	9.16	15.70	30.83	;	0.000	3.578	3.426	3.603
5	3	2.00	2.00	5.88	8.85	25.72	;	0.000	1.940	1.713	2.965
6	8	4.00	4.00	4.00	19.45	32.26	;	0.000	0.000	3.863	3.532
7	5	4.00	6.83	10.71	27.85	56.58	;	2.828	3.354	5.963	6.573
8	8	4.00	4.00	11.16	18.92	31.77	;	0.000	3.578	3.729	3.472
9	9	6.00	6.00	12.66	27.40	58.24	;	0.000	3.328	5.350	6.530
10	8	4.00	4.00	4.00	4.00	20.71	;	0.000	0.000	0.000	2.088
11	7	6.00	9.58	19.70	25.91	61.46	;	3.578	6.851	4.978	6.933
12	18	8.00	8.00	8.00	18.67	29.19	;	0.000	0.000	2.667	2.649
13	7	6.00	6.00	6.00	20.91	36.36	;	0.000	0.000	3.727	3.796
