h=1: u e q #Lambda c_d c_d/(u e) c_d/(u e * prod_{p|e}(1+chi))
1	1	1	1	1.00	1.000	1.000
2	1	4	2	1.00	0.500	0.500
3	1	9	3	2.00	0.667	0.667
5	1	25	3	2.00	0.400	0.400
7	1	49	5	4.00	0.571	0.571
11	1	121	7	6.00	0.545	0.545
13	1	169	7	6.00	0.462	0.462
17	1	289	9	8.00	0.471	0.471
1	5	5	1	2.00	0.400	0.200
2	5	20	2	2.00	0.200	0.100
3	5	45	3	4.00	0.267	0.133
3	7	63	3	0.00	0.000	-
5	7	175	3	0.00	0.000	-
2	13	52	2	2.00	0.077	0.038
7	5	245	5	8.00	0.229	0.114
3	13	117	3	4.00	0.103	0.051
11	5	605	7	12.00	0.218	0.109
