u w Y P_over_sqrtY rms16 mean16
1 1.0000000 10000000 0.021807 0.030302 -0.011919
3 3.0000000 3333333.3 -0.097284 0.096915 -0.073906
7 4.6666667 1428571.4 -0.027696 0.062257 0.048444
13 2.8888889 769230.77 -0.102745 0.084991 -0.075457
19 2.5333333 526315.79 0.131885 0.133928 0.126487
21 14.000000 476190.48 0.146925 0.121604 0.118319
31 2.2962963 322580.65 0.059267 0.056451 -0.032316
37 2.2424242 270270.27 -0.016121 0.078907 0.004232
39 8.6666667 256410.26 -0.171848 0.135583 -0.130812
43 2.2051282 232558.14 -0.073470 0.105580 -0.100415
57 7.6000000 175438.60 -0.024981 0.111707 0.098822
61 2.1403509 163934.43 0.048049 0.075641 -0.053189
67 2.1269841 149253.73 0.102578 0.096183 0.089186
73 2.1159420 136986.30 0.107737 0.088029 -0.041851
79 2.1066667 126582.28 0.148407 0.116159 0.111978
91 13.481481 109890.11 -0.005074 0.055468 -0.044833
93 6.8888889 107526.88 -0.114971 0.120085 -0.102719
97 2.0860215 103092.78 -0.026501 0.077476 0.020277
103 2.0808081 97087.379 -0.032330 0.057552 0.006955
109 2.0761905 91743.119 0.027908 0.098920 -0.083838
111 6.7272727 90090.090 -0.115751 0.093504 0.028852
127 2.0650407 78740.157 -0.039731 0.186010 -0.158250
129 6.6153846 77519.380 -0.127050 0.161809 -0.153171
133 11.822222 75187.970 -0.061798 0.061811 -0.054087
139 2.0592593 71942.446 0.256835 0.234740 0.226571
151 2.0544218 66225.166 0.127266 0.126752 0.110434
157 2.0522876 63694.268 -0.054592 0.047328 0.011057
163 2.0503145 61349.693 0.064354 0.109440 0.105956
181 2.0451977 55248.619 -0.261958 0.275896 -0.272601
183 6.4210526 54644.809 -0.211387 0.167575 -0.138085
193 2.0423280 51813.472 -0.200532 0.174043 -0.172886
199 2.0410256 50251.256 0.009562 0.148507 0.135579
201 6.3809524 49751.244 0.054311 0.038179 -0.011775
211 2.0386473 47393.365 0.068642 0.146647 0.137156
217 10.716049 46082.949 -0.030710 0.040330 0.001059
219 6.3478261 45662.100 0.034362 0.057523 0.013893
223 2.0365297 44843.049 0.236821 0.330609 0.327936
229 2.0355556 43668.122 -0.115678 0.095002 -0.084235
237 6.3200000 42194.093 0.077862 0.087798 0.086483
241 2.0337553 41493.776 0.246432 0.242999 0.234190
247 7.3185185 40485.830 0.102832 0.117132 0.109133
259 10.464646 38610.039 0.048825 0.081321 0.079329
271 2.0299625 36900.369 0.272590 0.184952 0.140218
273 40.444444 36630.037 -0.027319 0.026676 -0.023053
277 2.0293040 36101.083 0.209261 0.092388 0.041081
283 2.0286738 35335.689 0.105414 0.063607 -0.008021
291 6.2580645 34364.261 0.249369 0.141555 0.124702
301 10.290598 33222.591 0.128563 0.083339 0.062716
307 2.0264026 32573.290 0.044155 0.036544 0.021367
