D=-4 T=20000; blocks [T/8,T/4],[T/4,T/2],[T/2,T]: sup|S_u| ; S_u(T) ; mean S_u over [T/2,T]
u=     1: E_u=0.450868  sup|S| = 0.891 0.963 1.012   S_u(T)=-0.0242   mean=+0.2255
u=     2: E_u=0.450868  sup|S| = 1.136 1.201 1.179   S_u(T)=-0.0592   mean=+0.2237
u=     3: E_u=0.450868  sup|S| = 1.169 1.168 1.242   S_u(T)=-0.0675   mean=+0.2284
u=     5: E_u=0.036335  sup|S| = 0.190 0.227 0.215   S_u(T)=+0.0002   mean=+0.0181
u=     7: E_u=0.450868  sup|S| = 1.201 1.233 1.292   S_u(T)=+0.1276   mean=+0.2225
u=    11: E_u=0.450868  sup|S| = 0.961 0.982 0.989   S_u(T)=+0.2801   mean=+0.2221
u=    31: E_u=0.450868  sup|S| = 0.908 0.952 0.965   S_u(T)=+0.0862   mean=+0.2199
u=   101: E_u=0.450572  sup|S| = 1.021 1.029 1.026   S_u(T)=+0.0249   mean=+0.2292
u=  1009: E_u=0.450866  sup|S| = 0.958 0.967 1.014   S_u(T)=-0.0178   mean=+0.2268
u= 10007: E_u=0.450868  sup|S| = 1.221 1.211 1.181   S_u(T)=+0.0778   mean=+0.2291
u=100003: E_u=0.450868  sup|S| = 1.175 1.206 1.280   S_u(T)=+0.1601   mean=+0.2259
