om det
4.000 -0.1779
4.020 -0.1881
4.040 -0.1946
4.060 -0.1968
4.080 -0.1947
4.100 -0.1882
4.120 -0.1776
4.140 -0.1634
4.160 -0.1461
4.180 -0.1265
4.200 -0.1052
4.220 -0.0829
4.240 -0.0601
4.260 -0.0374
4.280 -0.0152
4.300 0.0061
4.320 0.0262
4.340 0.0450
4.360 0.0621
4.380 0.0776
4.400 0.0913
4.420 0.1032
4.440 0.1133
4.460 0.1216
4.480 0.1281
4.500 0.1328
4.520 0.1358
4.540 0.1373
4.560 0.1372
4.580 0.1357
4.600 0.1329
4.620 0.1290
4.640 0.1240
4.660 0.1182
4.680 0.1118
4.700 0.1048
4.720 0.0975
4.740 0.0900
4.760 0.0826
4.780 0.0754
4.800 0.0685
4.820 0.0620
4.840 0.0561
4.860 0.0508
4.880 0.0461
4.900 0.0420
4.920 0.0385
4.940 0.0354
4.960 0.0327
4.980 0.0303
5.000 0.0279
5.020 0.0253
5.040 0.0225
5.060 0.0193
5.080 0.0154
5.100 0.0107
5.120 0.0051
5.140 -0.0016
5.160 -0.0094
5.180 -0.0184
5.200 -0.0286
5.220 -0.0401
5.240 -0.0527
5.260 -0.0664
5.280 -0.0811
5.300 -0.0963
5.320 -0.1120
5.340 -0.1276
5.360 -0.1427
5.380 -0.1568
5.400 -0.1692
5.420 -0.1793
5.440 -0.1865
5.460 -0.1903
5.480 -0.1900
5.500 -0.1855
5.520 -0.1767
5.540 -0.1637
5.560 -0.1469
5.580 -0.1267
5.600 -0.1037
5.620 -0.0787
5.640 -0.0524
5.660 -0.0252
5.680 0.0021
5.700 0.0291
5.720 0.0552
5.740 0.0803
5.760 0.1038
5.780 0.1257
5.800 0.1458
5.820 0.1637
5.840 0.1796
5.860 0.1931
5.880 0.2044
5.900 0.2132
5.920 0.2196
5.940 0.2235
5.960 0.2249
5.980 0.2237
6.000 0.2199
6.020 0.2135
6.040 0.2045
6.060 0.1928
6.080 0.1785
6.100 0.1616
6.120 0.1420
6.140 0.1199
6.160 0.0952
6.180 0.0682
6.200 0.0389
6.220 0.0076
6.240 -0.0253
6.260 -0.0593
6.280 -0.0939
6.300 -0.1283
6.320 -0.1613
6.340 -0.1919
6.360 -0.2186
6.380 -0.2402
6.400 -0.2553
6.420 -0.2629
6.440 -0.2627
6.460 -0.2545
6.480 -0.2392
6.500 -0.2176
6.520 -0.1911
6.540 -0.1611
6.560 -0.1289
6.580 -0.0955
6.600 -0.0619
6.620 -0.0289
6.640 0.0030
6.660 0.0333
6.680 0.0619
6.700 0.0884
6.720 0.1128
6.740 0.1349
6.760 0.1547
6.780 0.1723
6.800 0.1877
6.820 0.2007
6.840 0.2116
6.860 0.2203
6.880 0.2269
6.900 0.2314
6.920 0.2339
6.940 0.2345
6.960 0.2330
6.980 0.2297
7.000 0.2246
7.020 0.2177
7.040 0.2090
7.060 0.1986
7.080 0.1865
7.100 0.1727
7.120 0.1574
7.140 0.1405
7.160 0.1221
7.180 0.1022
7.200 0.0809
7.220 0.0582
7.240 0.0342
7.260 0.0089
7.280 -0.0175
7.300 -0.0449
7.320 -0.0731
7.340 -0.1019
7.360 -0.1311
7.380 -0.1602
7.400 -0.1888
7.420 -0.2165
7.440 -0.2425
7.460 -0.2661
7.480 -0.2865
7.500 -0.3029
7.520 -0.3145
7.540 -0.3206
7.560 -0.3207
7.580 -0.3148
7.600 -0.3028
7.620 -0.2852
7.640 -0.2627
7.660 -0.2361
7.680 -0.2062
7.700 -0.1740
7.720 -0.1402
7.740 -0.1057
7.760 -0.0710
7.780 -0.0366
7.800 -0.0031
7.820 0.0292
7.840 0.0601
7.860 0.0894
7.880 0.1168
7.900 0.1423
7.920 0.1658
7.940 0.1871
7.960 0.2062
7.980 0.2231
8.000 0.2378
8.020 0.2501
8.040 0.2601
8.060 0.2678
8.080 0.2730
8.100 0.2759
8.120 0.2763
8.140 0.2743
8.160 0.2698
8.180 0.2628
8.200 0.2533
8.220 0.2413
8.240 0.2269
8.260 0.2099
8.280 0.1905
8.300 0.1687
8.320 0.1447
8.340 0.1185
8.360 0.0904
8.380 0.0606
8.400 0.0296
8.420 -0.0021
8.440 -0.0340
8.460 -0.0651
8.480 -0.0945
8.500 -0.1212
8.520 -0.1440
8.540 -0.1618
8.560 -0.1738
8.580 -0.1794
8.600 -0.1784
8.620 -0.1712
8.640 -0.1583
8.660 -0.1409
8.680 -0.1200
8.700 -0.0969
8.720 -0.0726
8.740 -0.0482
8.760 -0.0244
8.780 -0.0020
8.800 0.0185
8.820 0.0367
8.840 0.0521
8.860 0.0645
8.880 0.0737
8.900 0.0794
8.920 0.0813
8.940 0.0794
8.960 0.0734
8.980 0.0631
9.000 0.0482
9.020 0.0284
9.040 0.0034
9.060 -0.0273
9.080 -0.0642
9.100 -0.1079
9.120 -0.1593
9.140 -0.2193
9.160 -0.2893
9.180 -0.3708
9.200 -0.4660
9.220 -0.5773
9.240 -0.7075
9.260 -0.8589
9.280 -1.0284
9.300 -1.1951
9.320 -1.2967
9.340 -1.2583
9.360 -1.1025
9.380 -0.9110
9.400 -0.7281
9.420 -0.5656
9.440 -0.4233
9.460 -0.2988
9.480 -0.1892
9.500 -0.0922
9.520 -0.0057
9.540 0.0717
9.560 0.1413
9.580 0.2039
9.600 0.2604
9.620 0.3114
9.640 0.3574
9.660 0.3989
9.680 0.4362
9.700 0.4697
9.720 0.4995
9.740 0.5259
9.760 0.5492
9.780 0.5694
9.800 0.5868
9.820 0.6014
9.840 0.6134
9.860 0.6229
9.880 0.6300
9.900 0.6347
9.920 0.6371
9.940 0.6373
9.960 0.6354
9.980 0.6314
10.000 0.6254
10.020 0.6173
10.040 0.6074
10.060 0.5955
10.080 0.5818
10.100 0.5663
10.120 0.5490
10.140 0.5300
10.160 0.5093
10.180 0.4870
10.200 0.4630
10.220 0.4375
10.240 0.4105
10.260 0.3819
10.280 0.3519
10.300 0.3204
10.320 0.2875
10.340 0.2532
10.360 0.2175
10.380 0.1804
10.400 0.1418
10.420 0.1018
10.440 0.0602
10.460 0.0170
10.480 -0.0280
10.500 -0.0749
10.520 -0.1239
10.540 -0.1752
10.560 -0.2291
10.580 -0.2859
10.600 -0.3458
10.620 -0.4093
10.640 -0.4767
10.660 -0.5482
10.680 -0.6238
10.700 -0.7034
10.720 -0.7858
10.740 -0.8688
10.760 -0.9481
10.780 -1.0167
10.800 -1.0651
10.820 -1.0840
10.840 -1.0683
10.860 -1.0210
10.880 -0.9505
10.900 -0.8670
10.920 -0.7783
10.940 -0.6898
10.960 -0.6042
10.980 -0.5232
11.000 -0.4471
11.020 -0.3762
11.040 -0.3104
11.060 -0.2492
11.080 -0.1926
11.100 -0.1401
11.120 -0.0915
11.140 -0.0464
11.160 -0.0047
11.180 0.0340
11.200 0.0698
11.220 0.1030
11.240 0.1337
11.260 0.1621
11.280 0.1885
11.300 0.2128
11.320 0.2354
11.340 0.2563
11.360 0.2756
11.380 0.2935
11.400 0.3101
11.420 0.3255
11.440 0.3397
11.460 0.3530
11.480 0.3653
11.500 0.3767
11.520 0.3873
11.540 0.3972
11.560 0.4063
11.580 0.4147
11.600 0.4224
11.620 0.4294
11.640 0.4357
11.660 0.4413
11.680 0.4461
11.700 0.4501
11.720 0.4532
11.740 0.4555
11.760 0.4567
11.780 0.4568
11.800 0.4558
11.820 0.4536
11.840 0.4499
11.860 0.4448
11.880 0.4382
11.900 0.4298
11.920 0.4196
11.940 0.4074
11.960 0.3930
11.980 0.3764
12.000 0.3573
12.020 0.3356
12.040 0.3110
12.060 0.2833
12.080 0.2522
12.100 0.2174
12.120 0.1786
12.140 0.1353
12.160 0.0871
12.180 0.0334
12.200 -0.0265
12.220 -0.0935
12.240 -0.1684
12.260 -0.2526
12.280 -0.3476
12.300 -0.4550
12.320 -0.5766
12.340 -0.7137
12.360 -0.8648
12.380 -1.0200
12.400 -1.1502
12.420 -1.2031
12.440 -1.1473
12.460 -1.0163
12.480 -0.8620
12.500 -0.7127
12.520 -0.5776
12.540 -0.4580
12.560 -0.3527
12.580 -0.2600
12.600 -0.1781
12.620 -0.1056
12.640 -0.0413
12.660 0.0157
12.680 0.0663
12.700 0.1110
12.720 0.1505
12.740 0.1852
12.760 0.2153
12.780 0.2414
12.800 0.2635
12.820 0.2819
12.840 0.2968
12.860 0.3084
12.880 0.3167
12.900 0.3220
12.920 0.3242
12.940 0.3236
12.960 0.3200
12.980 0.3136
13.000 0.3045
13.020 0.2926
13.040 0.2780
13.060 0.2607
13.080 0.2407
13.100 0.2181
13.120 0.1929
13.140 0.1650
13.160 0.1345
13.180 0.1015
13.200 0.0661
13.220 0.0282
13.240 -0.0119
13.260 -0.0541
13.280 -0.0981
13.300 -0.1434
13.320 -0.1895
13.340 -0.2358
13.360 -0.2812
13.380 -0.3245
13.400 -0.3643
13.420 -0.3990
13.440 -0.4268
13.460 -0.4462
13.480 -0.4562
13.500 -0.4561
13.520 -0.4463
13.540 -0.4276
13.560 -0.4012
13.580 -0.3689
13.600 -0.3320
13.620 -0.2922
13.640 -0.2505
13.660 -0.2079
13.680 -0.1651
13.700 -0.1227
13.720 -0.0810
13.740 -0.0404
13.760 -0.0010
13.780 0.0371
13.800 0.0738
13.820 0.1089
13.840 0.1425
13.860 0.1745
13.880 0.2049
13.900 0.2336
13.920 0.2607
13.940 0.2861
13.960 0.3098
13.980 0.3317
14.000 0.3519
14.020 0.3702
14.040 0.3866
14.060 0.4012
14.080 0.4138
14.100 0.4244
14.120 0.4329
14.140 0.4394
14.160 0.4436
14.180 0.4457
14.200 0.4454
14.220 0.4427
14.240 0.4375
14.260 0.4298
14.280 0.4193
14.300 0.4060
14.320 0.3897
14.340 0.3702
14.360 0.3474
14.380 0.3209
14.400 0.2906
14.420 0.2561
14.440 0.2170
14.460 0.1729
14.480 0.1232
14.500 0.0672
14.520 0.0040
14.540 -0.0675
14.560 -0.1489
14.580 -0.2421
14.600 -0.3500
14.620 -0.4767
14.640 -0.6285
14.660 -0.8159
14.680 -1.0578
14.700 -1.3944
14.720 -1.9295
14.740 -2.6677
14.760 -1.9397
14.780 -1.4037
14.800 -1.0680
14.820 -0.8276
14.840 -0.6422
14.860 -0.4924
14.880 -0.3679
14.900 -0.2622
14.920 -0.1712
14.940 -0.0921
14.960 -0.0229
14.980 0.0380
15.000 0.0917
15.020 0.1391
15.040 0.1809
15.060 0.2176
15.080 0.2498
15.100 0.2779
15.120 0.3021
15.140 0.3227
15.160 0.3400
15.180 0.3543
15.200 0.3656
15.220 0.3742
15.240 0.3802
15.260 0.3838
15.280 0.3851
15.300 0.3842
15.320 0.3813
15.340 0.3765
15.360 0.3698
15.380 0.3615
15.400 0.3516
15.420 0.3402
15.440 0.3276
15.460 0.3138
15.480 0.2989
15.500 0.2831
15.520 0.2665
15.540 0.2493
15.560 0.2315
15.580 0.2133
15.600 0.1949
15.620 0.1763
15.640 0.1576
15.660 0.1390
15.680 0.1204
15.700 0.1020
15.720 0.0838
15.740 0.0658
15.760 0.0481
15.780 0.0306
15.800 0.0134
15.820 -0.0035
15.840 -0.0200
15.860 -0.0361
15.880 -0.0517
15.900 -0.0668
15.920 -0.0811
15.940 -0.0946
15.960 -0.1069
15.980 -0.1179
16.000 -0.1273
16.020 -0.1349
16.040 -0.1402
16.060 -0.1432
16.080 -0.1437
16.100 -0.1415
16.120 -0.1365
16.140 -0.1290
16.160 -0.1190
16.180 -0.1067
16.200 -0.0926
16.220 -0.0770
16.240 -0.0602
16.260 -0.0428
16.280 -0.0252
16.300 -0.0077
16.320 0.0092
16.340 0.0252
16.360 0.0400
16.380 0.0534
16.400 0.0649
16.420 0.0744
16.440 0.0817
16.460 0.0865
16.480 0.0888
16.500 0.0882
16.520 0.0846
16.540 0.0778
16.560 0.0676
16.580 0.0538
16.600 0.0361
16.620 0.0143
16.640 -0.0118
16.660 -0.0427
16.680 -0.0787
16.700 -0.1202
16.720 -0.1676
16.740 -0.2214
16.760 -0.2820
16.780 -0.3499
16.800 -0.4250
16.820 -0.5069
16.840 -0.5936
16.860 -0.6809
16.880 -0.7604
16.900 -0.8188
16.920 -0.8411
16.940 -0.8186
16.960 -0.7555
16.980 -0.6658
17.000 -0.5640
17.020 -0.4602
17.040 -0.3600
17.060 -0.2661
17.080 -0.1794
17.100 -0.1000
17.120 -0.0275
17.140 0.0384
17.160 0.0981
17.180 0.1522
17.200 0.2011
17.220 0.2450
17.240 0.2844
17.260 0.3194
17.280 0.3503
17.300 0.3774
17.320 0.4007
17.340 0.4204
17.360 0.4367
17.380 0.4496
17.400 0.4591
17.420 0.4654
17.440 0.4684
17.460 0.4681
17.480 0.4647
17.500 0.4579
17.520 0.4478
17.540 0.4343
17.560 0.4172
17.580 0.3965
17.600 0.3720
17.620 0.3434
17.640 0.3106
17.660 0.2731
17.680 0.2307
17.700 0.1828
17.720 0.1288
17.740 0.0679
17.760 -0.0007
17.780 -0.0785
17.800 -0.1672
17.820 -0.2691
17.840 -0.3877
17.860 -0.5280
17.880 -0.6979
17.900 -0.9111
17.920 -1.1928
17.940 -1.5929
17.960 -2.1388
17.980 -2.0216
18.000 -1.4924
18.020 -1.1254
18.040 -0.8627
18.060 -0.6613
18.080 -0.4991
18.100 -0.3643
18.120 -0.2495
18.140 -0.1502
18.160 -0.0631
18.180 0.0140
18.200 0.0829
18.220 0.1447
18.240 0.2005
18.260 0.2510
18.280 0.2969
18.300 0.3387
18.320 0.3768
18.340 0.4115
18.360 0.4432
18.380 0.4722
18.400 0.4986
18.420 0.5226
18.440 0.5444
18.460 0.5641
18.480 0.5818
18.500 0.5977
18.520 0.6118
18.540 0.6242
18.560 0.6349
18.580 0.6440
18.600 0.6515
18.620 0.6575
18.640 0.6620
18.660 0.6649
18.680 0.6663
18.700 0.6661
18.720 0.6644
18.740 0.6611
18.760 0.6562
18.780 0.6496
18.800 0.6414
18.820 0.6313
18.840 0.6194
18.860 0.6057
18.880 0.5899
18.900 0.5721
18.920 0.5520
18.940 0.5297
18.960 0.5049
18.980 0.4775
19.000 0.4473
19.020 0.4142
19.040 0.3778
19.060 0.3379
19.080 0.2942
19.100 0.2464
19.120 0.1939
19.140 0.1362
19.160 0.0726
19.180 0.0024
19.200 -0.0755
19.220 -0.1624
19.240 -0.2601
19.260 -0.3707
19.280 -0.4971
19.300 -0.6434
19.320 -0.8141
19.340 -1.0135
19.360 -1.2370
19.380 -1.4401
19.400 -1.4992
19.420 -1.3609
19.440 -1.1472
19.460 -0.9437
19.480 -0.7687
19.500 -0.6206
19.520 -0.4945
19.540 -0.3862
19.560 -0.2922
19.580 -0.2099
19.600 -0.1374
19.620 -0.0732
19.640 -0.0162
19.660 0.0346
19.680 0.0800
19.700 0.1205
19.720 0.1566
19.740 0.1887
19.760 0.2172
19.780 0.2424
19.800 0.2644
19.820 0.2837
19.840 0.3002
19.860 0.3142
19.880 0.3258
19.900 0.3351
19.920 0.3423
19.940 0.3473
19.960 0.3504
