u x r1 r2
9.2103 1.0000e+4 8.89780e+0 -2.12609e+4
9.2184 1.0081e+4 1.07536e+1 -2.10361e+4
9.2265 1.0163e+4 7.83938e+0 -2.08136e+4
9.2346 1.0246e+4 1.04804e+1 -2.05934e+4
9.2427 1.0329e+4 1.44095e+1 -2.03754e+4
9.2508 1.0413e+4 1.13462e+1 -2.01596e+4
9.2590 1.0498e+4 1.01901e+1 -1.99460e+4
9.2671 1.0584e+4 9.35001e+0 -1.97346e+4
9.2752 1.0670e+4 6.68199e+0 -1.95254e+4
9.2833 1.0756e+4 1.03676e+1 -1.93183e+4
9.2914 1.0844e+4 1.21666e+1 -1.91133e+4
9.2995 1.0932e+4 9.35342e+0 -1.89104e+4
9.3076 1.1021e+4 6.72382e+0 -1.87096e+4
9.3157 1.1111e+4 7.75304e+0 -1.85109e+4
9.3238 1.1201e+4 7.02111e+0 -1.83141e+4
9.3319 1.1292e+4 7.66571e+0 -1.81194e+4
9.3400 1.1384e+4 9.79729e+0 -1.79266e+4
9.3481 1.1477e+4 5.77584e+0 -1.77359e+4
9.3562 1.1570e+4 1.14598e+0 -1.75471e+4
9.3643 1.1664e+4 3.53315e+0 -1.73602e+4
9.3724 1.1759e+4 3.66424e+0 -1.71753e+4
9.3805 1.1855e+4 8.46954e-1 -1.69923e+4
9.3886 1.1951e+4 -6.00218e-1 -1.68111e+4
9.3967 1.2048e+4 -8.17434e-2 -1.66318e+4
9.4048 1.2146e+4 -7.44020e-1 -1.64544e+4
9.4129 1.2245e+4 -4.39673e+0 -1.62788e+4
9.4210 1.2345e+4 -6.30354e+0 -1.61050e+4
9.4291 1.2445e+4 -5.52406e+0 -1.59330e+4
9.4372 1.2546e+4 -3.07625e+0 -1.57628e+4
9.4453 1.2648e+4 -2.73851e+0 -1.55943e+4
9.4534 1.2751e+4 -2.58785e+0 -1.54274e+4
9.4615 1.2855e+4 1.73221e+0 -1.52622e+4
9.4696 1.2960e+4 6.11578e+0 -1.50987e+4
9.4777 1.3065e+4 6.45365e+0 -1.49368e+4
9.4858 1.3171e+4 2.67439e+0 -1.47765e+4
9.4939 1.3278e+4 -1.00713e+0 -1.46180e+4
9.5020 1.3386e+4 -2.68238e+0 -1.44611e+4
9.5101 1.3495e+4 -3.02611e+0 -1.43058e+4
9.5182 1.3605e+4 -3.48628e+0 -1.41522e+4
9.5263 1.3716e+4 -5.79030e+0 -1.40001e+4
9.5344 1.3827e+4 -5.31880e+0 -1.38496e+4
9.5425 1.3940e+4 -3.99865e+0 -1.37006e+4
9.5506 1.4053e+4 -2.72476e+0 -1.35531e+4
9.5587 1.4168e+4 -3.81933e+0 -1.34071e+4
9.5668 1.4283e+4 -1.36131e+0 -1.32626e+4
9.5749 1.4399e+4 -1.74884e-1 -1.31196e+4
9.5830 1.4516e+4 -3.14936e-1 -1.29780e+4
9.5911 1.4634e+4 -5.42164e-2 -1.28378e+4
9.5992 1.4753e+4 1.58771e-1 -1.26991e+4
9.6073 1.4873e+4 6.43824e-1 -1.25618e+4
9.6154 1.4994e+4 3.20724e-1 -1.24259e+4
9.6235 1.5116e+4 -6.55751e-1 -1.22914e+4
9.6316 1.5239e+4 -5.18125e-1 -1.21583e+4
9.6397 1.5363e+4 -2.13628e+0 -1.20266e+4
9.6478 1.5488e+4 -2.47267e+0 -1.18962e+4
9.6559 1.5614e+4 -7.07241e-1 -1.17671e+4
9.6640 1.5741e+4 -5.44872e-1 -1.16393e+4
9.6721 1.5869e+4 -2.57347e+0 -1.15129e+4
9.6802 1.5998e+4 -2.16827e+0 -1.13877e+4
9.6883 1.6128e+4 3.84453e-2 -1.12638e+4
9.6964 1.6260e+4 1.47279e-1 -1.11412e+4
9.7045 1.6392e+4 -7.95323e-1 -1.10198e+4
9.7126 1.6525e+4 1.84399e+0 -1.08997e+4
9.7207 1.6660e+4 2.27953e+0 -1.07807e+4
9.7288 1.6795e+4 7.90342e-2 -1.06630e+4
