kind gamma half
L 6.0209 3.0105
L 10.2438 5.1219
L 12.9881 6.4940
L 16.3426 8.1713
L 18.2920 9.1460
L 21.4506 10.7253
L 23.2784 11.6392
L 25.7288 12.8644
L 28.3596 14.1798
L 29.6564 14.8282
L 32.5922 16.2961
L 34.2000 17.1000
L 36.1429 18.0714
L 38.5119 19.2560
L 40.3227 20.1613
L 41.8071 20.9035
L 44.6179 22.3089
L 45.5996 22.7998
L 47.7416 23.8708
L 49.7231 24.8616
L 51.6861 25.8430
L 52.7688 26.3844
L 55.2675 27.6338
L 56.9344 28.4672
L 58.1167 29.0584
Z 14.1347 7.0674
Z 21.0220 10.5110
Z 25.0109 12.5054
Z 30.4249 15.2124
Z 32.9351 16.4675
Z 37.5862 18.7931
Z 40.9187 20.4594
Z 43.3271 21.6635
Z 48.0052 24.0026
Z 49.7738 24.8869
Z 52.9703 26.4852
Z 56.4462 28.2231
Z 59.3470 29.6735
