om d2
4.000 0.2356
4.020 0.2183
4.040 0.1998
4.060 0.1800
4.080 0.1590
4.100 0.1367
4.120 0.1133
4.140 0.0887
4.160 0.0631
4.180 0.0365
4.200 0.0090
4.220 -0.0191
4.240 -0.0478
4.260 -0.0767
4.280 -0.1056
4.300 -0.1340
4.320 -0.1616
4.340 -0.1879
4.360 -0.2122
4.380 -0.2340
4.400 -0.2527
4.420 -0.2677
4.440 -0.2785
4.460 -0.2847
4.480 -0.2862
4.500 -0.2828
4.520 -0.2749
4.540 -0.2626
4.560 -0.2466
4.580 -0.2272
4.600 -0.2053
4.620 -0.1812
4.640 -0.1557
4.660 -0.1293
4.680 -0.1022
4.700 -0.0751
4.720 -0.0481
4.740 -0.0216
4.760 0.0043
4.780 0.0294
4.800 0.0536
4.820 0.0767
4.840 0.0987
4.860 0.1196
4.880 0.1392
4.900 0.1577
4.920 0.1749
4.940 0.1909
4.960 0.2056
4.980 0.2190
5.000 0.2312
5.020 0.2421
5.040 0.2518
5.060 0.2603
5.080 0.2675
5.100 0.2734
5.120 0.2782
5.140 0.2816
5.160 0.2839
5.180 0.2849
5.200 0.2846
5.220 0.2832
5.240 0.2804
5.260 0.2764
5.280 0.2711
5.300 0.2645
5.320 0.2566
5.340 0.2474
5.360 0.2368
5.380 0.2248
5.400 0.2114
5.420 0.1965
5.440 0.1801
5.460 0.1622
5.480 0.1427
5.500 0.1215
5.520 0.0986
5.540 0.0738
5.560 0.0472
5.580 0.0185
5.600 -0.0123
5.620 -0.0454
5.640 -0.0809
5.660 -0.1190
5.680 -0.1600
5.700 -0.2041
5.720 -0.2516
5.740 -0.3028
5.760 -0.3582
5.780 -0.4184
5.800 -0.4839
5.820 -0.5556
5.840 -0.6344
5.860 -0.7217
5.880 -0.8189
5.900 -0.9282
5.920 -1.0519
5.940 -1.1932
5.960 -1.3546
5.980 -1.5352
6.000 -1.7198
6.020 -1.8540
6.040 -1.8532
6.060 -1.7166
6.080 -1.5288
6.100 -1.3445
6.120 -1.1792
6.140 -1.0341
6.160 -0.9062
6.180 -0.7928
6.200 -0.6912
6.220 -0.5994
6.240 -0.5158
6.260 -0.4391
6.280 -0.3683
6.300 -0.3026
6.320 -0.2412
6.340 -0.1838
6.360 -0.1298
6.380 -0.0788
6.400 -0.0306
6.420 0.0151
6.440 0.0586
6.460 0.1001
6.480 0.1396
6.500 0.1774
6.520 0.2135
6.540 0.2482
6.560 0.2814
6.580 0.3132
6.600 0.3438
6.620 0.3732
6.640 0.4014
6.660 0.4285
6.680 0.4545
6.700 0.4795
6.720 0.5035
6.740 0.5265
6.760 0.5486
6.780 0.5697
6.800 0.5899
6.820 0.6092
6.840 0.6277
6.860 0.6452
6.880 0.6619
6.900 0.6778
6.920 0.6928
6.940 0.7070
6.960 0.7204
6.980 0.7330
7.000 0.7447
7.020 0.7556
7.040 0.7657
7.060 0.7750
7.080 0.7835
7.100 0.7912
7.120 0.7981
7.140 0.8042
7.160 0.8095
7.180 0.8140
7.200 0.8176
7.220 0.8205
7.240 0.8226
7.260 0.8238
7.280 0.8243
7.300 0.8239
7.320 0.8227
7.340 0.8207
7.360 0.8178
7.380 0.8142
7.400 0.8097
7.420 0.8043
7.440 0.7981
7.460 0.7910
7.480 0.7831
7.500 0.7743
7.520 0.7647
7.540 0.7541
7.560 0.7427
7.580 0.7303
7.600 0.7170
7.620 0.7028
7.640 0.6876
7.660 0.6715
7.680 0.6544
7.700 0.6364
7.720 0.6173
7.740 0.5972
7.760 0.5760
7.780 0.5538
7.800 0.5305
7.820 0.5060
7.840 0.4805
7.860 0.4537
7.880 0.4258
7.900 0.3967
7.920 0.3663
7.940 0.3346
7.960 0.3016
7.980 0.2673
8.000 0.2315
8.020 0.1943
8.040 0.1557
8.060 0.1155
8.080 0.0739
8.100 0.0306
8.120 -0.0142
8.140 -0.0606
8.160 -0.1087
8.180 -0.1583
8.200 -0.2095
8.220 -0.2621
8.240 -0.3161
8.260 -0.3712
8.280 -0.4272
8.300 -0.4836
8.320 -0.5400
8.340 -0.5957
8.360 -0.6497
8.380 -0.7012
8.400 -0.7488
8.420 -0.7914
8.440 -0.8278
8.460 -0.8569
8.480 -0.8780
8.500 -0.8911
8.520 -0.8963
8.540 -0.8945
8.560 -0.8868
8.580 -0.8744
8.600 -0.8585
8.620 -0.8404
8.640 -0.8210
8.660 -0.8011
8.680 -0.7815
8.700 -0.7625
8.720 -0.7446
8.740 -0.7280
8.760 -0.7130
8.780 -0.6996
8.800 -0.6880
8.820 -0.6783
8.840 -0.6703
8.860 -0.6643
8.880 -0.6602
8.900 -0.6579
8.920 -0.6576
8.940 -0.6591
8.960 -0.6625
8.980 -0.6679
9.000 -0.6751
9.020 -0.6843
9.040 -0.6953
9.060 -0.7083
9.080 -0.7233
9.100 -0.7401
9.120 -0.7590
9.140 -0.7797
9.160 -0.8024
9.180 -0.8269
9.200 -0.8532
9.220 -0.8810
9.240 -0.9102
9.260 -0.9403
9.280 -0.9709
9.300 -1.0013
9.320 -1.0304
9.340 -1.0571
9.360 -1.0798
9.380 -1.0968
9.400 -1.1063
9.420 -1.1069
9.440 -1.0972
9.460 -1.0769
9.480 -1.0464
9.500 -1.0068
