u x n2
9.2103 1.0000e+4 -1.79298e+1
9.2178 1.0075e+4 -1.77739e+1
9.2252 1.0150e+4 -1.76213e+1
9.2326 1.0225e+4 -1.74737e+1
9.2400 1.0301e+4 -1.73247e+1
9.2475 1.0378e+4 -1.71793e+1
9.2549 1.0456e+4 -1.70424e+1
9.2623 1.0533e+4 -1.69045e+1
9.2697 1.0612e+4 -1.67766e+1
9.2772 1.0691e+4 -1.66692e+1
9.2846 1.0771e+4 -1.65676e+1
9.2920 1.0851e+4 -1.64567e+1
9.2994 1.0932e+4 -1.63552e+1
9.3069 1.1013e+4 -1.62642e+1
9.3143 1.1095e+4 -1.61958e+1
9.3217 1.1178e+4 -1.61079e+1
9.3291 1.1261e+4 -1.60105e+1
9.3366 1.1345e+4 -1.59085e+1
9.3440 1.1430e+4 -1.58032e+1
9.3514 1.1515e+4 -1.57042e+1
9.3588 1.1601e+4 -1.56182e+1
9.3663 1.1687e+4 -1.55210e+1
9.3737 1.1774e+4 -1.54193e+1
9.3811 1.1862e+4 -1.53167e+1
9.3885 1.1951e+4 -1.52191e+1
9.3960 1.2040e+4 -1.51066e+1
9.4034 1.2129e+4 -1.50005e+1
9.4108 1.2220e+4 -1.49031e+1
9.4182 1.2311e+4 -1.48067e+1
9.4257 1.2402e+4 -1.47048e+1
9.4331 1.2495e+4 -1.46062e+1
9.4405 1.2588e+4 -1.45039e+1
9.4479 1.2682e+4 -1.44019e+1
9.4554 1.2776e+4 -1.43041e+1
9.4628 1.2872e+4 -1.41926e+1
9.4702 1.2967e+4 -1.40750e+1
9.4776 1.3064e+4 -1.39612e+1
9.4850 1.3161e+4 -1.38623e+1
9.4925 1.3260e+4 -1.37652e+1
9.4999 1.3358e+4 -1.36827e+1
9.5073 1.3458e+4 -1.36043e+1
9.5147 1.3558e+4 -1.35245e+1
9.5222 1.3659e+4 -1.34487e+1
9.5296 1.3761e+4 -1.33726e+1
9.5370 1.3864e+4 -1.32997e+1
9.5444 1.3967e+4 -1.32318e+1
9.5519 1.4071e+4 -1.31542e+1
9.5593 1.4176e+4 -1.30728e+1
9.5667 1.4281e+4 -1.29842e+1
9.5741 1.4388e+4 -1.28909e+1
9.5816 1.4495e+4 -1.28004e+1
9.5890 1.4603e+4 -1.27039e+1
9.5964 1.4712e+4 -1.26067e+1
9.6038 1.4822e+4 -1.25200e+1
9.6113 1.4932e+4 -1.24234e+1
9.6187 1.5043e+4 -1.23301e+1
9.6261 1.5155e+4 -1.22593e+1
9.6335 1.5268e+4 -1.21912e+1
9.6410 1.5382e+4 -1.21258e+1
9.6484 1.5497e+4 -1.20578e+1
9.6558 1.5612e+4 -1.19825e+1
9.6632 1.5729e+4 -1.18954e+1
9.6707 1.5846e+4 -1.18048e+1
9.6781 1.5964e+4 -1.17263e+1
9.6855 1.6083e+4 -1.16364e+1
9.6929 1.6203e+4 -1.15309e+1
9.7004 1.6324e+4 -1.14277e+1
9.7078 1.6445e+4 -1.13229e+1
9.7152 1.6568e+4 -1.12082e+1
9.7226 1.6691e+4 -1.10783e+1
9.7301 1.6816e+4 -1.09477e+1
9.7375 1.6941e+4 -1.08237e+1
9.7449 1.7067e+4 -1.07037e+1
9.7523 1.7194e+4 -1.05839e+1
9.7598 1.7322e+4 -1.04675e+1
9.7672 1.7452e+4 -1.03671e+1
9.7746 1.7582e+4 -1.02707e+1
9.7820 1.7713e+4 -1.01862e+1
9.7895 1.7845e+4 -1.00948e+1
9.7969 1.7978e+4 -9.99547e+0
9.8043 1.8112e+4 -9.90888e+0
9.8117 1.8247e+4 -9.82135e+0
9.8192 1.8383e+4 -9.73107e+0
9.8266 1.8520e+4 -9.64499e+0
9.8340 1.8658e+4 -9.56303e+0
9.8414 1.8797e+4 -9.48384e+0
9.8489 1.8937e+4 -9.43309e+0
9.8563 1.9078e+4 -9.38020e+0
9.8637 1.9220e+4 -9.33614e+0
9.8711 1.9363e+4 -9.29393e+0
9.8786 1.9507e+4 -9.25119e+0
9.8860 1.9653e+4 -9.21272e+0
9.8934 1.9799e+4 -9.16726e+0
9.9008 1.9947e+4 -9.10216e+0
9.9082 2.0095e+4 -9.04345e+0
9.9157 2.0245e+4 -8.98620e+0
9.9231 2.0396e+4 -8.93786e+0
9.9305 2.0548e+4 -8.89076e+0
9.9379 2.0701e+4 -8.84163e+0
9.9454 2.0855e+4 -8.78455e+0
9.9528 2.1011e+4 -8.71677e+0
9.9602 2.1167e+4 -8.65049e+0
9.9676 2.1325e+4 -8.59295e+0
9.9751 2.1484e+4 -8.53007e+0
9.9825 2.1644e+4 -8.45192e+0
9.9899 2.1806e+4 -8.38492e+0
9.9973 2.1968e+4 -8.31701e+0
