rho phi se phiRandom phiHL seHL kappa kappaC kappaSD T d n mu
0.1752 0.6797 0.0583 0.9761 0.7881 0.0022 -0.5071 -0.5149 0.3617 25 5 240 1.98
0.1911 0.7355 0.0648 1.0434 0.7726 0.0019 -0.6907 -0.7265 0.4168 50 5 240 3.57
0.2002 0.7246 0.0744 1.0018 0.7644 0.0017 -0.6858 -0.7060 0.4023 100 5 240 6.37
0.2049 0.7518 0.0719 1.2073 0.7603 0.0014 -0.6577 -0.6750 0.4132 200 5 240 11.35
0.2070 0.7506 0.0793 1.1490 0.7610 0.0012 -0.6361 -0.6492 0.3907 400 5 240 20.27
0.2469 0.6965 0.0564 0.9307 0.5573 0.0082 -0.5626 -0.5302 0.5821 25 5 240 3.23
0.2399 0.7635 0.0614 1.2392 0.6088 0.0057 -0.6979 -0.7022 0.4615 50 5 240 5.00
0.2344 0.7127 0.0674 0.9355 0.6474 0.0040 -0.7437 -0.7109 0.4481 100 5 240 8.00
0.2300 0.7343 0.0743 1.0178 0.6807 0.0028 -0.6898 -0.6665 0.5067 200 5 240 13.23
0.2265 0.7020 0.0636 1.0821 0.7062 0.0021 -0.6840 -0.6486 0.4391 400 5 240 22.46
