rho phi se phiRandom phiHL seHL kappa kappaC kappaSD T d n mu
0.5061 0.3469 0.0334 1.0235 0.1286 0.0168 -0.5379 -0.5466 0.4024 25 2 240 5.91
0.5201 0.2982 0.0286 1.0891 0.1687 0.0118 -0.6769 -0.7294 0.3567 50 2 240 9.98
0.5256 0.3340 0.0363 0.8683 0.2108 0.0082 -0.7199 -0.7279 0.4082 100 2 240 17.06
0.5269 0.2888 0.0268 0.9727 0.2486 0.0059 -0.6551 -0.6707 0.3862 200 2 240 29.52
0.5263 0.3784 0.0366 1.0649 0.2852 0.0045 -0.6552 -0.6564 0.3950 400 2 240 51.76
0.5248 0.3278 0.0342 0.9919 0.3169 0.0037 -0.5631 -0.5954 0.2922 800 2 240 91.88
0.5232 0.3746 0.0312 0.9877 0.3420 0.0031 -0.6003 -0.6056 0.3482 1600 2 240 164.96
0.5215 0.3753 0.0386 0.8694 0.3623 0.0027 -0.5321 -0.5601 0.2811 3200 2 240 299.09
0.3754 0.5486 0.0462 0.9675 0.3687 0.0121 -0.5832 -0.5553 0.4646 25 3 240 4.46
0.3745 0.4952 0.0394 1.1279 0.4195 0.0083 -0.7200 -0.7257 0.4544 50 3 240 7.23
0.3716 0.4946 0.0446 1.1012 0.4632 0.0059 -0.7249 -0.7077 0.4211 100 3 240 11.99
0.3683 0.4972 0.0476 1.0579 0.4972 0.0042 -0.6964 -0.6704 0.4662 200 3 240 20.31
0.3650 0.6647 0.0781 0.9594 0.5267 0.0035 -0.6740 -0.6532 0.4008 400 3 240 35.10
0.3621 0.7818 0.1192 0.9016 0.5498 0.0029 -0.6109 -0.5984 0.3950 800 3 240 61.67
0.3595 0.9127 0.2159 0.9044 0.5683 0.0025 -0.6138 -0.5938 0.3666 1600 3 240 109.92
0.2989 0.6307 0.0561 1.0588 0.4766 0.0125 -0.5953 -0.5323 0.5364 25 4 240 3.70
0.2932 0.6293 0.0515 0.9249 0.5335 0.0082 -0.7127 -0.6900 0.5107 50 4 240 5.84
0.2880 0.6762 0.0595 1.1394 0.5771 0.0058 -0.7384 -0.6989 0.4499 100 4 240 9.49
0.2836 0.7381 0.0637 0.8924 0.6125 0.0039 -0.7246 -0.6572 0.5731 200 4 240 15.84
0.2799 0.7510 0.0604 1.0700 0.6405 0.0031 -0.6919 -0.6339 0.4769 400 4 240 27.10
0.2768 0.9483 0.0962 1.0283 0.6620 0.0025 -0.6181 -0.5770 0.4608 800 4 240 47.29
0.2469 0.6965 0.0564 0.9307 0.5573 0.0082 -0.5626 -0.5302 0.5821 25 5 240 3.23
0.2399 0.7635 0.0614 1.2392 0.6088 0.0057 -0.6979 -0.7022 0.4615 50 5 240 5.00
0.2344 0.7127 0.0674 0.9355 0.6474 0.0040 -0.7437 -0.7109 0.4481 100 5 240 8.00
0.2300 0.7343 0.0743 1.0178 0.6807 0.0028 -0.6898 -0.6665 0.5067 200 5 240 13.23
0.2265 0.7020 0.0636 1.0821 0.7062 0.0021 -0.6840 -0.6486 0.4391 400 5 240 22.46
0.2117 0.6505 0.0529 0.9320 0.5701 0.0148 -0.5672 -0.5288 0.4044 25 6 240 2.70
0.2040 0.5887 0.0443 1.0500 0.6316 0.0095 -0.7356 -0.7116 0.4237 50 6 240 4.07
0.1983 0.6247 0.0576 0.9288 0.6776 0.0058 -0.7721 -0.7086 0.4494 100 6 240 6.40
0.1940 0.6088 0.0535 1.0941 0.7139 0.0035 -0.7197 -0.6675 0.4531 200 6 240 10.45
