rho phi se phiRandom phiHL seHL kappa kappaC kappaSD T d n mu
0.4278 0.3052 0.0258 1.1596 0.3116 0.0154 -0.4994 -0.5576 0.3308 25 2 240 4.84
0.4700 0.3285 0.0321 1.0448 0.2981 0.0091 -0.6704 -0.7529 0.3317 50 2 240 8.72
0.4954 0.2991 0.0242 0.9207 0.2941 0.0063 -0.7030 -0.7493 0.3865 100 2 240 15.60
0.5091 0.2831 0.0271 0.9619 0.3001 0.0042 -0.6215 -0.6838 0.3223 200 2 240 27.86
0.5156 0.3912 0.0439 1.0055 0.3155 0.0031 -0.6182 -0.6653 0.3285 400 2 240 49.86
0.5182 0.3614 0.0301 1.0343 0.3328 0.0024 -0.5352 -0.6004 0.2592 800 2 240 89.67
0.5187 0.3890 0.0398 1.1052 0.3489 0.0019 -0.5713 -0.6166 0.2991 1600 2 240 162.28
0.5182 0.3262 0.0342 1.0524 0.3636 0.0015 -0.5271 -0.5822 0.2536 3200 2 240 295.67
0.2692 0.7143 0.0738 1.0306 0.6487 0.0068 -0.5604 -0.5306 0.4603 25 3 240 2.89
0.3015 0.5732 0.0526 1.0250 0.6187 0.0053 -0.7302 -0.7466 0.4193 50 3 240 5.30
0.3225 0.5160 0.0404 0.9193 0.6000 0.0039 -0.7425 -0.7398 0.4315 100 3 240 9.63
0.3348 0.6199 0.0565 0.9441 0.5908 0.0031 -0.7071 -0.6858 0.5131 200 3 240 17.39
0.3411 0.6952 0.0517 0.9666 0.5909 0.0025 -0.6958 -0.6809 0.4417 400 3 240 31.36
0.3440 0.7208 0.0650 1.0026 0.5938 0.0022 -0.6090 -0.6111 0.3782 800 3 240 56.66
0.3450 0.6643 0.0662 1.0064 0.5989 0.0019 -0.6263 -0.6175 0.3909 1600 3 240 102.84
0.1977 0.6781 0.0546 0.8929 0.7624 0.0027 -0.7186 -0.5247 0.8671 25 4 240 1.92
0.2230 0.6424 0.0522 1.0713 0.7374 0.0025 -0.8646 -0.7361 0.7026 50 4 240 3.57
0.2398 0.6511 0.0630 0.7657 0.7194 0.0023 -0.8745 -0.7358 0.6071 100 4 240 6.55
0.2498 0.6345 0.0574 1.1175 0.7091 0.0020 -0.8457 -0.6767 0.7925 200 4 240 11.88
0.2551 0.7226 0.0697 1.0537 0.7062 0.0017 -0.8202 -0.6688 0.6385 400 4 240 21.50
0.2576 0.7087 0.0779 1.0926 0.7071 0.0016 -0.7396 -0.6039 0.6485 800 4 240 38.93
0.1752 0.6797 0.0583 0.9761 0.7881 0.0022 -0.5071 -0.5149 0.3617 25 5 240 1.98
0.1911 0.7355 0.0648 1.0434 0.7726 0.0019 -0.6907 -0.7265 0.4168 50 5 240 3.57
0.2002 0.7246 0.0744 1.0018 0.7644 0.0017 -0.6858 -0.7060 0.4023 100 5 240 6.37
0.2049 0.7518 0.0719 1.2073 0.7603 0.0014 -0.6577 -0.6750 0.4132 200 5 240 11.35
0.2070 0.7506 0.0793 1.1490 0.7610 0.0012 -0.6361 -0.6492 0.3907 400 5 240 20.27
0.1533 0.7385 0.0746 0.7973 0.8170 0.0021 -0.5685 -0.5323 0.4263 25 6 240 1.62
0.1641 0.7928 0.0632 1.2026 0.8056 0.0018 -0.7311 -0.7181 0.4348 50 6 240 2.86
0.1698 0.7106 0.0608 0.9189 0.8007 0.0016 -0.7567 -0.7223 0.4206 100 6 240 5.05
0.1724 0.7511 0.0656 1.0605 0.7992 0.0014 -0.6991 -0.6585 0.4582 200 6 240 8.91
