u H off
6.90776 999 -0.114252
6.91000 1002 -0.732922
6.91225 1004 0.034196
6.91450 1006 0.570814
6.91675 1009 -0.172527
6.91900 1011 -0.543440
6.92125 1013 -0.962173
6.92350 1015 -0.116259
6.92575 1018 0.177140
6.92800 1020 -0.177561
6.93025 1022 -0.666842
6.93250 1025 -0.057265
6.93475 1027 0.479349
6.93699 1029 0.061244
6.93924 1031 -0.056624
6.94149 1034 0.234866
6.94374 1036 0.834331
6.94599 1038 0.335920
6.94824 1041 -0.395099
6.95049 1043 -0.893510
6.95274 1046 0.672220
6.95499 1048 0.240170
6.95724 1050 0.087062
6.95949 1053 -0.656187
6.96174 1055 0.039658
6.96398 1057 0.806720
6.96623 1060 0.074852
6.96848 1062 -0.343820
6.97073 1065 -0.056311
6.97298 1067 0.778683
6.97523 1069 0.322749
6.97748 1072 -0.424853
6.97973 1074 0.111754
6.98198 1077 0.713442
6.98423 1079 0.256637
6.98648 1081 0.000381
6.98873 1084 0.460664
6.99097 1086 1.009249
6.99322 1089 0.261626
6.99547 1091 -0.236771
6.99772 1094 0.056992
6.99997 1096 0.771349
7.00222 1099 0.056456
7.00447 1101 -0.412306
7.00672 1104 0.018743
7.00897 1106 0.601207
7.01122 1109 -0.030534
7.01347 1111 -0.509538
7.01572 1114 -0.026243
7.01796 1116 0.510326
7.02021 1119 -0.237294
7.02246 1121 -0.582100
7.02471 1124 -0.232969
7.02696 1126 0.388340
7.02921 1129 -0.244246
7.03146 1131 -0.391876
7.03371 1134 0.130144
7.03596 1136 0.774802
7.03821 1139 0.027181
7.04046 1141 -0.471228
7.04271 1144 0.046133
7.04495 1147 0.333522
7.04720 1149 -0.080921
7.04945 1152 -0.828526
7.05170 1154 -0.045628
7.05395 1157 0.427627
7.05620 1160 0.103482
7.05845 1162 -0.394930
7.06070 1165 0.080173
7.06295 1167 0.719860
7.06520 1170 0.003839
7.06745 1173 -0.712094
7.06970 1175 -0.175498
7.07194 1178 0.124572
7.07419 1181 -0.277942
7.07644 1183 -0.695814
7.07869 1186 1.016533
7.08094 1189 0.268908
7.08319 1191 -0.229490
7.08544 1194 0.153509
7.08769 1197 0.748839
7.08994 1199 0.356297
7.09219 1202 -0.364493
7.09444 1205 -0.077139
7.09669 1207 0.690210
7.09893 1210 -0.026550
7.10118 1213 -0.600491
7.10343 1216 0.881806
7.10568 1218 0.383394
7.10793 1221 -0.348173
7.11018 1224 0.136944
7.11243 1227 0.473057
7.11468 1229 -0.020805
7.11693 1232 -0.535489
7.11918 1235 -0.244731
7.12143 1238 0.157803
7.12368 1241 -0.575921
7.12592 1243 -1.003627
7.12817 1246 0.409321
7.13042 1249 -0.303982
7.13267 1252 -0.770737
7.13492 1255 -0.483358
7.13717 1257 0.066732
7.13942 1260 -0.494497
7.14167 1263 -1.242119
7.14392 1266 0.472199
7.14617 1269 -0.275426
7.14842 1272 -0.928377
7.15067 1274 -0.161790
7.15291 1277 0.208360
7.15516 1280 -0.516710
7.15741 1283 -1.264333
7.15966 1286 0.471814
7.16191 1289 -0.275811
7.16416 1292 -0.678235
7.16641 1295 -0.332875
7.16866 1298 -0.026557
7.17091 1301 -0.313822
7.17316 1303 -0.807348
7.17541 1306 0.518194
7.17766 1309 -0.229431
7.17990 1312 -0.480199
7.18215 1315 -0.114645
7.18440 1318 0.510174
7.18665 1321 -0.070023
7.18890 1324 0.217332
7.19115 1327 0.963687
7.19340 1330 0.304365
7.19565 1333 -0.420727
7.19790 1336 1.388902
7.20015 1339 0.641279
7.20240 1342 0.022151
7.20465 1345 0.373077
7.20689 1348 0.663545
7.20914 1351 -0.070787
7.21139 1354 0.317014
7.21364 1357 0.650201
7.21589 1360 -0.054992
7.21814 1363 -0.687560
7.22039 1367 0.421869
7.22264 1370 -0.054091
7.22489 1373 -0.801716
7.22714 1376 0.611432
7.22939 1379 -0.136190
7.23164 1382 -0.877491
7.23388 1385 -0.577895
7.23613 1388 0.004131
7.23838 1391 -0.743484
7.24063 1394 0.161809
7.24288 1398 0.205952
7.24513 1401 -0.541670
7.24738 1404 0.075323
7.24963 1407 0.460499
7.25188 1410 -0.267304
7.25413 1413 -0.986711
7.25638 1417 0.428919
7.25863 1420 0.324889
7.26087 1423 -0.422735
7.26312 1426 1.052293
7.26537 1429 0.304668
7.26762 1433 -0.692152
7.26987 1436 0.816676
7.27212 1439 0.090387
7.27437 1442 -0.293766
7.27662 1446 1.038865
7.27887 1449 0.295447
7.28112 1452 -0.433146
7.28337 1455 0.014122
7.28562 1459 0.310388
7.28786 1462 -0.401324
7.29011 1465 -0.077584
7.29236 1469 0.225987
7.29461 1472 -0.167572
7.29686 1475 0.203703
7.29911 1478 0.546996
7.30136 1482 -0.444097
7.30361 1485 -0.027762
7.30586 1488 0.387424
7.30811 1492 -0.444733
7.31036 1495 -0.099897
7.31261 1499 0.226988
7.31485 1502 -0.520631
7.31710 1505 -0.073746
7.31935 1509 -0.020667
7.32160 1512 -0.750251
7.32385 1516 0.369427
7.32610 1519 -0.263154
7.32835 1522 -0.930889
7.33060 1526 0.392179
7.33285 1529 -0.355447
7.33510 1533 -1.237057
7.33735 1536 0.348960
7.33960 1540 -0.483857
7.34184 1543 -1.152790
7.34409 1547 0.227849
7.34634 1550 -0.167143
