om power
0.50 8.80708e-6
0.52 9.20693e-6
0.54 9.60596e-6
0.56 1.00021e-5
0.58 1.03933e-5
0.60 1.07775e-5
0.62 1.11525e-5
0.64 1.15164e-5
0.66 1.18670e-5
0.68 1.22026e-5
0.70 1.25212e-5
0.72 1.28212e-5
0.74 1.31010e-5
0.76 1.33594e-5
0.78 1.35951e-5
0.80 1.38073e-5
0.82 1.39953e-5
0.84 1.41586e-5
0.86 1.42974e-5
0.88 1.44116e-5
0.90 1.45020e-5
0.92 1.45694e-5
0.94 1.46151e-5
0.96 1.46406e-5
0.98 1.46479e-5
1.00 1.46394e-5
1.02 1.46177e-5
1.04 1.45857e-5
1.06 1.45469e-5
1.08 1.45049e-5
1.10 1.44635e-5
1.12 1.44270e-5
1.14 1.43998e-5
1.16 1.43866e-5
1.18 1.43921e-5
1.20 1.44212e-5
1.22 1.44790e-5
1.24 1.45704e-5
1.26 1.47006e-5
1.28 1.48745e-5
1.30 1.50970e-5
1.32 1.53729e-5
1.34 1.57067e-5
1.36 1.61028e-5
1.38 1.65652e-5
1.40 1.70975e-5
1.42 1.77030e-5
1.44 1.83848e-5
1.46 1.91452e-5
1.48 1.99861e-5
1.50 2.09090e-5
1.52 2.19147e-5
1.54 2.30037e-5
1.56 2.41755e-5
1.58 2.54293e-5
1.60 2.67636e-5
1.62 2.81763e-5
1.64 2.96647e-5
1.66 3.12255e-5
1.68 3.28547e-5
1.70 3.45480e-5
1.72 3.63004e-5
1.74 3.81063e-5
1.76 3.99597e-5
1.78 4.18542e-5
1.80 4.37831e-5
1.82 4.57392e-5
1.84 4.77150e-5
1.86 4.97027e-5
1.88 5.16947e-5
1.90 5.36827e-5
1.92 5.56587e-5
1.94 5.76146e-5
1.96 5.95423e-5
1.98 6.14338e-5
2.00 6.32814e-5
2.02 6.50773e-5
2.04 6.68142e-5
2.06 6.84850e-5
2.08 7.00832e-5
2.10 7.16023e-5
2.12 7.30365e-5
2.14 7.43805e-5
2.16 7.56294e-5
2.18 7.67787e-5
2.20 7.78248e-5
2.22 7.87643e-5
2.24 7.95947e-5
2.26 8.03139e-5
2.28 8.09203e-5
2.30 8.14131e-5
2.32 8.17919e-5
2.34 8.20569e-5
2.36 8.22088e-5
2.38 8.22490e-5
2.40 8.21790e-5
2.42 8.20012e-5
2.44 8.17180e-5
2.46 8.13325e-5
2.48 8.08480e-5
2.50 8.02681e-5
2.52 7.95967e-5
2.54 7.88380e-5
2.56 7.79961e-5
2.58 7.70757e-5
2.60 7.60810e-5
2.62 7.50169e-5
2.64 7.38879e-5
2.66 7.26986e-5
2.68 7.14535e-5
2.70 7.01572e-5
2.72 6.88140e-5
2.74 6.74282e-5
2.76 6.60038e-5
2.78 6.45449e-5
2.80 6.30551e-5
2.82 6.15381e-5
2.84 5.99972e-5
2.86 5.84355e-5
2.88 5.68561e-5
2.90 5.52618e-5
2.92 5.36550e-5
2.94 5.20382e-5
2.96 5.04137e-5
2.98 4.87835e-5
3.00 4.71496e-5
3.02 4.55137e-5
3.04 4.38777e-5
3.06 4.22432e-5
3.08 4.06118e-5
3.10 3.89849e-5
3.12 3.73642e-5
3.14 3.57512e-5
3.16 3.41474e-5
3.18 3.25544e-5
3.20 3.09738e-5
3.22 2.94074e-5
3.24 2.78569e-5
3.26 2.63243e-5
3.28 2.48114e-5
3.30 2.33204e-5
3.32 2.18533e-5
3.34 2.04126e-5
3.36 1.90005e-5
3.38 1.76195e-5
3.40 1.62721e-5
3.42 1.49609e-5
3.44 1.36886e-5
3.46 1.24578e-5
3.48 1.12713e-5
3.50 1.01317e-5
3.52 9.04174e-6
3.54 8.00401e-6
3.56 7.02106e-6
3.58 6.09536e-6
3.60 5.22923e-6
3.62 4.42486e-6
3.64 3.68426e-6
3.66 3.00926e-6
3.68 2.40148e-6
3.70 1.86228e-6
3.72 1.39279e-6
3.74 9.93863e-7
3.76 6.66074e-7
3.78 4.09703e-7
3.80 2.24728e-7
3.82 1.10822e-7
3.84 6.73495e-8
3.86 9.33666e-8
3.88 1.87628e-7
3.90 3.48594e-7
3.92 5.74438e-7
3.94 8.63066e-7
3.96 1.21213e-6
3.98 1.61905e-6
4.00 2.08103e-6
4.02 2.59509e-6
4.04 3.15809e-6
4.06 3.76677e-6
4.08 4.41775e-6
4.10 5.10759e-6
4.12 5.83281e-6
4.14 6.58993e-6
4.16 7.37549e-6
4.18 8.18609e-6
4.20 9.01842e-6
4.22 9.86929e-6
4.24 1.07356e-5
4.26 1.16146e-5
4.28 1.25035e-5
4.30 1.34000e-5
4.32 1.43016e-5
4.34 1.52066e-5
4.36 1.61131e-5
4.38 1.70198e-5
4.40 1.79255e-5
4.42 1.88292e-5
4.44 1.97304e-5
4.46 2.06287e-5
4.48 2.15240e-5
4.50 2.24165e-5
