u x R1 R2 R3
6.90675 999 463885.22948587657 308492373.25657332 230809726492.50037
6.91274 1005 469482.98074957367 314092551.28685200 236412890055.42441
6.91771 1010 474174.05562582798 318810817.63127118 241159606685.26141
6.92264 1015 478887.84767022496 323576108.23740953 245977449706.87610
6.92756 1020 483623.99388206418 328388649.81858897 250867126188.34158
6.93245 1025 488385.05203428981 333248677.30712503 255829346630.49301
6.93731 1030 493169.70469174592 338156430.93357766 260864825132.26996
6.94216 1035 497976.95624679781 343112146.67866707 265974279371.69119
6.94698 1040 502807.98436809028 348116052.45555532 271158430478.42792
6.95273 1046 508635.35629860871 354184679.27108067 277479032171.44916
6.95750 1051 513516.93866244855 359295421.83554405 282830071909.96936
6.96224 1056 518421.17659823556 364455093.74709439 288258139472.39111
6.96697 1061 523348.97277564707 369663926.76192588 293763970531.04144
6.97261 1067 529292.59265127697 375979741.81999916 300474656562.25391
6.97728 1072 534271.57718588703 381297541.96965981 306154173955.34705
6.98193 1077 539274.77085237834 386665255.71745986 311913832395.63702
6.98749 1083 545308.83393887593 393172727.61102015 318932265632.49579
6.99210 1088 550363.85972849152 398651073.35023767 324870880953.93262
6.99760 1094 556460.61314820312 405291987.61240184 332106258759.52698
7.00216 1099 561566.28296341433 410882102.92955166 338227500617.36145
7.00760 1105 567723.34981922235 417657806.90582824 345684248980.02698
7.01212 1110 572880.08787994494 423360806.53472066 351991824119.57898
7.01751 1116 579099.21025838645 430272651.80192596 359674413300.43610
7.02198 1121 584307.03600178438 436089665.46632922 366172065584.14087
7.02731 1127 590588.65222930280 443139005.33607018 374085010547.23596
7.03262 1133 596903.05456906976 450263923.15913147 382125523243.10071
7.03703 1138 602189.89326747134 456259368.75749117 388924381847.14941
7.04229 1144 608566.22031757014 463523869.32304978 397202316213.33789
7.04752 1150 614976.17494350171 470865090.68866229 405611701475.61072
7.05272 1156 621418.76461702958 478283427.85516429 414153922177.25220
7.05704 1161 626813.47579425795 484524570.46484685 421374914729.05774
7.06219 1167 633317.76693528530 492085327.91802436 430164286737.76532
7.06732 1173 639854.88173142460 499724333.92865777 439090456026.03052
7.07242 1179 646426.85772866162 507441993.70941067 448154834680.92450
7.07750 1185 653032.23997479596 515238718.06164598 457358842190.63702
7.08255 1191 659670.63870104146 523114904.66550839 466703905305.79803
7.08757 1197 666342.50816742692 531070953.64150423 476191457936.91089
7.09257 1203 673048.80728799501 539107271.66061783 485822941251.08856
7.09755 1209 679788.01120680769 547224261.06442559 495599803741.73401
7.10250 1215 686560.52830933651 555422322.58527100 505523501089.27374
7.10743 1221 693366.32863052527 563701852.88651633 515595496162.90002
7.11233 1227 700206.77441687649 572063258.44309163 525817259036.86212
7.11721 1233 707080.79675752285 580506954.12023032 536190267217.46307
7.12206 1239 713987.86697625485 589033335.13954568 546716005492.29004
7.12769 1246 722088.79015299445 599085819.53532374 559191058146.49634
7.13250 1252 729067.89303574490 607792727.21672738 570052839444.76428
7.13728 1258 736080.74385071255 616583583.99365902 581072100013.08252
7.14204 1264 743128.29115196143 625458805.75192714 592250354666.30273
7.14756 1271 751391.48214804323 635920392.59755516 605494633800.97437
7.15227 1277 758511.24365213036 644979771.90963829 617022607125.31934
7.15774 1284 766860.95589468803 655657326.93916678 630679092088.24451
7.16240 1290 774053.46116163209 664902783.72525311 642564003619.12915
7.16704 1296 781280.01464894006 674234751.36556017 654616111354.60229
7.17242 1303 789753.56062412914 685231936.29184318 668890303979.12610
7.17702 1309 797051.65589076094 694752734.91196835 681310034655.86035
7.18235 1316 805610.28617421549 705971313.45645487 696017427473.51868
7.18766 1323 814213.74128769559 717310031.67135549 710961670806.63147
7.19218 1329 821624.72113859525 727125029.06934285 723961452955.31592
7.19744 1336 830314.95857222995 738688554.05332839 739352282670.97546
7.20266 1343 839049.93594953732 750374056.98691034 754987226079.95300
7.20712 1349 846573.33288179175 760487764.04736114 768584847046.77808
7.21229 1356 855392.80442587927 772401476.98530853 784679967994.60400
7.21744 1363 864257.44879636390 784438976.57023227 801026575580.33325
7.22257 1370 873167.43415474717 796600895.85980260 817627275951.85425
7.22766 1377 882123.28414879774 808887880.91059482 834484688683.54016
7.23273 1384 891126.59889473196 821300579.74983609 851601446944.53625
7.23706 1390 898879.28641911712 832040580.90632975 866481377843.41797
7.24208 1397 907966.45162505005 844688447.28792989 884086810004.65039
7.24708 1404 917098.56068050140 857463852.15499604 901959185405.88025
7.25205 1411 926276.49317839998 870367425.19172108 920101188961.20837
7.25771 1419 936821.15901087376 885272131.20718575 941168526203.08142
7.26263 1426 946096.09469311812 898452499.68723512 959897407602.21008
7.26753 1433 955418.98464470997 911763049.29825306 978904442451.69739
7.27240 1440 964787.04178326426 925204441.40014040 998192371580.58179
7.27725 1447 974201.07202315924 938777302.93868327 1017763949261.3899
7.28207 1454 983661.00726361107 952482286.09615374 1037621943177.6685
7.28756 1462 994526.47769282432 968307708.54092515 1060671075419.1836
7.29234 1469 1004083.5327253027 982297926.09255111 1081152200433.0360
7.29709 1476 1013684.7716716897 996422254.24599814 1101928527090.1567
7.30250 1484 1024714.8714891698 1012729366.0801275 1126037993578.8445
7.30720 1491 1034416.2014085146 1027143233.6130800 1147456418186.9634
7.31255 1499 1045559.0271019845 1043782957.5555164 1172307175919.7922
7.31721 1506 1055357.5636983027 1058489322.1552420 1194380794784.1929
7.32251 1514 1066611.1518135751 1075464995.2640231 1219987886488.9009
7.32712 1521 1076506.7042564671 1090466768.5054362 1242729927563.2319
7.33237 1529 1087871.9506809553 1107781721.9815319 1269108545767.0615
7.33759 1537 1099297.6443638350 1125278998.1066895 1295904908778.3145
7.34213 1544 1109344.8341789732 1140739441.0113287 1319697856228.2290
7.34730 1552 1120883.0195977853 1158581184.0351660 1347289334504.0454
7.35244 1560 1132480.2718440779 1176608011.9618499 1375311233738.4639
7.35756 1568 1144137.7668466466 1194820877.8571486 1403768007381.6912
7.36265 1576 1155853.5549090356 1213220731.3842220 1432664131787.2053
7.36771 1584 1167629.0394834746 1231808510.5476398 1462004105871.0820
7.37275 1592 1179464.8711071997 1250585185.2913413 1491792451484.0596
7.37713 1599 1189870.1414284941 1267170475.5561016 1518228630992.3872
7.38275 1608 1203316.9776776894 1288709052.2283168 1552732460021.3889
7.38771 1616 1215332.2446957321 1308058167.8272028 1583893282187.6396
7.39265 1624 1227407.7964788668 1327600011.0133331 1615520793916.2305
7.39756 1632 1239541.2952496114 1347335526.9872587 1647619632094.6726
7.40245 1640 1251737.7243139870 1367265681.4805572 1680194456311.6702
7.40732 1648 1263992.2424335985 1387391443.5758014 1713249949667.1211
7.41216 1656 1276306.6094017699 1407713753.1787262 1746790817962.9697
7.41758 1665 1290231.4739788217 1430812490.5272477 1785110358295.8623
7.42237 1673 1302673.1010970273 1451555649.6932833 1819698377852.1008
7.42774 1682 1316740.1409478122 1475130258.9175236 1859208067902.0239
7.43248 1690 1329308.1498239969 1496298565.6729095 1894864811613.0884
7.43721 1698 1341935.3269918382 1517668436.6848266 1931032011562.7461
7.44249 1707 1356212.3495747529 1541951655.4083061 1972336304581.1746
7.44775 1716 1370565.2747387374 1566492542.6408813 2014299719953.1104
7.45240 1724 1383387.1008892762 1588524085.3905654 2052159509193.2600
7.45761 1733 1397881.1987461478 1613555387.3899486 2095386995064.6655
7.46221 1741 1410829.5589621395 1636024993.0965254 2134381545276.8103
7.46737 1750 1425466.7269223577 1661551547.0129244 2178898235772.3818
7.47250 1759 1440180.5949270029 1687342261.0636904 2224107706264.8027
7.47760 1768 1454968.0960867258 1713398487.3052833 2270017107484.7588
7.48268 1777 1469832.9895730119 1739721585.7599452 2316633626449.9424
7.48773 1786 1484772.8935077582 1766312925.6602468 2363964487299.0078
7.49220 1794 1498117.9040043997 1790175976.4816844 2406641927078.8804
7.49721 1803 1513200.7734305528 1817277737.1827722 2455341941363.5542
7.50274 1813 1530048.7209876780 1847710081.4842618 2510315916251.3423
7.50769 1822 1545290.2341568957 1875388018.8957100 2560577123332.8765
7.51262 1831 1560608.3089602636 1903340991.4656773 2611589344581.0239
7.51752 1840 1576001.5224402207 1931570363.0863054 2663360024448.3047
7.52240 1849 1591470.7095445357 1960077500.2094021 2715896644098.9106
7.52726 1858 1607015.2163824416 1988863758.6495376 2769206721540.2451
7.53262 1868 1624374.6981718175 2021177503.9083622 2829356472500.9966
7.53743 1877 1640077.5700225949 2050557461.8625867 2884324258562.7974
7.54274 1887 1657612.9158629794 2083534211.1496472 2946334756871.2344
7.54750 1896 1673477.9307531922 2113513923.2363513 3002994264152.6318
7.55224 1905 1689417.2063546819 2143779869.0375481 3060467084809.9956
7.55747 1915 1707216.6563255966 2177746057.9115891 3125289083750.1401
7.56268 1925 1725108.4293297171 2212069149.0893469 3191135417266.5479
7.56735 1934 1741290.5354359192 2243266630.0414352 3251281794906.3643
7.57250 1944 1759360.6333589614 2278272975.2946558 3319103985451.3555
7.57763 1954 1777524.3775127539 2313641677.3963895 3387981797066.5669
7.58274 1964 1795781.4808939707 2349374577.1240788 3457926128020.8252
7.58731 1973 1812291.9636704826 2381847125.9698849 3521796952343.6929
7.59237 1983 1830725.6067901619 2418277150.4525003 3593797894789.2676
7.59740 1993 1849251.9671326939 2455076768.1767578 3666897277272.4355
7.60240 2003 1867873.8516519449 2492247868.1285262 3741106215707.8291
7.60738 2013 1886588.1822338330 2529792336.4500365 3816435883040.2339
7.61234 2023 1905395.5392703044 2567712023.8043060 3892897508080.8086
7.61727 2033 1924294.8021334922 2606008777.1356454 3970502375132.3652
7.62266 2044 1945192.2116810698 2648572922.8870955 4057201708900.8164
7.62754 2054 1964287.9991405508 2687667569.4047952 4137244361509.7964
7.63240 2064 1983477.6616601646 2727145073.4596167 4218465591649.7422
7.63772 2075 2004693.3455007558 2771014746.7795234 4309183945161.5557
7.64252 2085 2024077.9919460809 2811302312.2126961 4392917731802.1074
7.64731 2095 2043555.4514799623 2851978485.8822865 4477865969921.6426
7.65255 2106 2065087.6943683536 2897173362.8175116 4572725672711.5684
7.65776 2117 2086734.8678910322 2942843199.1368818 4669084636302.0098
7.66247 2127 2106510.9495640104 2984775505.2814498 4757997928058.5273
7.66763 2138 2128373.0950418413 3031359028.6307220 4857262825212.7549
7.67229 2148 2148345.2745767748 3074126052.7667966 4948844102811.4863
7.67740 2159 2170423.4099099278 3121632310.2251139 5051072780085.9219
7.68248 2170 2192614.0800468656 3169625513.3123608 5154877191652.9141
7.68754 2181 2214917.3653355935 3218108154.8130703 5260273447815.7334
7.69257 2192 2237333.3780094143 3267082708.9010315 5367277740904.1865
7.69758 2203 2259863.2704835678 3316551667.8467870 5475906345047.2939
7.70256 2214 2282504.8462884352 3366517513.1983380 5586175616707.8047
7.70751 2225 2305258.6075320984 3416982704.3175740 5698101993727.6924
7.71244 2236 2328127.5309900357 3467949747.6332870 5811701995599.4219
7.71735 2247 2351107.5645284802 3519421122.8769813 5926992224683.3848
7.72268 2259 2376306.1049871240 3576149831.6362462 6054710687574.8740
7.72754 2270 2399523.3470917433 3628683750.6381388 6173589037026.1348
7.73237 2281 2422851.5868935874 3681729665.7697806 6294209447063.4912
7.73762 2293 2448430.9353108928 3740184794.0893998 6427802065631.2109
7.74240 2304 2471997.5690942146 3794309298.4380360 6552119792340.7109
7.74760 2316 2497833.8818773138 3853947015.3795934 6689786545788.2881
7.75234 2327 2521634.3417264521 3909160965.6992006 6817876387550.2744
7.75748 2339 2547727.0014516446 3969993025.6676378 6959699280723.0244
7.76260 2351 2573956.2654777053 4031452950.5762935 7103723419794.3867
7.76769 2363 2600319.4278966202 4093543993.2958341 7249971466625.6787
7.77275 2375 2626816.0422636759 4156269356.9629478 7398466199168.3359
7.77737 2386 2651221.8374247602 4214327567.0367007 7536579571865.2109
7.78239 2398 2677974.4648606884 4278277648.8457680 7689444539603.1885
7.78738 2410 2704864.3221106506 4342871450.2859955 7844623287324.4492
7.79235 2422 2731888.6209374429 4408112214.1538420 8002139047509.7246
7.79770 2435 2761314.2575638550 4479523510.3749828 8175445457704.8818
7.80262 2447 2788615.7685439349 4546122404.5835848 8337905118464.9033
7.80751 2459 2816054.9317712113 4613378179.3200645 8502774153312.9346
7.81238 2471 2843626.9233064088 4681294093.4663105 8670076269044.0176
7.81763 2484 2873646.5777748814 4755618314.4402466 8854093524343.5996
7.82244 2496 2901496.8903511176 4824919773.8982019 9026541204706.7129
7.82764 2509 2931820.1247966178 4900752552.6061611 9216189252765.5820
7.83241 2521 2959951.9578826735 4971453548.4333010 9393886937103.6738
7.83755 2534 2990577.8621713216 5048810097.6603193 9589279490322.1387
7.84267 2547 3021359.5683456934 5126964952.1862230 9787704502738.6445
7.84737 2559 3049915.7702040756 5199819984.9176855 9973584575537.3281
7.85244 2572 3081004.6276014466 5279521600.7519035 10177929109475.977
7.85748 2585 3112249.6850924031 5360033571.7672625 10385397795160.176
7.86250 2598 3143652.3967213123 5441359968.0892735 10596022315634.658
7.86749 2611 3175213.7878549653 5523504883.7548037 10809834513281.801
7.87246 2624 3206931.2652419289 5606472423.5564137 11026866390679.547
7.87740 2637 3238807.5394269512 5690266691.9224472 11247150109868.301
7.88269 2651 3273310.9104602844 5781435934.4639416 11488052483697.395
7.88758 2664 3305513.6454680022 5866960316.6522312 11715193489432.018
7.89245 2677 3337874.6946551674 5953324027.3308697 11945686299637.682
7.89767 2691 3372901.2496968978 6047274464.9229031 12197695435333.223
7.90249 2704 3405588.8021985907 6135394491.5639601 12435254717951.861
7.90765 2718 3440969.5829438670 6231245897.1510239 12694950698792.652
7.91242 2731 3473985.9527719361 6321139987.3492022 12939719433659.541
7.91754 2745 3509717.1063865735 6418911395.4202766 13207257010987.055
7.92262 2759 3545630.9540038006 6517685835.1534405 13478922033351.256
7.92769 2773 3581727.8444915647 6617468438.3116283 13754756735627.689
7.93272 2787 3618008.3457487272 6718264329.3532076 14034803568211.340
7.93773 2801 3654471.7511610170 6820078623.0845976 14319105196791.176
7.94272 2815 3691118.5797794638 6922916450.7555828 14607704501941.111
7.94768 2829 3727947.4478547950 7026782957.5186119 14900644580265.525
7.95262 2843 3764957.4296136303 7131683204.1827078 15197968742709.057
7.95753 2857 3802150.2010797462 7237622272.2722788 15499720512838.951
7.96242 2871 3839528.2034010994 7344605353.0113115 15805943629915.775
7.96763 2886 3879777.2501762458 7460394429.8618813 16139051596985.732
7.97247 2900 3917532.5075190309 7569556344.9527502 16454676863217.270
7.97763 2915 3958187.8234128361 7687691599.0632086 16797960368215.203
