re im
-0.586397 1.224817
-0.586397 -1.224817
-0.586397 3.674450
-0.586397 -3.674450
-0.586397 6.124083
-0.586397 -6.124083
-0.586397 8.573716
-0.586397 -8.573716
-0.586397 11.023350
-0.586397 -11.023350
-0.586397 13.472983
-0.586397 -13.472983
-0.586397 15.922616
-0.586397 -15.922616
-0.586397 18.372250
-0.586397 -18.372250
-0.586397 20.821883
-0.586397 -20.821883
-0.660664 1.108844
-0.660664 -1.108844
-0.660664 3.326533
-0.660664 -3.326533
-0.660664 5.544222
-0.660664 -5.544222
-0.660664 7.761911
-0.660664 -7.761911
-0.660664 9.979599
-0.660664 -9.979599
-0.660664 12.197288
-0.660664 -12.197288
-0.660664 14.414977
-0.660664 -14.414977
-0.660664 16.632665
-0.660664 -16.632665
-0.660664 18.850354
-0.660664 -18.850354
-0.660664 21.068043
-0.660664 -21.068043
-0.750076 0.932972
-0.750076 -0.932972
-0.750076 2.798916
-0.750076 -2.798916
-0.750076 4.664860
-0.750076 -4.664860
-0.750076 6.530804
-0.750076 -6.530804
-0.750076 8.396748
-0.750076 -8.396748
-0.750076 10.262692
-0.750076 -10.262692
-0.750076 12.128636
-0.750076 -12.128636
-0.750076 13.994580
-0.750076 -13.994580
-0.750076 15.860524
-0.750076 -15.860524
-0.750076 17.726468
-0.750076 -17.726468
-0.750076 19.592412
-0.750076 -19.592412
-0.750076 21.458356
-0.750076 -21.458356
-0.776357 0.870026
-0.776357 -0.870026
-0.776357 2.610078
-0.776357 -2.610078
-0.776357 4.350130
-0.776357 -4.350130
-0.776357 6.090182
-0.776357 -6.090182
-0.776357 7.830234
-0.776357 -7.830234
-0.776357 9.570287
-0.776357 -9.570287
-0.776357 11.310339
-0.776357 -11.310339
-0.776357 13.050391
-0.776357 -13.050391
-0.776357 14.790443
-0.776357 -14.790443
-0.776357 16.530495
-0.776357 -16.530495
-0.776357 18.270547
-0.776357 -18.270547
-0.776357 20.010599
-0.776357 -20.010599
-0.776357 21.750651
-0.776357 -21.750651
-0.785705 0.845976
-0.785705 -0.845976
-0.785705 2.537928
-0.785705 -2.537928
-0.785705 4.229880
-0.785705 -4.229880
-0.785705 5.921832
-0.785705 -5.921832
-0.785705 7.613784
-0.785705 -7.613784
-0.785705 9.305735
-0.785705 -9.305735
-0.785705 10.997687
-0.785705 -10.997687
-0.785705 12.689639
-0.785705 -12.689639
-0.785705 14.381591
-0.785705 -14.381591
-0.785705 16.073543
-0.785705 -16.073543
-0.785705 17.765495
-0.785705 -17.765495
-0.785705 19.457447
-0.785705 -19.457447
-0.785705 21.149399
-0.785705 -21.149399
-0.805652 0.791275
-0.805652 -0.791275
-0.805652 2.373825
-0.805652 -2.373825
-0.805652 3.956375
-0.805652 -3.956375
-0.805652 5.538925
-0.805652 -5.538925
-0.805652 7.121475
-0.805652 -7.121475
-0.805652 8.704025
-0.805652 -8.704025
-0.805652 10.286575
-0.805652 -10.286575
-0.805652 11.869125
-0.805652 -11.869125
-0.805652 13.451675
-0.805652 -13.451675
-0.805652 15.034225
-0.805652 -15.034225
-0.805652 16.616775
-0.805652 -16.616775
-0.805652 18.199325
-0.805652 -18.199325
-0.805652 19.781874
-0.805652 -19.781874
-0.805652 21.364424
-0.805652 -21.364424
-0.814889 0.764215
-0.814889 -0.764215
-0.814889 2.292646
-0.814889 -2.292646
-0.814889 3.821076
-0.814889 -3.821076
-0.814889 5.349507
-0.814889 -5.349507
-0.814889 6.877938
-0.814889 -6.877938
-0.814889 8.406368
-0.814889 -8.406368
-0.814889 9.934799
-0.814889 -9.934799
-0.814889 11.463229
-0.814889 -11.463229
-0.814889 12.991660
-0.814889 -12.991660
-0.814889 14.520090
-0.814889 -14.520090
-0.814889 16.048521
-0.814889 -16.048521
-0.814889 17.576952
-0.814889 -17.576952
-0.814889 19.105382
-0.814889 -19.105382
