re im
-0.750000 3.010474
-0.750000 -3.010474
-0.750000 5.121885
-0.750000 -5.121885
-0.750000 6.494049
-0.750000 -6.494049
-0.750000 8.171304
-0.750000 -8.171304
-0.750000 9.145997
-0.750000 -9.145997
-0.750000 10.725306
-0.750000 -10.725306
-0.750000 11.639188
-0.750000 -11.639188
-0.750000 12.864378
-0.750000 -12.864378
-0.750000 14.179817
-0.750000 -14.179817
-0.750000 14.828192
-0.750000 -14.828192
-0.750000 16.296093
-0.750000 -16.296093
-0.750000 17.099979
-0.750000 -17.099979
-0.750000 18.071440
-0.750000 -18.071440
-0.750000 19.255962
-0.750000 -19.255962
-0.750000 20.161337
-0.750000 -20.161337
-0.750000 20.903542
-0.750000 -20.903542
