re im
-0.875000 3.533681
-0.875000 -3.533681
-0.875000 5.255510
-0.875000 -5.255510
-0.875000 6.252714
-0.875000 -6.252714
-0.875000 7.606219
-0.875000 -7.606219
-0.875000 8.233765
-0.875000 -8.233765
-0.875000 9.396545
-0.875000 -9.396545
-0.875000 10.229680
-0.875000 -10.229680
-0.875000 10.831768
-0.875000 -10.831768
-0.875000 12.001288
-0.875000 -12.001288
-0.875000 12.443458
-0.875000 -12.443458
-0.875000 13.242580
-0.875000 -13.242580
-0.875000 14.111562
-0.875000 -14.111562
-0.875000 14.836761
-0.875000 -14.836761
-0.875000 15.207945
-0.875000 -15.207945
-0.875000 16.278136
-0.875000 -16.278136
-0.875000 16.769953
-0.875000 -16.769953
-0.875000 17.386600
-0.875000 -17.386600
-0.875000 18.016789
-0.875000 -18.016789
-0.875000 18.926173
-0.875000 -18.926173
-0.875000 19.286210
-0.875000 -19.286210
-0.875000 19.834344
-0.875000 -19.834344
-0.875000 20.727595
-0.875000 -20.727595
-0.875000 21.183873
-0.875000 -21.183873
-0.875000 21.856319
-0.875000 -21.856319
