kind re im order
pole 1.000000 0.000000 1
pole 0.000000 0.000000 2
pole -0.666667 0.000000 1
pole -0.800000 0.000000 3
pole -0.857143 0.000000 9
pole -0.888889 0.000000 28
zeroD -0.500000 0.000000 2
zeroD -0.750000 0.000000 1
zeta2 -0.750000 7.067363 2
zeta2 -0.750000 -7.067363 2
zeta4 -0.875000 3.533681 1
zeta4 -0.875000 -3.533681 1
zeta2 -0.750000 10.511020 2
zeta2 -0.750000 -10.511020 2
zeta4 -0.875000 5.255510 1
zeta4 -0.875000 -5.255510 1
zeta2 -0.750000 12.505429 2
zeta2 -0.750000 -12.505429 2
zeta4 -0.875000 6.252714 1
zeta4 -0.875000 -6.252714 1
zeta2 -0.750000 15.212438 2
zeta2 -0.750000 -15.212438 2
zeta4 -0.875000 7.606219 1
zeta4 -0.875000 -7.606219 1
zeta2 -0.750000 16.467531 2
zeta2 -0.750000 -16.467531 2
zeta4 -0.875000 8.233765 1
zeta4 -0.875000 -8.233765 1
zeta2 -0.750000 18.793089 2
zeta2 -0.750000 -18.793089 2
zeta4 -0.875000 9.396545 1
zeta4 -0.875000 -9.396545 1
zeta2 -0.750000 20.459360 2
zeta2 -0.750000 -20.459360 2
zeta4 -0.875000 10.229680 1
zeta4 -0.875000 -10.229680 1
zeta2 -0.750000 21.663537 2
zeta2 -0.750000 -21.663537 2
zeta4 -0.875000 10.831768 1
zeta4 -0.875000 -10.831768 1
zeta4 -0.875000 12.001288 1
zeta4 -0.875000 -12.001288 1
zeta4 -0.875000 12.443458 1
zeta4 -0.875000 -12.443458 1
zeta4 -0.875000 13.242580 1
zeta4 -0.875000 -13.242580 1
zeta4 -0.875000 14.111562 1
zeta4 -0.875000 -14.111562 1
zeta4 -0.875000 14.836761 1
zeta4 -0.875000 -14.836761 1
zeta4 -0.875000 15.207945 1
zeta4 -0.875000 -15.207945 1
zeta4 -0.875000 16.278136 1
zeta4 -0.875000 -16.278136 1
zeta4 -0.875000 16.769953 1
zeta4 -0.875000 -16.769953 1
zeta4 -0.875000 17.386600 1
zeta4 -0.875000 -17.386600 1
