q N off Tact Texp sqrtq_off
5 1 -0.19461721084257466 0.044841096678429164 0.23945830752100383 -0.4351773130354061
5 2 -0.3004696040364344 0.08968219335685831 0.39015179739329275 -0.6718704597979126
5 3 -0.2006106946053247 0.2941097068276773 0.494720401433002 -0.44857915015095645
7 1 -0.27355341081068946 0.15538085983462907 0.4289342706453185 -0.7237542952985722
7 2 -0.3265361973652873 0.13811631985300363 0.46465251721829093 -0.8639335722892547
7 3 -0.2249773455905118 0.35872351951592335 0.5837008651064352 -0.5952341070559282
11 1 -0.13792866602791296 0.0892501510582068 0.22717881708611976 -0.45745763304882675
11 2 -0.20411671831126205 0.09155437182563035 0.2956710901368924 -0.6769785680771216
11 3 -0.12918662157610417 0.2454502078490831 0.3746368294251873 -0.42846355170156886
13 1 -0.07996458293043901 0.07108596773816706 0.15105055066860607 -0.2883164039767903
13 2 -0.14544434338546386 0.06078904745497704 0.2062333908404409 -0.5244070378024817
13 3 -0.0815666537347624 0.18487222343634974 0.26643887717111214 -0.29409275240870214
17 1 -0.06107325681931724 0.05545378300655641 0.11652703982587365 -0.25181148876651904
17 2 -0.1130729840642315 0.0501906469919161 0.1632636310561476 -0.466211856700609
17 3 -0.06333942625141445 0.14843687269506453 0.21177629894647898 -0.26115514470060186
19 1 -0.06740748909510116 0.0509987972866213 0.11840628638172246 -0.29382243300336597
19 2 -0.11327291822082386 0.05285648543520616 0.16612940365603002 -0.4937452035645183
19 3 -0.06297650164608423 0.15206840269127345 0.21504490433735768 -0.27450820649300406
