q N qoff qtact qtexp
3 1 -0.6815 0.0000 0.6815
3 2 -2.0444 0.0000 2.0444
5 1 -0.9731 0.2242 1.1973
5 2 -1.5024 0.4484 1.9507
7 1 -1.9149 1.0877 3.0025
7 2 -2.2858 0.9668 3.2526
11 1 -1.5172 0.9817 2.4990
11 2 -2.2453 1.0071 3.2524
13 1 -1.0395 0.9242 1.9636
13 2 -1.8907 0.7903 2.6810
17 1 -1.0382 0.9426 1.9810
17 2 -1.9222 0.8532 2.7754
19 1 -1.2808 0.9690 2.2498
19 2 -2.1521 1.0043 3.1565
23 1 -1.2289 0.9708 2.1999
23 2 -2.1270 1.0030 3.1301
29 1 -1.0281 0.9663 1.9943
29 2 -1.9592 0.9225 2.8814
31 1 -1.1675 0.9756 2.1427
31 2 -2.0950 1.0019 3.0969
37 1 -1.0231 0.9735 1.9965
37 2 -1.9691 0.9409 2.9101
41 1 -1.0213 0.9762 1.9971
41 2 -1.9725 0.9471 2.9196
43 1 -1.1193 0.9808 2.1001
43 2 -2.0692 1.0010 3.0698
