q N off Tact Texp sqrtq_off
3 1 -0.22715363348111262 0 0.22715363348111262 -0.39344163431316587
3 2 -0.6814609004433378 0 0.6814609004433378 -1.1803249029394975
5 1 -0.19461721084257466 0.044841096678429164 0.23945830752100383 -0.4351773130354061
5 2 -0.3004696040364344 0.08968219335685831 0.39015179739329275 -0.6718704597979126
7 1 -0.27355341081068946 0.15538085983462907 0.4289342706453185 -0.7237542952985722
7 2 -0.3265361973652873 0.13811631985300363 0.46465251721829093 -0.8639335722892547
11 1 -0.13792866602791296 0.0892501510582068 0.22717881708611976 -0.45745763304882675
11 2 -0.20411671831126205 0.09155437182563035 0.2956710901368924 -0.6769785680771216
13 1 -0.07996458293043901 0.07108596773816706 0.15105055066860607 -0.2883164039767903
13 2 -0.14544434338546386 0.06078904745497704 0.2062333908404409 -0.5244070378024817
17 1 -0.06107325681931724 0.05545378300655641 0.11652703982587365 -0.25181148876651904
17 2 -0.1130729840642315 0.0501906469919161 0.1632636310561476 -0.466211856700609
19 1 -0.06740748909510116 0.0509987972866213 0.11840628638172246 -0.29382243300336597
19 2 -0.11327291822082386 0.05285648543520616 0.16612940365603002 -0.4937452035645183
23 1 -0.053430511253934165 0.0422145195661221 0.09564503082005626 -0.25624373017833246
23 2 -0.09247505580511575 0.043613812777355175 0.13608886858247093 -0.443494787750277
29 1 -0.03544586430237029 0.03332310764162971 0.068768971944 -0.1908818209995897
29 2 -0.06755519469956806 0.031806634963980736 0.09936182966354878 -0.36379585703523326
31 1 -0.037655238076135196 0.03146694234123631 0.0691221804173715 -0.20965549263418565
31 2 -0.06758276873069735 0.03231717605416007 0.09989994478485742 -0.37628493128015983
37 1 -0.027651068997474708 0.026312097018168175 0.05396316601564288 -0.1681948864205299
37 2 -0.05321776772458383 0.025428643348065973 0.0786464110726498 -0.32371104346121243
41 1 -0.024907514197017106 0.02380711145441104 0.048714625651428145 -0.159485907849123
41 2 -0.048108018933701355 0.023100948710323827 0.07120896764402518 -0.3080416220492615
43 1 -0.026029859270635558 0.022806727068888366 0.048836586339523924 -0.17068920196342519
43 2 -0.04811517908276877 0.023278935458769547 0.07139411454153832 -0.31551232892103775
