q N off Tact Texp sqrtq_off
3 1 -1.8263574724537868 0 1.8263574724537868 -3.163343935073035
3 2 -0.6703576573367167 1.602904920008215 2.2732625773449318 -1.1610935217500409
3 3 -2.1151577070756193 1.3942829075509062 3.5094406146265253 -3.6635606146758612
5 1 -0.9137159676008899 0 0.9137159676008899 -2.0431310156825853
5 2 -0.635849581170367 0.10629000694146168 0.7421395881118287 -1.421802886961711
5 3 -0.6296772224335753 0.5618304296383295 1.1915076520719048 -1.40800107324473
7 1 -0.4677600531499442 0 0.4677600531499442 -1.2375767738851073
7 2 -0.206901685274468 0.35199886569550815 0.5589005509699762 -0.547410405076397
7 3 -0.33102976542207685 0.3655056087299565 0.6965353741520334 -0.8758224358668637
11 1 -0.23978540813999127 0 0.23978540813999127 -0.7952782290025825
11 2 -0.17791253558080772 0.1448239792085329 0.3227365147893406 -0.590069126022294
11 3 -0.16538471682623151 0.2458759315699895 0.411260648396221 -0.5485190517717873
13 1 -0.19304317352303235 0 0.19304317352303235 -0.6960270605155855
13 2 -0.17334697713536767 0.09228891979831161 0.2656358969336793 -0.6250114145082519
13 3 -0.12097239969999107 0.2200659434573915 0.3410383431573826 -0.4361721900342423
17 1 -0.13900545003309217 0 0.13900545003309217 -0.573134153022957
17 2 -0.12881760192936398 0.06730035413180835 0.19611795606117233 -0.5311285791935371
17 3 -0.08363263029201909 0.1705379484607261 0.2541705787527452 -0.34482616844222586
19 1 -0.12196607781611934 0 0.12196607781611934 -0.5316378077404822
19 2 -0.10651400285038329 0.06690466540248038 0.17341866825286367 -0.46428377449682406
19 3 -0.07477097136684868 0.15068729109398787 0.22545826246083656 -0.3259191080984667
23 1 -0.09797404819539623 0 0.09797404819539623 -0.4698670288020409
23 2 -0.08806932048030623 0.05275339902454669 0.14082271950485292 -0.4223656233961831
23 3 -0.05783312406965718 0.12608400024459704 0.18391712431425422 -0.2773579195049175
29 1 -0.07567245799904021 0 0.07567245799904021 -0.4075086576857952
29 2 -0.07269188481480554 0.03716450027695823 0.10985638509176376 -0.39145777986896585
31 1 -0.07033878278177774 0 0.07033878278177774 -0.39162976809722405
31 2 -0.06527351667540593 0.03708155341239471 0.10235507008780065 -0.3634275599819163
37 1 -0.058065738361614216 0 0.058065738361614216 -0.3532000976001269
37 2 -0.056321868676888695 0.028632471101441858 0.08495433977833056 -0.3425925524241555
41 1 -0.0520171899780808 0 0.0520171899780808 -0.33307252991179825
41 2 -0.05062121390850963 0.025685785888296588 0.07630699979680622 -0.3241339217058508
43 1 -0.04944247064248031 0 0.04944247064248031 -0.32421596172767103
43 2 -0.0469552049480305 0.02565636151095542 0.07261156645898592 -0.3079058698427111
