q N off Tact Texp qoff
3 1 -1.83173 0.0 1.83173 -5.49519
3 2 -0.69645 1.59958 2.29603 -2.08935
3 3 -1.63775 1.94686 3.58461 -4.91325
5 1 -0.9141 0.0 0.9141 -4.57050
5 2 -0.63837 0.10627 0.74465 -3.19185
5 3 -0.50027 0.70414 1.20442 -2.50135
7 1 -0.46786 0.0 0.46786 -3.27502
7 2 -0.2077 0.35199 0.55969 -1.45390
7 3 -0.28808 0.41405 0.70212 -2.01656
11 1 -0.23979 0.0 0.23979 -2.63769
11 2 -0.17791 0.14482 0.32274 -1.95701
13 1 -0.19304 0.0 0.19304 -2.50952
13 2 -0.17335 0.09229 0.26564 -2.25355
17 1 -0.13901 0.0 0.13901 -2.36317
17 2 -0.12882 0.0673 0.19612 -2.18994
19 1 -0.12197 0.0 0.12197 -2.31743
19 2 -0.10651 0.0669 0.17342 -2.02369
23 1 -0.09797 0.0 0.09797 -2.25331
23 2 -0.08807 0.05275 0.14082 -2.02561
29 1 -0.07567 0.0 0.07567 -2.19443
29 2 -0.07269 0.03716 0.10986 -2.10801
31 1 -0.07034 0.0 0.07034 -2.18054
31 2 -0.06527 0.03708 0.10236 -2.02337
37 1 -0.05807 0.0 0.05807 -2.14859
37 2 -0.05632 0.02863 0.08495 -2.08384
41 1 -0.05202 0.0 0.05202 -2.13282
41 2 -0.05062 0.02569 0.07631 -2.07542
43 1 -0.04944 0.0 0.04944 -2.12592
43 2 -0.04696 0.02566 0.07261 -2.01928
