logY Y P PoverSqrtY
6.90675 999 -3.2927 -0.104177
6.90975 1002 -3.2130 -0.101503
6.91175 1004 -3.0788 -0.097165
6.91374 1006 -2.9655 -0.093496
6.91672 1009 -2.9725 -0.093579
6.91870 1011 -2.9752 -0.093570
6.92067 1013 -2.9882 -0.093886
6.92264 1015 -3.0200 -0.094793
6.92560 1018 -2.9954 -0.093881
6.92756 1020 -3.0495 -0.095482
6.92952 1022 -3.1019 -0.097030
6.93245 1025 -3.2646 -0.101970
6.93440 1027 -3.3149 -0.103439
6.93634 1029 -3.4445 -0.107380
6.93828 1031 -3.5607 -0.110893
6.94119 1034 -3.5032 -0.108945
6.94312 1036 -3.5474 -0.110212
6.94505 1038 -3.4777 -0.107942
6.94794 1041 -3.4272 -0.106223
6.94986 1043 -3.4992 -0.108351
6.95273 1046 -3.5359 -0.109330
6.95464 1048 -3.5958 -0.111075
6.95655 1050 -3.6670 -0.113165
6.95940 1053 -3.9413 -0.121457
6.96130 1055 -4.0605 -0.125013
6.96319 1057 -4.1264 -0.126922
6.96602 1060 -4.0390 -0.124057
6.96791 1062 -3.9581 -0.121459
6.97073 1065 -3.8932 -0.119296
6.97261 1067 -3.8094 -0.116621
6.97448 1069 -3.8392 -0.117424
6.97728 1072 -3.7275 -0.113847
6.97915 1074 -3.7855 -0.115509
6.98193 1077 -3.9802 -0.121283
6.98379 1079 -4.0384 -0.122942
6.98564 1081 -4.1120 -0.125067
6.98841 1084 -4.1736 -0.126763
6.99026 1086 -4.2761 -0.129758
6.99302 1089 -4.2855 -0.129863
6.99485 1091 -4.2285 -0.128019
6.99760 1094 -4.0045 -0.121072
6.99942 1096 -3.9496 -0.119301
7.00216 1099 -3.9491 -0.119126
7.00397 1101 -3.9122 -0.117903
7.00670 1104 -3.7867 -0.113967
7.00851 1106 -3.7734 -0.113463
7.01121 1109 -3.9151 -0.117564
7.01302 1111 -3.9085 -0.117261
7.01571 1114 -3.9541 -0.118469
7.01751 1116 -3.9860 -0.119317
7.02019 1119 -4.0266 -0.120372
7.02198 1121 -4.0731 -0.121653
7.02465 1124 -4.1573 -0.124003
7.02643 1126 -4.0561 -0.120875
7.02909 1129 -4.0533 -0.120630
7.03086 1131 -4.1171 -0.122422
7.03351 1134 -3.9347 -0.116843
7.03527 1136 -3.8692 -0.114796
7.03791 1139 -3.8167 -0.113089
7.03966 1141 -3.9067 -0.115655
7.04229 1144 -4.0224 -0.118926
7.04491 1147 -3.9951 -0.117962
7.04665 1149 -3.8552 -0.113733
7.04925 1152 -3.8345 -0.112976
7.05099 1154 -3.8768 -0.114124
7.05359 1157 -3.8401 -0.112897
7.05618 1160 -3.7498 -0.110098
7.05790 1162 -3.8053 -0.111631
7.06048 1165 -3.9424 -0.115505
7.06219 1167 -4.0199 -0.117674
7.06476 1170 -3.9483 -0.115428
7.06732 1173 -3.9615 -0.115668
7.06902 1175 -4.0829 -0.119110
7.07157 1178 -3.9984 -0.116496
7.07412 1181 -3.8869 -0.113105
7.07581 1183 -3.8763 -0.112700
7.07834 1186 -4.0182 -0.116679
7.08087 1189 -4.1087 -0.119156
7.08255 1191 -4.1838 -0.121230
7.08506 1194 -4.2242 -0.122248
7.08757 1197 -4.4204 -0.127765
7.08924 1199 -4.4681 -0.129037
7.09174 1202 -4.4523 -0.128420
7.09423 1205 -4.2644 -0.122848
7.09589 1207 -4.1697 -0.120019
7.09838 1210 -4.0664 -0.116900
7.10085 1213 -3.9299 -0.112836
7.10332 1216 -3.8086 -0.109219
7.10497 1218 -3.7848 -0.108447
7.10743 1221 -3.7809 -0.108203
7.10988 1224 -3.7974 -0.108542
7.11233 1227 -3.7643 -0.107463
7.11396 1229 -3.8721 -0.110451
7.11639 1232 -4.0220 -0.114589
7.11883 1235 -4.0818 -0.116149
7.12125 1238 -4.1898 -0.119078
7.12367 1241 -4.3145 -0.122474
7.12528 1243 -4.2241 -0.119811
7.12769 1246 -4.1582 -0.117799
7.13010 1249 -4.0253 -0.113898
7.13250 1252 -4.0602 -0.114748
7.13489 1255 -4.0108 -0.113216
7.13648 1257 -4.0112 -0.113136
7.13887 1260 -4.0775 -0.114870
7.14125 1263 -4.1780 -0.117561
7.14362 1266 -4.1146 -0.115642
