logY Y P PoverSqrtY
6.90675 999 2.0354 0.064396
6.90975 1002 2.0590 0.065048
6.91175 1004 2.3764 0.074999
6.91374 1006 2.3717 0.074777
6.91672 1009 2.3708 0.074637
6.91870 1011 2.0008 0.062926
6.92067 1013 2.4226 0.076116
6.92264 1015 2.4914 0.078200
6.92560 1018 2.5543 0.080056
6.92756 1020 2.2268 0.069725
6.92952 1022 2.5372 0.079365
6.93245 1025 2.4842 0.077594
6.93440 1027 2.4247 0.075661
6.93634 1029 2.0030 0.062441
6.93828 1031 2.4897 0.077538
6.94119 1034 2.6656 0.082897
6.94312 1036 2.7469 0.085341
6.94505 1038 2.4659 0.076538
6.94794 1041 2.5070 0.077701
6.94986 1043 2.9371 0.090944
6.95273 1046 3.0388 0.093958
6.95464 1048 3.0804 0.095154
6.95655 1050 2.7662 0.085368
6.95940 1053 2.7656 0.085228
6.96130 1055 3.0626 0.094290
6.96319 1057 3.0016 0.092324
6.96602 1060 2.8672 0.088064
6.96791 1062 2.4148 0.074099
6.97073 1065 2.4129 0.073937
6.97261 1067 2.7089 0.082930
6.97448 1069 2.6428 0.080830
6.97728 1072 2.4973 0.076275
6.97915 1074 2.0415 0.062295
6.98193 1077 1.8037 0.054962
6.98379 1079 1.9566 0.059566
6.98564 1081 1.8243 0.055486
6.98841 1084 1.7272 0.052460
6.99026 1086 1.3465 0.040861
6.99302 1089 1.2215 0.037014
6.99485 1091 1.4354 0.043456
6.99760 1094 1.2828 0.038784
6.99942 1096 1.1977 0.036177
7.00216 1099 1.1563 0.034879
7.00397 1101 0.8948 0.026967
7.00670 1104 0.9675 0.029117
7.00851 1106 1.3173 0.039609
7.01121 1109 1.2879 0.038673
7.01302 1111 1.2849 0.038548
7.01571 1114 1.3823 0.041414
7.01751 1116 1.1804 0.035335
7.02019 1119 1.3315 0.039805
7.02198 1121 1.7296 0.051657
7.02465 1124 1.7725 0.052869
7.02643 1126 1.7651 0.052601
7.02909 1129 1.7203 0.051198
7.03086 1131 1.3483 0.040092
7.03351 1134 1.4693 0.043631
7.03527 1136 1.8472 0.054805
7.03791 1139 1.8871 0.055916
7.03966 1141 1.8889 0.055919
7.04229 1144 1.8406 0.054418
7.04491 1147 1.7378 0.051311
7.04665 1149 1.3137 0.038756
7.04925 1152 1.1235 0.033102
7.05099 1154 1.2940 0.038091
7.05359 1157 0.9956 0.029270
7.05618 1160 0.6359 0.018670
7.05790 1162 0.3611 0.010594
7.06048 1165 -0.0281 -0.000823
7.06219 1167 -0.5544 -0.016228
7.06476 1170 -0.6860 -0.020054
7.06732 1173 -0.7616 -0.022237
7.06902 1175 -0.4793 -0.013982
7.07157 1178 -0.6065 -0.017670
7.07412 1181 -0.6032 -0.017551
7.07581 1183 -0.4955 -0.014407
7.07834 1186 -0.2727 -0.007919
7.08087 1189 -0.1148 -0.003330
7.08255 1191 -0.3789 -0.010980
7.08506 1194 -0.3045 -0.008812
7.08757 1197 -0.2644 -0.007643
7.08924 1199 0.0719 0.002076
7.09174 1202 0.0307 0.000885
7.09423 1205 -0.0712 -0.002050
7.09589 1207 -0.1433 -0.004125
7.09838 1210 -0.2578 -0.007411
7.10085 1213 -0.4333 -0.012440
7.10332 1216 -0.5882 -0.016867
7.10497 1218 -0.9572 -0.027426
7.10743 1221 -1.0511 -0.030082
7.10988 1224 -1.2100 -0.034586
7.11233 1227 -1.3568 -0.038734
7.11396 1229 -1.1059 -0.031545
7.11639 1232 -1.2798 -0.036463
7.11883 1235 -1.3264 -0.037745
7.12125 1238 -1.2163 -0.034569
7.12367 1241 -1.1078 -0.031448
7.12528 1243 -1.0716 -0.030394
7.12769 1246 -1.0713 -0.030349
7.13010 1249 -1.0831 -0.030646
7.13250 1252 -1.0541 -0.029790
7.13489 1255 -1.0845 -0.030614
7.13648 1257 -1.4669 -0.041375
7.13887 1260 -1.3984 -0.039394
