logY Y P PoverSqrtY
6.90675 999 -0.7172 -0.022691
6.90975 1002 -0.7416 -0.023428
6.91175 1004 -0.6914 -0.021819
6.91374 1006 -0.6279 -0.019798
6.91672 1009 -0.6310 -0.019865
6.91870 1011 -0.7500 -0.023589
6.92067 1013 -0.8784 -0.027598
6.92264 1015 -0.8126 -0.025506
6.92560 1018 -0.7008 -0.021963
6.92756 1020 -0.7008 -0.021942
6.92952 1022 -0.6900 -0.021585
6.93245 1025 -0.8842 -0.027617
6.93440 1027 -0.9217 -0.028760
6.93634 1029 -1.0237 -0.031912
6.93828 1031 -0.9911 -0.030866
6.94119 1034 -0.9798 -0.030471
6.94312 1036 -1.0397 -0.032302
6.94505 1038 -1.2170 -0.037775
6.94794 1041 -1.1135 -0.034513
6.94986 1043 -0.9643 -0.029860
6.95273 1046 -0.7652 -0.023660
6.95464 1048 -0.7860 -0.024281
6.95655 1050 -0.9181 -0.028332
6.95940 1053 -0.8986 -0.027693
6.96130 1055 -0.8842 -0.027221
6.96319 1057 -0.7327 -0.022537
6.96602 1060 -0.5539 -0.017013
6.96791 1062 -0.5119 -0.015708
6.97073 1065 -0.5521 -0.016919
6.97261 1067 -0.5846 -0.017897
6.97448 1069 -0.6071 -0.018570
6.97728 1072 -0.5320 -0.016249
6.97915 1074 -0.5673 -0.017311
6.98193 1077 -0.8154 -0.024847
6.98379 1079 -0.7605 -0.023151
6.98564 1081 -0.8287 -0.025203
6.98841 1084 -0.7607 -0.023103
6.99026 1086 -0.8694 -0.026381
6.99302 1089 -1.2552 -0.038036
6.99485 1091 -1.3127 -0.039743
6.99760 1094 -1.3446 -0.040652
6.99942 1096 -1.1777 -0.035575
7.00216 1099 -0.9060 -0.027329
7.00397 1101 -0.8183 -0.024661
7.00670 1104 -0.7924 -0.023848
7.00851 1106 -0.7415 -0.022296
7.01121 1109 -0.5355 -0.016081
7.01302 1111 -0.3892 -0.011677
7.01571 1114 -0.4005 -0.012001
7.01751 1116 -0.4953 -0.014827
7.02019 1119 -0.4217 -0.012608
7.02198 1121 -0.3827 -0.011430
7.02465 1124 -0.3489 -0.010406
7.02643 1126 -0.4768 -0.014208
7.02909 1129 -0.7654 -0.022778
7.03086 1131 -0.8271 -0.024594
7.03351 1134 -0.9951 -0.029550
7.03527 1136 -0.9343 -0.027720
7.03791 1139 -0.9519 -0.028205
