logY Y Sw sqrtY_times_Sw
6.90675 999 0.002793459652 0.088293
6.93049 1023 -0.0009230115958 -0.029522
6.95368 1047 -0.006153422793 -0.199109
6.97635 1071 -0.007724594284 -0.252796
6.99942 1096 -0.007508912283 -0.248589
7.02287 1122 -0.002607553373 -0.087343
7.04578 1148 0.002646583969 0.089672
7.06902 1175 0.003931255236 0.134757
7.09174 1202 0.004705604333 0.163143
7.11477 1230 0.004130698361 0.144869
7.13807 1259 0.003422330597 0.121432
7.16162 1289 0.0006285876550 0.022568
7.18463 1319 -0.0002234031480 -0.008114
7.20712 1349 0.0007049174158 0.025891
7.23056 1381 0.001031882311 0.038347
7.25347 1413 0.002864438767 0.107674
7.27656 1446 0.002853428721 0.108505
7.29980 1480 -0.0002449793046 -0.009425
7.32317 1515 -0.003303030232 -0.128564
7.34601 1550 -0.002226085872 -0.087641
7.36897 1586 0.001442311096 0.057439
7.39203 1623 0.001159981938 0.046732
7.41518 1661 0.002269946704 0.092513
7.43838 1700 0.001423358379 0.058687
7.46164 1740 -0.0008464206609 -0.035307
7.48437 1780 -0.001036837827 -0.043744
7.50769 1822 0.001783018470 0.076108
7.53048 1864 0.003460951127 0.149423
7.55381 1908 0.002276492714 0.099439
7.57712 1953 -0.001100921282 -0.048653
7.59990 1998 -0.001098983435 -0.049123
7.62315 2045 0.001358484411 0.061433
7.64635 2093 0.002878610171 0.131694
7.66950 2142 0.001016691987 0.047054
7.69257 2192 -0.00004656880973 -0.002180
7.71557 2243 -0.0006213380182 -0.029427
7.73849 2295 -0.0007166765144 -0.034333
7.76174 2349 -0.001670329920 -0.080955
7.78489 2404 -0.001882634157 -0.092307
7.80792 2460 -0.002324308593 -0.115282
7.83082 2517 -0.001473500002 -0.073925
7.85399 2576 0.001440379665 0.073105
7.87702 2636 0.003379519914 0.173511
7.90027 2698 0.002968380919 0.154184
7.92335 2761 0.001019263403 0.053557
7.94626 2825 -0.002279466444 -0.121155
7.96936 2891 -0.001526634796 -0.082084
7.99261 2959 -0.0001094082474 -0.005951
8.01566 3028 0.0001177547445 0.006480
8.03883 3099 0.000001196047000 0.000067
8.06180 3171 0.0007231396010 0.040721
8.08487 3245 0.002488037322 0.141731
8.10802 3321 0.003033961769 0.174842
8.13094 3398 0.002199579419 0.128219
8.15421 3478 0.0007615651708 0.044913
8.17723 3559 -0.0006525760729 -0.038931
8.20029 3642 -0.002860059663 -0.172602
8.22336 3727 -0.001935907177 -0.118186
8.24643 3814 -0.001056976443 -0.065276
8.26950 3903 -0.0006772808670 -0.042312
8.29255 3994 -0.001265738975 -0.079992
8.31581 4088 -0.001443173385 -0.092273
8.33878 4183 0.000008277370446 0.000535
8.36194 4281 0.002490106489 0.162926
8.38503 4381 0.002977349034 0.197068
8.40805 4483 0.002388166401 0.159900
8.43120 4588 0.001273283999 0.086246
8.45425 4695 0.0008894025316 0.060942
8.47741 4805 0.0005676571841 0.039349
8.50045 4917 0.0003993876876 0.028006
8.52357 5032 -0.00003296097863 -0.002338
8.54656 5149 0.000006660477753 0.000478
8.56960 5269 -0.0003986377969 -0.028936
8.59267 5392 0.0004432748996 0.032550
8.61577 5518 0.001030796584 0.076571
8.63888 5647 0.0001898228466 0.014265
8.66199 5779 -0.0008395622310 -0.063823
8.68508 5914 0.00005414166905 0.004164
8.70814 6052 0.0004682133444 0.036424
8.73134 6194 -0.0005055757754 -0.039790
8.75432 6338 -0.001797868676 -0.143131
8.77740 6486 -0.001690211266 -0.136122
8.80057 6638 -0.003177748751 -0.258904
8.82365 6793 -0.001783293441 -0.146978
8.84664 6951 0.001288772818 0.107448
8.86982 7114 0.002383657787 0.201048
8.89289 7280 0.001387490580 0.118385
8.91597 7450 0.0007180405279 0.061977
8.93906 7624 0.0007568135349 0.066082
8.96214 7802 0.001761474529 0.155589
8.98519 7984 0.001106063655 0.098830
9.00835 8171 0.0006314999877 0.057084
9.03133 8361 0.0004113732495 0.037615
9.05450 8557 -0.0006670988115 -0.061709
9.07761 8757 -0.001951475753 -0.182617
9.10064 8961 -0.001366928888 -0.129397
9.12369 9170 -0.0003709492414 -0.035522
9.14676 9384 0.0003230752756 0.031297
9.16993 9604 0.0004908649396 0.048105
9.19299 9828 0.001474006575 0.146128
9.21602 10057 0.001531540450 0.153590
9.23912 10292 0.00007292062757 0.007398
9.26227 10533 -0.0006313460281 -0.064795
9.28536 10779 -0.0008400873392 -0.087220
9.30837 11030 -0.0008203442283 -0.086156
9.33150 11288 0.001090275701 0.115836
9.35453 11551 0.0003790931725 0.040743
9.37763 11821 -0.0001901390917 -0.020673
9.40071 12097 -0.0002028782365 -0.022314
9.42384 12380 0.0001670770689 0.018590
9.44691 12669 0.0009476961032 0.106670
9.47001 12965 0.0008923918173 0.101611
9.49311 13268 0.0008279680665 0.095371
9.51613 13577 -0.0001286755810 -0.014993
9.53921 13894 -0.0002119101034 -0.024978
9.56233 14219 -0.0001938408883 -0.023114
9.58541 14551 0.0002682886053 0.032363
9.60851 14891 -0.0009263032088 -0.113036
9.63161 15239 -0.001241591863 -0.153270
9.65464 15594 -0.001009105074 -0.126013
9.67778 15959 -0.0007072061962 -0.089341
9.70082 16331 -0.0001192000041 -0.015233
9.72394 16713 0.0003068947392 0.039675
9.74701 17103 0.0004882586795 0.063854
9.77007 17502 0.0007805267018 0.103260
9.79317 17911 0.0008398324791 0.112396
9.81624 18329 0.0002587023794 0.035024
9.83932 18757 0.0004328314570 0.059279
9.86241 19195 0.0001098300419 0.015217
9.88553 19644 -0.0001447980599 -0.020294
9.90857 20102 0.0003637772009 0.051577
9.93169 20572 0.0005989379742 0.085905
9.95475 21052 0.0005005695082 0.072629
9.97785 21544 -0.0001784993798 -0.026200
10.00093 22047 -0.0005521176961 -0.081980
10.02402 22562 -0.0002450149770 -0.036803
10.04711 23089 -0.0001986104588 -0.030179
10.07019 23628 -0.0006054954092 -0.093073
10.09328 24180 -0.0007162086802 -0.111370
10.11634 24744 -0.0007228898940 -0.113712
10.13943 25322 -0.0009594787546 -0.152681
10.16250 25913 0.00002631487271 0.004236
10.18562 26519 0.001576414695 0.256714
10.20869 27138 0.001734190968 0.285684
10.23178 27772 0.0005875435731 0.097914
10.25485 28420 -0.0002442932336 -0.041184
10.27794 29084 0.00007054374319 0.012031
10.30102 29763 0.0004095090277 0.070648
10.32410 30458 -0.0001857278042 -0.032414
10.34718 31169 -0.0004718775453 -0.083309
10.37027 31897 0.00006718509274 0.011999
10.39336 32642 0.0006589207182 0.119048
10.41643 33404 0.0003489938076 0.063785
10.43951 34184 0.00006587167979 0.012179
10.46262 34983 -0.0001920192726 -0.035915
10.48570 35800 -0.0003574950185 -0.067641
10.50879 36636 -0.0001501802949 -0.028745
10.53186 37491 -0.00001110751872 -0.002151
10.55495 38367 -0.0003039847340 -0.059543
10.57804 39263 -0.0008650175069 -0.171402
10.60112 40180 -0.0009803134840 -0.196503
10.62420 41118 -0.0001336480490 -0.027101
10.64728 42078 -0.0001227969845 -0.025189
10.67037 43061 0.0002543920396 0.052789
10.69344 44066 0.0005980466862 0.125541
10.71653 45095 0.0003363989070 0.071436
10.73961 46148 0.0002913304826 0.062584
10.76270 47226 0.0003574153218 0.077672
10.78579 48329 0.0005483190427 0.120542
10.80886 49457 0.0004551871892 0.101229
10.83194 50612 0.0002678363896 0.060255
10.85503 51794 -0.0002575572254 -0.058616
10.87812 53004 -0.0004316670163 -0.099381
10.90121 54242 -0.0001419612308 -0.033063
10.92428 55508 -0.0002818372848 -0.066401
10.94736 56804 -0.0002790137208 -0.066499
10.97045 58131 -0.00006334946421 -0.015274
10.99353 59488 0.0003387243226 0.082615
11.01663 60878 0.0007244734726 0.178753
11.03970 62299 0.0003742022895 0.093400
11.06279 63754 -0.00006132535451 -0.015484
11.08587 65243 -0.0006533604650 -0.166886
11.10895 66766 -0.0006385157559 -0.164987
11.13205 68326 -0.0004211995498 -0.110098
11.15512 69921 -0.0002618884674 -0.069250
11.17821 71554 0.00009029615738 0.024154
11.20129 73225 0.0004023925814 0.108888
11.22438 74935 0.0002494972718 0.068298
11.24746 76685 0.0005362024841 0.148485
11.27054 78475 0.0007159655315 0.200566
11.29362 80308 0.0003780630113 0.107138
11.31670 82183 0.00001379043398 0.003953
11.33980 84103 0.0001220585212 0.035398
11.36288 86067 -0.00003413110955 -0.010013
11.38596 88076 -0.0002088854497 -0.061992
11.40904 90133 -0.0006254420593 -0.187771
11.43213 92238 -0.0007399039450 -0.224714
11.45521 94392 -0.0005909202477 -0.181550
11.47829 96596 -0.0002662425760 -0.082748
11.50138 98852 0.0001806915331 0.056811
11.52446 101160 0.0004203297309 0.133689
11.54755 103523 0.0002568187956 0.082631
11.57063 105940 -0.00008395054931 -0.027325
11.59371 108414 -0.0001380429190 -0.045452
11.61680 110946 0.0003972024761 0.132302
11.63988 113537 0.0004964598688 0.167283
11.66296 116188 0.0002556626376 0.087146
11.68605 118901 0.00003685352376 0.012708
11.70913 121678 -0.0001853036015 -0.064638
11.73221 124519 -0.0002319591652 -0.081852
11.75530 127427 -0.0001598881929 -0.057075
