logY Y P PoverSqrtY
6.90675 999 2.3351 0.073880
6.90975 1002 2.0383 0.064393
6.91175 1004 1.9759 0.062360
6.91374 1006 1.9155 0.060391
6.91672 1009 2.1221 0.066807
6.91870 1011 2.0456 0.064336
6.92067 1013 1.9639 0.061704
6.92264 1015 1.9449 0.061046
6.92560 1018 2.1734 0.068120
6.92756 1020 2.5422 0.079600
6.92952 1022 2.6480 0.082829
6.93245 1025 2.8734 0.089749
6.93440 1027 2.9763 0.092873
6.93634 1029 2.9216 0.091079
6.93828 1031 2.8772 0.089608
6.94119 1034 2.5913 0.080585
6.94312 1036 2.4932 0.077461
6.94505 1038 2.1412 0.066459
6.94794 1041 2.0953 0.064941
6.94986 1043 2.0426 0.063246
6.95273 1046 2.0146 0.062290
6.95464 1048 2.2371 0.069104
6.95655 1050 2.3045 0.071120
6.95940 1053 2.6921 0.082963
6.96130 1055 2.6518 0.081641
6.96319 1057 2.6782 0.082376
6.96602 1060 2.3777 0.073031
6.96791 1062 2.1234 0.065157
6.97073 1065 1.9881 0.060920
6.97261 1067 1.8345 0.056161
6.97448 1069 1.8193 0.055644
6.97728 1072 1.6308 0.049807
6.97915 1074 1.5611 0.047636
6.98193 1077 1.7930 0.054634
6.98379 1079 1.9691 0.059946
6.98564 1081 2.0712 0.062995
6.98841 1084 2.0623 0.062637
6.99026 1086 2.0232 0.061394
6.99302 1089 2.2484 0.068132
6.99485 1091 2.2457 0.067990
6.99760 1094 2.0245 0.061207
6.99942 1096 2.2661 0.068449
7.00216 1099 2.4522 0.073971
7.00397 1101 2.3869 0.071934
7.00670 1104 2.2605 0.068034
7.00851 1106 2.2105 0.066469
7.01121 1109 2.3840 0.071589
7.01302 1111 2.3246 0.069740
7.01571 1114 1.8854 0.056487
7.01751 1116 1.6522 0.049456
7.02019 1119 1.6967 0.050723
7.02198 1121 1.6309 0.048712
7.02465 1124 1.2746 0.038017
7.02643 1126 0.9515 0.028357
7.02909 1129 0.7795 0.023200
