logY Y P PoverSqrtY
6.90675 999 -15.9681 -0.505208
6.90975 1002 -15.8636 -0.501149
6.91175 1004 -16.1871 -0.510861
6.91374 1006 -16.3634 -0.515909
6.91672 1009 -15.3898 -0.484493
6.91870 1011 -14.9458 -0.470050
6.92067 1013 -14.9242 -0.468906
6.92264 1015 -15.1159 -0.474460
6.92560 1018 -15.3686 -0.481681
6.92756 1020 -14.2717 -0.446865
6.92952 1022 -13.9387 -0.436009
6.93245 1025 -13.4281 -0.419422
6.93440 1027 -13.4822 -0.420702
6.93634 1029 -13.4513 -0.419331
6.93828 1031 -13.4426 -0.418652
6.94119 1034 -14.3249 -0.445482
6.94312 1036 -14.4897 -0.450173
6.94505 1038 -14.0464 -0.435981
6.94794 1041 -13.6995 -0.424601
6.94986 1043 -13.4013 -0.414960
6.95273 1046 -13.2455 -0.409545
6.95464 1048 -13.2485 -0.409248
6.95655 1050 -13.1528 -0.405904
6.95940 1053 -12.9257 -0.398328
6.96130 1055 -12.5027 -0.384928
6.96319 1057 -12.2833 -0.377815
6.96602 1060 -12.6552 -0.388701
6.96791 1062 -12.4950 -0.383419
6.97073 1065 -12.2477 -0.375301
6.97261 1067 -12.4295 -0.380514
6.97448 1069 -12.8924 -0.394316
6.97728 1072 -13.9714 -0.426719
6.97915 1074 -13.2561 -0.404495
6.98193 1077 -12.7264 -0.387792
6.98379 1079 -12.6821 -0.386083
6.98564 1081 -12.7874 -0.388929
6.98841 1084 -13.6781 -0.415441
6.99026 1086 -13.4595 -0.408428
6.99302 1089 -13.7913 -0.417919
6.99485 1091 -13.7516 -0.416332
6.99760 1094 -13.8776 -0.419570
6.99942 1096 -13.7962 -0.416729
7.00216 1099 -13.3142 -0.401620
7.00397 1101 -13.3149 -0.401276
7.00670 1104 -13.9072 -0.418559
7.00851 1106 -14.7201 -0.442623
7.01121 1109 -14.1403 -0.424614
7.01302 1111 -13.7158 -0.411496
7.01571 1114 -14.0242 -0.420181
7.01751 1116 -13.9300 -0.416984
7.02019 1119 -13.5504 -0.405076
7.02198 1121 -13.5620 -0.405062
7.02465 1124 -14.6390 -0.436645
7.02643 1126 -14.8855 -0.443602
7.02909 1129 -14.4553 -0.430208
7.03086 1131 -14.2525 -0.423800
7.03351 1134 -14.4630 -0.429490
7.03527 1136 -14.9881 -0.444691
7.03791 1139 -14.7663 -0.437531
7.03966 1141 -14.8733 -0.440316
7.04229 1144 -15.5162 -0.458745
7.04491 1147 -14.8931 -0.439748
7.04665 1149 -15.0186 -0.443066
7.04925 1152 -15.0415 -0.443165
7.05099 1154 -14.9428 -0.439874
7.05359 1157 -14.6499 -0.430695
7.05618 1160 -15.8020 -0.463963
7.05790 1162 -15.6094 -0.457914
7.06048 1165 -15.1928 -0.445119
7.06219 1167 -15.4145 -0.451226
7.06476 1170 -16.0440 -0.469051
7.06732 1173 -15.7043 -0.458532
7.06902 1175 -15.3331 -0.447314
7.07157 1178 -15.5963 -0.454411
7.07412 1181 -14.9472 -0.434946
7.07581 1183 -14.6704 -0.426530
7.07834 1186 -14.5930 -0.423743
7.08087 1189 -14.3175 -0.415218
7.08255 1191 -14.3710 -0.416421
7.08506 1194 -14.7159 -0.425879
7.08757 1197 -14.5921 -0.421766
7.08924 1199 -14.4669 -0.417796
7.09174 1202 -14.8761 -0.429079
7.09423 1205 -15.0783 -0.434368
7.09589 1207 -14.5996 -0.420231
7.09838 1210 -14.3958 -0.413851
7.10085 1213 -13.8676 -0.398172
7.10332 1216 -14.4056 -0.413108
7.10497 1218 -13.4285 -0.384771
7.10743 1221 -13.1720 -0.376957
7.10988 1224 -13.5548 -0.387440
7.11233 1227 -13.7335 -0.392067
7.11396 1229 -13.5036 -0.385187
7.11639 1232 -14.0090 -0.399119
7.11883 1235 -13.5792 -0.386404
7.12125 1238 -14.1197 -0.401297
7.12367 1241 -13.5618 -0.384973
7.12528 1243 -13.5375 -0.383975
7.12769 1246 -13.7625 -0.389887
7.13010 1249 -13.7466 -0.388967
7.13250 1252 -14.0573 -0.397281
7.13489 1255 -13.0326 -0.367883
7.13648 1257 -12.8450 -0.362299
7.13887 1260 -13.0536 -0.367743
7.14125 1263 -12.2885 -0.345779
7.14362 1266 -12.2401 -0.344007
7.14598 1269 -12.4342 -0.349049
7.14835 1272 -12.2185 -0.342591
7.14992 1274 -12.0946 -0.338850
7.15227 1277 -12.0374 -0.336852
7.15462 1280 -12.7649 -0.356788
7.15696 1283 -12.3525 -0.344859
7.15929 1286 -12.9336 -0.360660
7.16162 1289 -12.6717 -0.352947
7.16395 1292 -13.1386 -0.365525
7.16627 1295 -12.7039 -0.353023
7.16858 1298 -12.9798 -0.360273
7.17089 1301 -13.2177 -0.366452
7.17242 1303 -13.9117 -0.385396
7.17472 1306 -14.3390 -0.396777
7.17702 1309 -13.2204 -0.365406
7.17931 1312 -13.6602 -0.377129
7.18159 1315 -13.2249 -0.364695
7.18387 1318 -13.1229 -0.361469
7.18614 1321 -12.9387 -0.355992
7.18841 1324 -13.7413 -0.377645
7.19068 1327 -13.0243 -0.357536
7.19293 1330 -13.2975 -0.364624
7.19519 1333 -13.4701 -0.368941
7.19744 1336 -14.5058 -0.396861
7.19968 1339 -14.4996 -0.396246
7.20192 1342 -14.8297 -0.404814
7.20415 1345 -13.9350 -0.379966
7.20638 1348 -14.0011 -0.381343
7.20860 1351 -12.9125 -0.351303
7.21082 1354 -12.8962 -0.350470
7.21303 1357 -13.1235 -0.356255
7.21524 1360 -13.6115 -0.369095
7.21744 1363 -12.6524 -0.342709
7.22037 1367 -12.6865 -0.343129
7.22257 1370 -13.2533 -0.358066
7.22475 1373 -12.7790 -0.344875
7.22694 1376 -13.4164 -0.361681
7.22911 1379 -13.0471 -0.351345
7.23129 1382 -12.9216 -0.347586
7.23346 1385 -12.4485 -0.334497
7.23562 1388 -12.9548 -0.347726
7.23778 1391 -13.2211 -0.354490
7.23993 1394 -14.0825 -0.377179
7.24280 1398 -13.5896 -0.363458
7.24494 1401 -13.7770 -0.368074
7.24708 1404 -14.2465 -0.380212
7.24922 1407 -14.4574 -0.385429
7.25134 1410 -15.0921 -0.401921
7.25347 1413 -16.0193 -0.426158
7.25630 1417 -15.2211 -0.404354
7.25841 1420 -15.1501 -0.402041
7.26052 1423 -14.7161 -0.390112
7.26263 1426 -14.7075 -0.389473
7.26473 1429 -14.5034 -0.383667
7.26753 1433 -14.6598 -0.387262
7.26962 1436 -14.8791 -0.392644
7.27170 1439 -13.9739 -0.368372
7.27379 1442 -14.1622 -0.372947
7.27656 1446 -14.1947 -0.373287
7.27863 1449 -14.1707 -0.372270
7.28070 1452 -13.6594 -0.358466
7.28276 1455 -13.3899 -0.351030
7.28551 1459 -13.2842 -0.347784
7.28756 1462 -13.0359 -0.340931
7.28961 1465 -12.9985 -0.339606
7.29234 1469 -13.3835 -0.349188
7.29438 1472 -13.1823 -0.343587
7.29641 1475 -12.8991 -0.335864
7.29845 1478 -13.1244 -0.341384
7.30115 1482 -12.9691 -0.336887
7.30317 1485 -13.0732 -0.339250
7.30519 1488 -13.3354 -0.345705
7.30787 1492 -14.0916 -0.364819
7.30988 1495 -13.9155 -0.359896
7.31255 1499 -14.0488 -0.362858
7.31455 1502 -15.0348 -0.387939
7.31655 1505 -14.1961 -0.365931
7.31920 1509 -13.9981 -0.360351
