logY Y P PoverSqrtY
6.90675 999 0.2308 0.007303
6.90975 1002 0.0161 0.000510
6.91175 1004 0.0105 0.000332
6.91374 1006 0.1030 0.003246
6.91672 1009 0.2383 0.007503
6.91870 1011 0.2604 0.008189
6.92067 1013 0.2219 0.006971
6.92264 1015 0.2455 0.007707
6.92560 1018 0.1338 0.004193
6.92756 1020 0.0929 0.002909
6.92952 1022 0.2084 0.006519
6.93245 1025 0.3489 0.010898
6.93440 1027 0.3407 0.010632
6.93634 1029 0.2846 0.008872
6.93828 1031 0.2309 0.007191
6.94119 1034 0.1163 0.003616
6.94312 1036 0.0350 0.001087
6.94505 1038 -0.0134 -0.000417
6.94794 1041 0.0368 0.001139
6.94986 1043 0.1263 0.003911
6.95273 1046 0.2579 0.007974
6.95464 1048 0.2641 0.008158
6.95655 1050 0.2060 0.006358
6.95940 1053 0.1135 0.003499
6.96130 1055 0.1651 0.005084
6.96319 1057 0.2450 0.007536
6.96602 1060 0.3686 0.011322
6.96791 1062 0.3849 0.011812
6.97073 1065 0.3394 0.010401
6.97261 1067 0.3166 0.009691
6.97448 1069 0.2047 0.006260
6.97728 1072 0.1518 0.004637
6.97915 1074 0.2274 0.006937
6.98193 1077 0.3823 0.011648
6.98379 1079 0.5136 0.015635
6.98564 1081 0.5521 0.016791
6.98841 1084 0.5139 0.015609
6.99026 1086 0.3962 0.012023
6.99302 1089 0.2680 0.008122
6.99485 1091 0.3702 0.011208
6.99760 1094 0.4083 0.012345
6.99942 1096 0.3538 0.010686
7.00216 1099 0.4050 0.012217
7.00397 1101 0.3858 0.011628
7.00670 1104 0.2105 0.006335
7.00851 1106 0.1530 0.004601
7.01121 1109 0.1870 0.005615
7.01302 1111 0.2262 0.006786
7.01571 1114 0.2555 0.007654
7.01751 1116 0.2334 0.006986
7.02019 1119 0.1781 0.005323
7.02198 1121 0.0518 0.001547
7.02465 1124 0.0743 0.002216
7.02643 1126 0.0591 0.001762
7.02909 1129 0.0643 0.001914
7.03086 1131 0.0311 0.000924
7.03351 1134 -0.0641 -0.001904
7.03527 1136 -0.0678 -0.002012
7.03791 1139 -0.0583 -0.001728
7.03966 1141 0.0177 0.000523
7.04229 1144 0.0594 0.001756
7.04491 1147 0.0929 0.002743
7.04665 1149 0.0694 0.002047
7.04925 1152 -0.1308 -0.003855
7.05099 1154 -0.3082 -0.009072
7.05359 1157 -0.4418 -0.012988
7.05618 1160 -0.3924 -0.011520
7.05790 1162 -0.4286 -0.012573
7.06048 1165 -0.5807 -0.017014
7.06219 1167 -0.6000 -0.017564
7.06476 1170 -0.5264 -0.015388
7.06732 1173 -0.5200 -0.015183
7.06902 1175 -0.4202 -0.012259
7.07157 1178 -0.3292 -0.009591
7.07412 1181 -0.2994 -0.008714
7.07581 1183 -0.3629 -0.010552
7.07834 1186 -0.5214 -0.015141
7.08087 1189 -0.7538 -0.021862
7.08255 1191 -0.7831 -0.022692
7.08506 1194 -0.5260 -0.015221
7.08757 1197 -0.4342 -0.012550
7.08924 1199 -0.4478 -0.012932
7.09174 1202 -0.5845 -0.016859
7.09423 1205 -0.6910 -0.019905
7.09589 1207 -0.7834 -0.022550
7.09838 1210 -0.8843 -0.025423
7.10085 1213 -0.8707 -0.024999
7.10332 1216 -0.8571 -0.024579
7.10497 1218 -0.9069 -0.025987
7.10743 1221 -1.0838 -0.031017
7.10988 1224 -1.1509 -0.032895
7.11233 1227 -0.9950 -0.028405
7.11396 1229 -0.9183 -0.026193
7.11639 1232 -0.7156 -0.020386
7.11883 1235 -0.6750 -0.019207
7.12125 1238 -0.7270 -0.020663
7.12367 1241 -0.8359 -0.023730
7.12528 1243 -0.7532 -0.021364
7.12769 1246 -0.7011 -0.019861
7.13010 1249 -0.6828 -0.019319
7.13250 1252 -0.6225 -0.017592
7.13489 1255 -0.6858 -0.019360
7.13648 1257 -0.8407 -0.023712
7.13887 1260 -0.9169 -0.025830
7.14125 1263 -0.6956 -0.019573
7.14362 1266 -0.6504 -0.018280
7.14598 1269 -0.7046 -0.019779
7.14835 1272 -0.8218 -0.023041
7.14992 1274 -0.9309 -0.026081
7.15227 1277 -0.9335 -0.026122
7.15462 1280 -0.8983 -0.025108
7.15696 1283 -0.8055 -0.022489
7.15929 1286 -0.7226 -0.020150
7.16162 1289 -0.6254 -0.017420
7.16395 1292 -0.5773 -0.016060
7.16627 1295 -0.3850 -0.010699
7.16858 1298 -0.2199 -0.006104
7.17089 1301 -0.0525 -0.001454
7.17242 1303 -0.0521 -0.001444
7.17472 1306 -0.0962 -0.002662
7.17702 1309 -0.0305 -0.000843
7.17931 1312 0.0661 0.001825
7.18159 1315 0.0844 0.002327
7.18387 1318 0.0494 0.001361
7.18614 1321 0.0404 0.001111
7.18841 1324 -0.0941 -0.002587
7.19068 1327 -0.0838 -0.002302
7.19293 1330 0.1844 0.005056
7.19519 1333 0.2928 0.008019
7.19744 1336 0.2082 0.005697
7.19968 1339 0.1121 0.003064
7.20192 1342 -0.0859 -0.002345
7.20415 1345 -0.0531 -0.001449
7.20638 1348 0.0304 0.000827
7.20860 1351 -0.0466 -0.001269
7.21082 1354 -0.1024 -0.002783
7.21303 1357 -0.1206 -0.003273
7.21524 1360 -0.1959 -0.005313
7.21744 1363 -0.1127 -0.003052
7.22037 1367 0.0795 0.002151
7.22257 1370 0.0053 0.000144
7.22475 1373 -0.2467 -0.006659
7.22694 1376 -0.4140 -0.011162
7.22911 1379 -0.2409 -0.006487
7.23129 1382 -0.0170 -0.000457
7.23346 1385 0.1977 0.005313
7.23562 1388 0.3662 0.009831
7.23778 1391 0.3722 0.009979
7.23993 1394 0.2925 0.007835
7.24280 1398 0.4340 0.011608
7.24494 1401 0.6165 0.016471
7.24708 1404 0.7167 0.019127
7.24922 1407 0.6683 0.017816
7.25134 1410 0.5635 0.015007
7.25347 1413 0.6590 0.017531
7.25630 1417 0.8450 0.022447
7.25841 1420 0.8559 0.022713
7.26052 1423 0.9639 0.025552
7.26263 1426 0.8992 0.023813
7.26473 1429 0.7592 0.020082
7.26753 1433 0.8047 0.021259
7.26962 1436 0.8560 0.022589
7.27170 1439 0.8298 0.021876
7.27379 1442 0.7456 0.019634
7.27656 1446 0.6185 0.016265
7.27863 1449 0.8025 0.021082
7.28070 1452 0.9234 0.024233
7.28276 1455 0.9112 0.023889
7.28551 1459 0.8627 0.022585
7.28756 1462 0.7846 0.020519
7.28961 1465 0.8051 0.021034
7.29234 1469 0.8522 0.022235
7.29438 1472 1.0154 0.026465
7.29641 1475 0.9979 0.025984
7.29845 1478 0.9367 0.024365
7.30115 1482 1.2666 0.032901
7.30317 1485 1.4416 0.037410
7.30519 1488 1.4736 0.038201
7.30787 1492 1.5654 0.040527
7.30988 1495 1.4818 0.038324
7.31255 1499 1.6665 0.043043
7.31455 1502 1.8060 0.046600
7.31655 1505 1.8375 0.047365
7.31920 1509 1.7227 0.044348
7.32119 1512 1.5663 0.040280
7.32383 1516 1.7341 0.044536
7.32581 1519 1.8384 0.047170
7.32778 1522 1.7694 0.045354
7.33041 1526 1.4964 0.038308
7.33237 1529 1.3517 0.034568
7.33498 1533 1.3581 0.034686
7.33694 1536 1.4800 0.037762
7.33954 1540 1.5435 0.039331
7.34148 1543 1.5499 0.039456
7.34407 1547 1.4473 0.036796
7.34601 1550 1.6303 0.041411
7.34859 1554 1.7488 0.044363
7.35052 1557 1.7023 0.043141
7.35308 1561 1.4780 0.037409
7.35500 1564 1.3367 0.033799
7.35756 1568 1.4084 0.035568
7.35947 1571 1.3432 0.033889
7.36201 1575 1.4014 0.035312
7.36391 1578 1.2173 0.030644
7.36645 1582 0.8648 0.021743
7.36834 1585 0.8871 0.022282
7.37086 1589 0.8030 0.020144
7.37275 1592 0.7434 0.018631
7.37526 1596 0.8596 0.021518
7.37776 1600 0.8987 0.022467
7.37963 1603 0.9884 0.024686
7.38212 1607 1.1328 0.028258
7.38399 1610 1.1583 0.028866
7.38647 1614 1.1036 0.027470
7.38895 1618 1.1516 0.028630
7.39080 1621 1.1461 0.028467
7.39326 1625 1.1247 0.027899
7.39572 1629 0.9478 0.023484
7.39756 1632 0.8625 0.021349
7.40001 1636 0.9643 0.023840
7.40245 1640 0.8956 0.022115
7.40428 1643 0.9269 0.022868
7.40671 1647 0.7884 0.019427
7.40914 1651 0.8503 0.020928
7.41156 1655 1.0279 0.025266
7.41337 1658 1.0534 0.025869
7.41578 1662 0.9517 0.023344
7.41818 1666 0.8728 0.021384
7.41998 1669 1.0069 0.024646
7.42237 1673 0.9437 0.023072
7.42476 1677 0.7029 0.017164
7.42714 1681 0.3296 0.008038
7.42952 1685 0.0317 0.000772
7.43130 1688 0.1839 0.004476
7.43367 1692 0.0941 0.002287
7.43603 1696 -0.1707 -0.004144
7.43838 1700 -0.1808 -0.004385
7.44073 1704 0.0430 0.001042
7.44249 1707 0.2671 0.006465
7.44483 1711 0.3774 0.009124
7.44717 1715 0.2855 0.006894
7.44950 1719 0.4185 0.010095
7.45182 1723 0.7067 0.017026
7.45414 1727 0.9299 0.022376
7.45645 1731 0.9666 0.023233
7.45876 1735 0.9589 0.023020
7.46049 1738 1.1440 0.027440
7.46279 1742 1.0716 0.025676
7.46508 1746 1.0377 0.024835
7.46737 1750 0.7947 0.018997
7.46965 1754 0.7330 0.017502
7.47193 1758 0.9101 0.021705
7.47420 1762 0.8466 0.020169
7.47647 1766 0.6921 0.016468
7.47873 1770 0.6043 0.014363
7.48099 1774 0.4593 0.010904
7.48324 1778 0.3684 0.008736
7.48549 1782 0.3398 0.008051
7.48773 1786 0.1736 0.004107
7.48997 1790 0.1982 0.004684
7.49220 1794 0.1453 0.003430
7.49443 1798 -0.0182 -0.000430
7.49665 1802 -0.1052 -0.002479
7.49887 1806 0.0249 0.000586
7.50108 1810 0.0123 0.000289
7.50329 1814 0.0652 0.001530
7.50549 1818 -0.1146 -0.002689
7.50824 1823 0.1403 0.003286
7.51043 1827 0.3229 0.007554
7.51262 1831 0.2657 0.006209
7.51480 1835 0.0992 0.002315
7.51698 1839 0.2757 0.006430
7.51915 1843 0.4569 0.010644
7.52132 1847 0.4572 0.010638
7.52402 1852 0.4025 0.009353
7.52618 1856 0.5000 0.011607
7.52833 1860 0.8159 0.018919
7.53048 1864 0.8546 0.019794
7.53262 1868 0.5462 0.012636
7.53476 1872 0.5961 0.013777
7.53743 1877 0.8108 0.018715
7.53956 1881 0.8406 0.019382
7.54168 1885 0.7554 0.017399
7.54380 1889 0.7013 0.016136
7.54645 1894 0.7377 0.016950
7.54856 1898 0.7363 0.016900
7.55066 1902 0.4274 0.009800
7.55276 1906 0.3044 0.006973
7.55538 1911 0.3925 0.008980
7.55747 1915 0.4019 0.009184
7.55956 1919 0.4764 0.010874
7.56216 1924 0.5282 0.012042
7.56424 1928 0.6433 0.014651
7.56631 1932 0.5520 0.012559
7.56890 1937 0.3262 0.007412
7.57096 1941 0.3782 0.008584
7.57302 1945 0.4729 0.010722
7.57558 1950 0.4527 0.010253
7.57763 1954 0.4258 0.009632
7.58019 1959 0.4560 0.010302
7.58223 1963 0.4047 0.009133
7.58426 1967 0.6064 0.013673
7.58680 1972 0.6209 0.013983
7.58883 1976 1.0337 0.023254
7.59136 1981 1.2282 0.027596
7.59337 1985 1.2052 0.027051
7.59589 1990 1.1657 0.026132
7.59790 1994 1.2847 0.028771
7.60040 1999 1.2315 0.027543
7.60240 2003 1.0179 0.022744
7.60489 2008 0.8290 0.018500
7.60688 2012 1.1171 0.024906
7.60937 2017 1.1254 0.025058
7.61135 2021 1.0292 0.022893
7.61382 2026 1.1125 0.024715
7.61579 2030 1.3068 0.029005
7.61825 2035 1.4658 0.032493
7.62071 2040 1.4153 0.031336
7.62266 2044 1.6931 0.037450
7.62511 2049 1.9668 0.043451
7.62706 2053 1.8816 0.041526
7.62949 2058 1.6914 0.037283
7.63192 2063 1.9012 0.041857
7.63385 2067 1.9607 0.043125
7.63627 2072 1.9896 0.043708
7.63868 2077 1.9253 0.042245
7.64060 2081 2.1379 0.046866
7.64300 2086 2.1345 0.046735
7.64540 2091 2.0428 0.044673
7.64731 2095 2.0150 0.044023
7.64969 2100 1.9174 0.041840
7.65207 2105 1.6927 0.036893
7.65444 2110 1.4550 0.031676
7.65634 2114 1.3981 0.030407
7.65870 2119 1.0834 0.023535
7.66106 2124 0.7726 0.016763
7.66341 2129 0.8591 0.018618
7.66528 2133 0.8900 0.019271
7.66763 2138 0.9462 0.020464
7.66996 2143 0.8045 0.017378
7.67229 2148 0.9466 0.020424
7.67462 2153 0.7866 0.016952
7.67694 2158 0.6067 0.013059
7.67879 2162 0.7938 0.017073
7.68110 2167 0.8793 0.018889
7.68340 2172 0.6381 0.013692
7.68570 2177 0.5035 0.010791
7.68800 2182 0.7125 0.015253
7.69029 2187 0.7030 0.015033
7.69257 2192 0.4422 0.009444
7.69485 2197 0.6986 0.014905
7.69712 2202 0.8227 0.017533
7.69939 2207 0.7553 0.016078
7.70165 2212 0.4955 0.010536
7.70391 2217 0.5424 0.011519
7.70616 2222 0.4499 0.009545
7.70841 2227 0.1996 0.004229
7.71065 2232 0.3113 0.006588
7.71289 2237 0.1372 0.002900
7.71512 2242 -0.0829 -0.001752
7.71735 2247 -0.2989 -0.006306
7.71957 2252 -0.2636 -0.005556
7.72179 2257 -0.3143 -0.006615
7.72400 2262 -0.4670 -0.009818
7.72621 2267 -0.3935 -0.008265
7.72842 2272 -0.3984 -0.008358
7.73061 2277 -0.4185 -0.008770
7.73281 2282 -0.1818 -0.003805
7.73543 2288 0.1805 0.003774
7.73762 2293 0.1279 0.002671
7.73979 2298 0.4487 0.009360
7.74197 2303 0.5531 0.011526
7.74414 2308 0.4435 0.009232
7.74630 2313 0.2553 0.005308
7.74889 2319 0.5940 0.012335
7.75105 2324 0.4871 0.010103
7.75319 2329 0.2055 0.004258
7.75534 2334 0.3031 0.006275
7.75791 2340 0.2370 0.004898
7.76004 2345 0.0960 0.001982
7.76217 2350 0.3019 0.006228
7.76430 2355 0.4919 0.010137
7.76684 2361 0.2026 0.004169
7.76896 2366 0.1797 0.003693
7.77107 2371 0.2748 0.005643
7.77359 2377 0.1429 0.002932
7.77570 2382 0.1566 0.003208
7.77779 2387 0.3887 0.007956
7.78030 2393 0.7336 0.014997
7.78239 2398 0.6414 0.013098
7.78489 2404 1.1368 0.023186
7.78697 2409 1.2220 0.024898
7.78904 2414 1.4054 0.028605
7.79152 2420 1.5350 0.031203
7.79359 2425 1.5180 0.030826
7.79606 2431 1.2815 0.025991
7.79811 2436 1.3786 0.027932
7.80057 2442 1.5781 0.031934
7.80262 2447 1.6356 0.033064
