logY Y Sw sqrtY_times_Sw
6.90675 999 -0.005050252682 -0.159623
6.93049 1023 -0.006352333520 -0.203175
6.95368 1047 -0.004738525538 -0.153326
6.97635 1071 -0.003502743687 -0.114631
6.99942 1096 -0.003632989050 -0.120273
7.02287 1122 -0.004690402546 -0.157111
7.04578 1148 -0.005956472148 -0.201818
7.06902 1175 -0.005874567674 -0.201370
7.09174 1202 -0.005388197956 -0.186808
7.11477 1230 -0.004989948392 -0.175004
7.13807 1259 -0.004723028318 -0.167584
7.16162 1289 -0.003572130551 -0.128249
7.18463 1319 -0.003310556050 -0.120233
7.20712 1349 -0.0009111371040 -0.033465
7.23056 1381 0.001983652885 0.073716
7.25347 1413 0.002951588515 0.110950
7.27656 1446 0.003611639552 0.137337
7.29980 1480 0.004014086442 0.154425
7.32317 1515 0.003188299463 0.124098
7.34601 1550 0.0005190794858 0.020436
7.36897 1586 -0.001089351392 -0.043383
7.39203 1623 -0.0003732427805 -0.015037
7.41518 1661 -0.00005496683960 -0.002240
7.43838 1700 0.0001226869852 0.005059
7.46164 1740 0.0006697096508 0.027936
7.48437 1780 0.0006395839816 0.026984
7.50769 1822 0.00004042959843 0.001726
7.53048 1864 0.0005414995439 0.023379
7.55381 1908 0.001571024836 0.068623
7.57712 1953 0.002321889188 0.102611
7.59990 1998 0.002525513347 0.112888
7.62315 2045 0.002298794162 0.103955
7.64635 2093 0.002618937381 0.119815
7.66950 2142 0.002698696986 0.124900
7.69257 2192 0.002546295245 0.119214
7.71557 2243 0.001214178859 0.057504
7.73849 2295 0.001025393036 0.049123
7.76174 2349 0.0002743812346 0.013298
7.78489 2404 -0.001138970639 -0.055844
7.80792 2460 -0.001242420951 -0.061622
7.83082 2517 0.0007031816475 0.035278
7.85399 2576 0.001748993532 0.088769
7.87702 2636 0.002233086539 0.114651
7.90027 2698 0.001548388178 0.080427
7.92335 2761 0.0006521540733 0.034268
7.94626 2825 0.0007265567019 0.038617
7.96936 2891 0.001192425587 0.064114
7.99261 2959 0.001656127796 0.090088
8.01566 3028 0.001292860444 0.071143
8.03883 3099 0.0008943179042 0.049785
8.06180 3171 0.0001945731247 0.010957
8.08487 3245 0.0001707089184 0.009724
8.10802 3321 -0.0007004554461 -0.040366
8.13094 3398 -0.0009070968430 -0.052877
8.15421 3478 -0.00007131715583 -0.004206
8.17723 3559 -0.0006364482517 -0.037969
8.20029 3642 -0.001080450351 -0.065204
8.22336 3727 -0.0004914628698 -0.030003
8.24643 3814 -0.0002252458607 -0.013911
8.26950 3903 -0.0002249739585 -0.014055
8.29255 3994 -0.001117823628 -0.070644
8.31581 4088 -0.001292970839 -0.082669
8.33878 4183 -0.001256570102 -0.081270
8.36194 4281 -0.001329609427 -0.086995
8.38503 4381 -0.002533157050 -0.167667
8.40805 4483 -0.003624065144 -0.242650
8.43120 4588 -0.003800616689 -0.257434
8.45425 4695 -0.004062787972 -0.278383
8.47741 4805 -0.003903869942 -0.270609
8.50045 4917 -0.003553650107 -0.249187
8.52357 5032 -0.003024804215 -0.214569
8.54656 5149 -0.001690053223 -0.121272
8.56960 5269 -0.0004579344285 -0.033240
8.59267 5392 0.0001874003538 0.013761
8.61577 5518 0.0004047450906 0.030066
8.63888 5647 0.0004638997368 0.034860
8.66199 5779 0.0002038613557 0.015497
