logY Y Sw sqrtY_times_Sw
6.90675 999 0.00001253851019 0.000396
6.93049 1023 0.001086694055 0.034757
6.95368 1047 -0.00004872665884 -0.001577
6.97635 1071 -0.0009873886505 -0.032313
6.99942 1096 -0.0001288177053 -0.004265
7.02287 1122 0.0001833644285 0.006142
7.04578 1148 -0.00001123084768 -0.000381
7.06902 1175 0.0007709788556 0.026428
7.09174 1202 0.002654199173 0.092021
7.11477 1230 0.002756316111 0.096668
7.13807 1259 0.001659630715 0.058888
7.16162 1289 0.001238292731 0.044458
7.18463 1319 0.001015837948 0.036893
7.20712 1349 0.001191461742 0.043761
7.23056 1381 0.002158142964 0.080200
7.25347 1413 0.003387168617 0.127323
7.27656 1446 0.002744615895 0.104368
7.29980 1480 0.002410168308 0.092721
7.32317 1515 0.003615930444 0.140743
7.34601 1550 0.004483535280 0.176517
7.36897 1586 0.004107579767 0.163583
7.39203 1623 0.003276251739 0.131989
7.41518 1661 0.002852257904 0.116245
7.43838 1700 0.002667638795 0.109990
7.46164 1740 0.001941273801 0.080977
7.48437 1780 0.001180846911 0.049820
7.50769 1822 0.0001145204019 0.004888
7.53048 1864 -0.0009888783916 -0.042694
7.55381 1908 -0.001255922159 -0.054860
7.57712 1953 -0.001059945087 -0.046842
7.59990 1998 -0.0006782086613 -0.030315
7.62315 2045 -0.0003477005309 -0.015724
7.64635 2093 0.0003120416863 0.014276
7.66950 2142 -0.0003095366100 -0.014326
7.69257 2192 -0.0002374671704 -0.011118
7.71557 2243 -0.0009573749396 -0.045342
7.73849 2295 -0.001200779295 -0.057525
7.76174 2349 -0.002561755888 -0.124159
7.78489 2404 -0.002741305399 -0.134408
7.80792 2460 -0.001472736311 -0.073045
7.83082 2517 -0.001433732023 -0.071930
7.85399 2576 -0.001610093972 -0.081719
7.87702 2636 -0.001677528957 -0.086128
7.90027 2698 -0.0007927247423 -0.041176
7.92335 2761 0.001054151744 0.055391
7.94626 2825 0.001283269966 0.068207
7.96936 2891 0.001184549162 0.063691
7.99261 2959 0.001168844161 0.063581
8.01566 3028 0.001218693660 0.067061
8.03883 3099 0.001362524288 0.075850
8.06180 3171 0.001734168588 0.097654
8.08487 3245 0.001038475415 0.059157
8.10802 3321 0.0007442077748 0.042887
8.13094 3398 0.0005982242279 0.034872
8.15421 3478 0.0004761867203 0.028083
8.17723 3559 0.001042102942 0.062169
8.20029 3642 0.0003880789070 0.023420
8.22336 3727 0.0003954097491 0.024139
8.24643 3814 0.001407880677 0.086947
8.26950 3903 0.001222453556 0.076372
8.29255 3994 0.0003450383594 0.021806
8.31581 4088 -0.00008314001258 -0.005316
8.33878 4183 -0.001043391964 -0.067483
8.36194 4281 -0.002027736157 -0.132673
8.38503 4381 -0.002386054748 -0.157931
8.40805 4483 -0.001395313232 -0.093423
8.43120 4588 -0.00005341106476 -0.003618
8.45425 4695 -0.0002757884556 -0.018897
8.47741 4805 -0.0006349951404 -0.044017
8.50045 4917 -0.0009231160433 -0.064730
8.52357 5032 -0.0004863313642 -0.034499
8.54656 5149 -0.0002292150360 -0.016448
8.56960 5269 -0.0003023450935 -0.021947
8.59267 5392 -0.0003631337170 -0.026665
8.61577 5518 -0.0008414504542 -0.062506
8.63888 5647 -0.0009198694438 -0.069125
8.66199 5779 -0.0004659398091 -0.035421
8.68508 5914 0.0005464397445 0.042023
8.70814 6052 0.001160558586 0.090285
8.73134 6194 0.0008837380098 0.069552
8.75432 6338 0.001126085235 0.089649
8.77740 6486 0.001249104600 0.100598
8.80057 6638 0.001038020831 0.084572
8.82365 6793 0.001075592611 0.088650
8.84664 6951 0.001212771838 0.101112
8.86982 7114 0.001153472125 0.097289
8.89289 7280 0.0008092921000 0.069051
8.91597 7450 0.00004799162567 0.004142
8.93906 7624 -0.0005015289845 -0.043791
8.96214 7802 -0.0002042710210 -0.018043
8.98519 7984 0.0001080408080 0.009654
9.00835 8171 0.0004315374203 0.039008
9.03133 8361 -0.00006309335416 -0.005769
9.05450 8557 -0.0004141477949 -0.038310
9.07761 8757 -0.0007795852466 -0.072953
9.10064 8961 -0.0008264204711 -0.078231
9.12369 9170 -0.001051899738 -0.100730
9.14676 9384 -0.0003111724837 -0.030144
9.16993 9604 -0.0001620152710 -0.015877
9.19299 9828 -0.0001147376104 -0.011375
9.21602 10057 -0.0003268781843 -0.032781
9.23912 10292 -0.0005541871413 -0.056222
9.26227 10533 -0.0007027495040 -0.072123
9.28536 10779 -0.0005026493073 -0.052186
9.30837 11030 0.0002769631507 0.029088
9.33150 11288 0.0008465419998 0.089941
9.35453 11551 0.0007768331154 0.083491
9.37763 11821 0.0006348910603 0.069028
9.40071 12097 0.0005909969103 0.065002
9.42384 12380 0.0002650016803 0.029486
9.44691 12669 0.0005739214159 0.064599
9.47001 12965 0.0001421901185 0.016190
9.49311 13268 0.0001114905726 0.012842
9.51613 13577 0.00009616641705 0.011205
9.53921 13894 -0.0002716163253 -0.032016
9.56233 14219 -0.0001601300651 -0.019094
9.58541 14551 0.0002247903434 0.027116
9.60851 14891 0.0004746405088 0.057920
9.63161 15239 0.0001151000228 0.014209
9.65464 15594 -0.00003841653441 -0.004797
9.67778 15959 -0.0004577835444 -0.057831
9.70082 16331 -0.0008004916567 -0.102297
9.72394 16713 -0.0005496483545 -0.071058
9.74701 17103 -0.0001332081660 -0.017421
9.77007 17502 -0.0001455964828 -0.019262
9.79317 17911 -0.0003782740545 -0.050625
9.81624 18329 -0.0005114419360 -0.069241
9.83932 18757 -0.0003412941029 -0.046742
9.86241 19195 -0.0004476268461 -0.062017
9.88553 19644 -0.0003641099548 -0.051033
9.90857 20102 0.00001422039202 0.002016
9.93169 20572 0.0002013838973 0.028884
9.95475 21052 0.0001962316097 0.028472
9.97785 21544 0.0003435204614 0.050422
10.00093 22047 0.0006630428458 0.098450
10.02402 22562 0.0009886397871 0.148500
10.04711 23089 0.0009518065885 0.144628
10.07019 23628 0.0007084914301 0.108905
10.09328 24180 0.0006194989816 0.096332
10.11634 24744 0.0009006874818 0.141680
10.13943 25322 0.0006823378184 0.108580
10.16250 25913 0.0002685907596 0.043236
10.18562 26519 0.0002058412933 0.033521
10.20869 27138 0.0001538399149 0.025343
10.23178 27772 -0.0002030824884 -0.033844
10.25485 28420 -0.0002293823316 -0.038670
10.27794 29084 -0.00009853445330 -0.016804
10.30102 29763 0.0002101808530 0.036260
10.32410 30458 0.0003124740723 0.054534
10.34718 31169 0.0003273353839 0.057790
10.37027 31897 0.0001007129354 0.017987
10.39336 32642 -0.00006655955418 -0.012025
10.41643 33404 -0.0001365256805 -0.024952
10.43951 34184 -0.0003461060357 -0.063991
10.46262 34983 -0.0003620619992 -0.067719
10.48570 35800 -0.0004135732446 -0.078252
10.50879 36636 -0.0003842422680 -0.073546
10.53186 37491 -0.0003487048578 -0.067518
10.55495 38367 -0.0004383101343 -0.085854
10.57804 39263 -0.0003406398133 -0.067497
10.60112 40180 -0.0001047557963 -0.020998
10.62420 41118 0.0001488492082 0.030183
10.64728 42078 0.0002174283636 0.044601
10.67037 43061 0.0001134809604 0.023549
10.69344 44066 0.0001221991274 0.025652
10.71653 45095 0.0003583468310 0.076097
10.73961 46148 0.0004680976192 0.100557
10.76270 47226 0.0005322138376 0.115658
10.78579 48329 0.0002498886919 0.054935
10.80886 49457 -0.00002242169921 -0.004986
10.83194 50612 -0.0002529932425 -0.056916
10.85503 51794 -0.0001891957536 -0.043058
10.87812 53004 -0.00006163350710 -0.014190
10.90121 54242 0.0002180779088 0.050790
10.92428 55508 0.0003275893117 0.077180
10.94736 56804 0.0002259015492 0.053840
10.97045 58131 0.0001130180139 0.027249
10.99353 59488 0.0002713798634 0.066190
11.01663 60878 0.0003673888774 0.090648
11.03970 62299 0.0002448408651 0.061112
11.06279 63754 0.0002763580042 0.069779
11.08587 65243 0.0002196861119 0.056114
11.10895 66766 0.00002833736327 0.007322
11.13205 68326 -0.0003175702390 -0.083010
11.15512 69921 -0.0003275501640 -0.086613
11.17821 71554 -0.0003083726502 -0.082488
11.20129 73225 -0.0002346588126 -0.063499
11.22438 74935 -0.0002498437956 -0.068393
11.24746 76685 -0.0002145882856 -0.059424
11.27054 78475 -0.0001272929334 -0.035659
11.29362 80308 -0.00007144474957 -0.020246
11.31670 82183 -0.00002048185388 -0.005872
11.33980 84103 0.00005198312950 0.015075
11.36288 86067 -0.00003026003883 -0.008877
11.38596 88076 -0.00007419855634 -0.022020
11.40904 90133 -0.0002089672076 -0.062736
11.43213 92238 -0.0002125794762 -0.064562
11.45521 94392 -0.00007471912170 -0.022956
11.47829 96596 -0.0001402297881 -0.043583
11.50138 98852 -0.0002164239908 -0.068045
11.52446 101160 -0.00007407594808 -0.023560
11.54755 103523 0.00004701423581 0.015127
11.57063 105940 0.00008554350247 0.027843
11.59371 108414 0.00006685019120 0.022011
