logY Y P PoverSqrtY
6.90675 999 -6.3010 -0.199355
6.90975 1002 -6.6055 -0.208677
6.91175 1004 -6.4322 -0.203000
6.91374 1006 -6.2193 -0.196084
6.91672 1009 -6.3475 -0.199828
6.91870 1011 -6.2265 -0.195824
6.92067 1013 -6.5181 -0.204793
6.92264 1015 -6.1704 -0.193677
6.92560 1018 -5.6915 -0.178383
6.92756 1020 -5.7807 -0.181000
6.92952 1022 -5.8573 -0.183220
6.93245 1025 -6.0025 -0.187485
6.93440 1027 -5.9992 -0.187202
6.93634 1029 -5.7147 -0.178149
6.93828 1031 -6.0329 -0.187888
6.94119 1034 -5.9926 -0.186362
6.94312 1036 -5.9217 -0.183980
6.94505 1038 -5.9760 -0.185485
6.94794 1041 -6.0381 -0.187144
6.94986 1043 -6.4974 -0.201187
6.95273 1046 -6.3467 -0.196239
6.95464 1048 -6.3622 -0.196529
6.95655 1050 -6.4182 -0.198071
6.95940 1053 -6.7320 -0.207457
6.96130 1055 -7.1230 -0.219298
6.96319 1057 -7.5418 -0.231974
6.96602 1060 -7.2546 -0.222825
6.96791 1062 -7.7117 -0.236640
6.97073 1065 -8.4003 -0.257408
6.97261 1067 -9.1696 -0.280717
6.97448 1069 -8.6376 -0.264184
6.97728 1072 -8.0624 -0.246246
6.97915 1074 -8.0868 -0.246759
6.98193 1077 -8.0190 -0.244350
6.98379 1079 -7.9058 -0.240679
6.98564 1081 -7.7660 -0.236203
6.98841 1084 -7.5709 -0.229949
6.99026 1086 -7.7062 -0.233844
6.99302 1089 -7.7668 -0.235356
6.99485 1091 -7.8184 -0.236705
6.99760 1094 -7.5685 -0.228824
6.99942 1096 -7.5342 -0.227578
7.00216 1099 -7.8002 -0.235291
7.00397 1101 -7.6614 -0.230895
7.00670 1104 -7.6428 -0.230022
7.00851 1106 -7.4727 -0.224699
7.01121 1109 -7.8460 -0.235603
7.01302 1111 -8.1143 -0.243440
7.01571 1114 -7.5057 -0.224880
7.01751 1116 -7.4897 -0.224199
7.02019 1119 -7.4485 -0.222667
7.02198 1121 -7.7351 -0.231026
7.02465 1124 -7.4095 -0.221008
7.02643 1126 -7.4137 -0.220935
7.02909 1129 -7.8633 -0.234024
7.03086 1131 -7.8449 -0.233268
7.03351 1134 -8.0204 -0.238171
7.03527 1136 -7.7442 -0.229766
7.03791 1139 -7.9041 -0.234201
7.03966 1141 -7.8759 -0.233163
7.04229 1144 -7.6811 -0.227098
7.04491 1147 -8.0900 -0.238873
7.04665 1149 -7.7441 -0.228460
7.04925 1152 -7.9381 -0.233879
7.05099 1154 -8.1694 -0.240485
7.05359 1157 -8.8709 -0.260795
7.05618 1160 -8.1771 -0.240089
7.05790 1162 -8.1678 -0.239609
7.06048 1165 -8.6015 -0.252007
7.06219 1167 -8.2925 -0.242745
7.06476 1170 -7.7861 -0.227628
7.06732 1173 -7.9908 -0.233316
7.06902 1175 -8.2824 -0.241622
7.07157 1178 -7.9872 -0.232713
7.07412 1181 -8.0488 -0.234211
7.07581 1183 -8.1951 -0.238265
7.07834 1186 -7.5682 -0.219760
7.08087 1189 -7.5908 -0.220140
7.08255 1191 -7.2708 -0.210683
7.08506 1194 -7.1707 -0.207519
7.08757 1197 -7.2026 -0.208183
7.08924 1199 -7.3353 -0.211840
7.09174 1202 -6.7737 -0.195378
7.09423 1205 -6.9795 -0.201062
7.09589 1207 -7.0756 -0.203661
7.09838 1210 -6.8424 -0.196704
7.10085 1213 -7.1763 -0.206048
7.10332 1216 -6.7323 -0.193061
7.10497 1218 -6.8385 -0.195946
7.10743 1221 -6.8879 -0.197119
7.10988 1224 -6.5585 -0.187463
7.11233 1227 -6.5623 -0.187343
7.11396 1229 -6.7467 -0.192449
7.11639 1232 -6.7187 -0.191415
7.11883 1235 -7.0231 -0.199845
7.12125 1238 -6.8228 -0.193910
7.12367 1241 -7.2819 -0.206709
7.12528 1243 -7.7340 -0.219365
7.12769 1246 -7.2694 -0.205938
7.13010 1249 -7.4068 -0.209580
7.13250 1252 -7.1524 -0.202137
7.13489 1255 -7.5773 -0.213891
7.13648 1257 -7.3734 -0.207969
7.13887 1260 -7.2874 -0.205298
7.14125 1263 -7.9037 -0.222397
7.14362 1266 -8.1673 -0.229541
7.14598 1269 -7.9956 -0.224450
7.14835 1272 -8.0906 -0.226849
7.14992 1274 -8.1213 -0.227533
7.15227 1277 -8.4863 -0.237478
7.15462 1280 -7.9664 -0.222667
7.15696 1283 -8.6265 -0.240835
7.15929 1286 -8.0461 -0.224370
7.16162 1289 -7.9964 -0.222724
7.16395 1292 -7.5218 -0.209263
7.16627 1295 -7.7985 -0.216709
7.16858 1298 -7.6574 -0.212543
7.17089 1301 -7.7753 -0.215565
7.17242 1303 -7.8304 -0.216926
7.17472 1306 -7.5124 -0.207878
7.17702 1309 -7.9754 -0.220435
7.17931 1312 -7.2954 -0.201410
7.18159 1315 -7.4371 -0.205087
7.18387 1318 -7.1870 -0.197965
7.18614 1321 -7.4749 -0.205662
7.18841 1324 -7.2085 -0.198109
7.19068 1327 -7.8222 -0.214731
7.19293 1330 -7.3726 -0.202160
7.19519 1333 -7.7659 -0.212704
7.19744 1336 -7.2368 -0.197991
7.19968 1339 -7.3612 -0.201169
7.20192 1342 -7.2004 -0.196554
7.20415 1345 -7.3250 -0.199731
7.20638 1348 -6.7008 -0.182508
7.20860 1351 -7.0318 -0.191311
7.21082 1354 -6.9761 -0.189586
7.21303 1357 -7.2840 -0.197732
7.21524 1360 -6.8232 -0.185020
7.21744 1363 -7.5747 -0.205173
7.22037 1367 -7.5553 -0.204346
7.22257 1370 -7.1369 -0.192820
7.22475 1373 -7.8775 -0.212594
7.22694 1376 -7.3893 -0.199203
7.22911 1379 -7.4261 -0.199976
7.23129 1382 -7.1281 -0.191744
7.23346 1385 -7.4521 -0.200241
7.23562 1388 -7.2000 -0.193257
7.23778 1391 -7.6306 -0.204594
7.23993 1394 -7.5315 -0.201721
7.24280 1398 -7.9102 -0.211559
7.24494 1401 -7.7530 -0.207135
7.24708 1404 -7.7669 -0.207283
7.24922 1407 -8.0988 -0.215911
7.25134 1410 -7.9572 -0.211909
7.25347 1413 -8.2349 -0.219073
7.25630 1417 -9.0804 -0.241223
7.25841 1420 -8.6187 -0.228716
7.26052 1423 -9.0934 -0.241059
7.26263 1426 -8.9677 -0.237476
7.26473 1429 -9.3839 -0.248239
7.26753 1433 -9.6443 -0.254771
7.26962 1436 -9.1577 -0.241662
7.27170 1439 -9.3048 -0.245288
7.27379 1442 -9.1010 -0.239667
7.27656 1446 -9.1938 -0.241774
7.27863 1449 -9.2327 -0.242547
7.28070 1452 -9.5354 -0.250240
7.28276 1455 -9.5564 -0.250532
7.28551 1459 -9.8144 -0.256942
7.28756 1462 -9.9622 -0.260545
7.28961 1465 -10.0189 -0.261758
7.29234 1469 -9.4112 -0.245547
7.29438 1472 -8.9416 -0.233058
7.29641 1475 -9.1374 -0.237918
7.29845 1478 -8.7360 -0.227235
7.30115 1482 -8.9657 -0.232894
7.30317 1485 -9.0453 -0.234726
7.30519 1488 -8.7116 -0.225838
7.30787 1492 -8.3233 -0.215482
7.30988 1495 -8.6279 -0.223143
7.31255 1499 -8.6438 -0.223256
7.31455 1502 -8.5104 -0.219592
7.31655 1505 -9.3444 -0.240870
7.31920 1509 -9.3311 -0.240208
7.32119 1512 -8.9799 -0.230939
7.32383 1516 -8.9108 -0.228859
7.32581 1519 -9.0366 -0.231860
7.32778 1522 -8.5659 -0.219565
7.33041 1526 -8.6107 -0.220425
7.33237 1529 -8.9106 -0.227877
7.33498 1533 -8.4384 -0.215521
7.33694 1536 -8.1486 -0.207915
7.33954 1540 -7.8648 -0.200414
7.34148 1543 -8.2627 -0.210350
7.34407 1547 -8.0093 -0.203633
7.34601 1550 -7.6147 -0.193414
