logY Y Sw sqrtY_times_Sw
6.90675 999 -0.001407954344 -0.044501
6.93049 1023 -0.0009020133281 -0.028850
6.95368 1047 -0.002919064513 -0.094453
6.97635 1071 -0.002974686179 -0.097350
6.99942 1096 -0.003125404929 -0.103469
7.02287 1122 -0.002273611829 -0.076158
7.04578 1148 -0.002628050862 -0.089044
7.06902 1175 -0.003080434926 -0.105592
7.09174 1202 -0.002188860315 -0.075888
7.11477 1230 -0.003910316437 -0.137140
7.13807 1259 -0.005276311289 -0.187216
7.16162 1289 -0.003615985503 -0.129823
7.18463 1319 -0.003122936207 -0.113419
7.20712 1349 -0.004511339520 -0.165696
7.23056 1381 -0.003905689627 -0.145142
7.25347 1413 -0.004412349068 -0.165860
7.27656 1446 -0.002031679205 -0.077257
7.29980 1480 0.002059011627 0.079212
7.32317 1515 0.003697293266 0.143910
7.34601 1550 0.004454878414 0.175389
7.36897 1586 0.005707426910 0.227296
7.39203 1623 0.007076723263 0.285096
7.41518 1661 0.007117880304 0.290092
7.43838 1700 0.006077484840 0.250581
7.46164 1740 0.004226347727 0.176295
7.48437 1780 0.002762300420 0.116542
7.50769 1822 0.003033329556 0.129477
7.53048 1864 0.002043680817 0.088234
7.55381 1908 0.003839973370 0.167733
7.57712 1953 0.004743954022 0.209648
7.59990 1998 0.004474113703 0.199988
7.62315 2045 0.002762465077 0.124923
7.64635 2093 0.0009873991116 0.045173
7.66950 2142 -0.0006703263466 -0.031024
7.69257 2192 0.00007378486091 0.003455
7.71557 2243 -0.00002343840540 -0.001110
7.73849 2295 -0.0008194557169 -0.039257
7.76174 2349 -0.0006781004409 -0.032865
7.78489 2404 -0.00001237445663 -0.000607
7.80792 2460 0.0009866905542 0.048938
7.83082 2517 0.001314268094 0.065936
7.85399 2576 0.00002929369495 0.001487
7.87702 2636 -0.0009079364775 -0.046615
7.90027 2698 -0.001536756587 -0.079823
7.92335 2761 -0.001922621921 -0.101025
7.94626 2825 -0.001839877004 -0.097791
7.96936 2891 -0.0008945002139 -0.048096
7.99261 2959 -0.001385122132 -0.075346
8.01566 3028 -0.001811782544 -0.099697
8.03883 3099 -0.002906976862 -0.161828
8.06180 3171 -0.004667018962 -0.262807
8.08487 3245 -0.006363848007 -0.362516
8.10802 3321 -0.006894775651 -0.397333
8.13094 3398 -0.007053420795 -0.411161
8.15421 3478 -0.004949270238 -0.291881
8.17723 3559 -0.003930975907 -0.234512
8.20029 3642 -0.003865185402 -0.233260
8.22336 3727 -0.002967266769 -0.181149
8.24643 3814 -0.003173734459 -0.196002
8.26950 3903 -0.002672610470 -0.166969
8.29255 3994 -0.001801087505 -0.113825
8.31581 4088 -0.001668837045 -0.106701
