logY Y Sw sqrtY_times_Sw
6.90675 999 -0.002663794573 -0.084194
6.93049 1023 -0.001856218123 -0.059370
6.95368 1047 -0.0001577718467 -0.005105
6.97635 1071 -0.0007197701762 -0.023555
6.99942 1096 -0.001757275032 -0.058176
7.02287 1122 -0.001462337108 -0.048983
7.04578 1148 -0.0005617385633 -0.019033
7.06902 1175 -0.001344572630 -0.046090
7.09174 1202 -0.001185569962 -0.041104
7.11477 1230 0.001192977387 0.041839
7.13807 1259 0.004237878606 0.150370
7.16162 1289 0.002072584631 0.074411
7.18463 1319 0.0009232922807 0.033532
7.20712 1349 0.001434039186 0.052670
7.23056 1381 0.0001184304360 0.004401
7.25347 1413 -0.0003259737178 -0.012253
7.27656 1446 0.00007934228638 0.003017
7.29980 1480 0.002659467560 0.102312
7.32317 1515 0.003708372224 0.144341
7.34601 1550 0.0008731629220 0.034376
7.36897 1586 -0.0006451132919 -0.025691
7.39203 1623 0.0003487370317 0.014049
7.41518 1661 0.002478223062 0.101001
7.43838 1700 0.002108517033 0.086936
7.46164 1740 0.0004372699699 0.018240
7.48437 1780 -0.002271659387 -0.095841
7.50769 1822 -0.005183735225 -0.221267
7.53048 1864 -0.004748164893 -0.204998
7.55381 1908 -0.003235113840 -0.141312
7.57712 1953 -0.002762840932 -0.122098
7.59990 1998 -0.002204665429 -0.098546
7.62315 2045 0.0001257447111 0.005686
7.64635 2093 0.002203431907 0.100806
7.66950 2142 0.002070725578 0.095837
7.69257 2192 0.0005293864955 0.024785
7.71557 2243 -0.00002152821676 -0.001020
7.73849 2295 -0.0003730020950 -0.017869
7.76174 2349 0.0002909650613 0.014102
7.78489 2404 0.001530723329 0.075052
7.80792 2460 0.001477259601 0.073270
7.83082 2517 -0.0006633338169 -0.033279
7.85399 2576 -0.001761038075 -0.089380
7.87702 2636 -0.001618511188 -0.083098
7.90027 2698 -0.00001603936494 -0.000833
7.92335 2761 0.002452975664 0.128892
7.94626 2825 0.002354279839 0.125132
7.96936 2891 0.000008465512963 0.000455
7.99261 2959 -0.0001110971518 -0.006043
8.01566 3028 0.0008090545916 0.044520
8.03883 3099 0.001303125270 0.072543
8.06180 3171 0.002832492485 0.159502
8.08487 3245 0.002323025082 0.132331
8.10802 3321 0.002615644363 0.150735
8.13094 3398 0.002266020183 0.132092
8.15421 3478 0.0001940450797 0.011444
8.17723 3559 -0.0005533062766 -0.033009
8.20029 3642 -0.0005794166391 -0.034967
8.22336 3727 0.0006784258856 0.041417
8.24643 3814 0.0008649563919 0.053418
8.26950 3903 0.0002385710694 0.014904
8.29255 3994 -0.001453379644 -0.091851
8.31581 4088 -0.001691505154 -0.108151
8.33878 4183 -0.0008656931686 -0.055990
8.36194 4281 0.0001503186706 0.009835
8.38503 4381 0.001062342353 0.070316
8.40805 4483 0.002486867104 0.166509
8.43120 4588 0.002532621880 0.171547
8.45425 4695 0.001812724969 0.124208
8.47741 4805 0.000007426234238 0.000515
8.50045 4917 -0.0006290286247 -0.044108
8.52357 5032 -0.001060463179 -0.075226
8.54656 5149 -0.0005876330495 -0.042167
8.56960 5269 -0.0002159145425 -0.015673
8.59267 5392 -0.001297373972 -0.095266
8.61577 5518 -0.001821419032 -0.135301
8.63888 5647 -0.002064221546 -0.155119
