logY Y P PoverSqrtY
6.90675 999 -1.0956 -0.034664
6.90975 1002 -0.6123 -0.019343
6.91175 1004 -0.5834 -0.018413
6.91374 1006 -0.3808 -0.012005
6.91672 1009 -0.4086 -0.012864
6.91870 1011 -0.4590 -0.014436
6.92067 1013 -0.2245 -0.007054
6.92264 1015 -0.1192 -0.003741
6.92560 1018 -0.0792 -0.002483
6.92756 1020 -0.1891 -0.005920
6.92952 1022 -0.2672 -0.008357
6.93245 1025 -0.9346 -0.029191
6.93440 1027 -0.7700 -0.024027
6.93634 1029 -0.7773 -0.024232
6.93828 1031 -0.6803 -0.021188
6.94119 1034 -0.1822 -0.005666
6.94312 1036 0.0268 0.000832
6.94505 1038 0.0547 0.001697
6.94794 1041 0.0209 0.000646
6.94986 1043 0.1480 0.004582
6.95273 1046 0.3228 0.009981
6.95464 1048 0.3139 0.009697
6.95655 1050 0.2902 0.008955
6.95940 1053 -0.1624 -0.005005
6.96130 1055 -0.0806 -0.002481
6.96319 1057 0.0503 0.001548
6.96602 1060 0.1413 0.004341
6.96791 1062 0.1484 0.004555
6.97073 1065 -0.1788 -0.005478
6.97261 1067 -0.3550 -0.010868
6.97448 1069 -0.2580 -0.007892
6.97728 1072 0.1582 0.004833
6.97915 1074 0.0403 0.001229
6.98193 1077 -0.2718 -0.008281
6.98379 1079 -0.2496 -0.007600
6.98564 1081 -0.4239 -0.012892
6.98841 1084 0.1873 0.005688
6.99026 1086 0.2173 0.006593
6.99302 1089 -0.3028 -0.009175
6.99485 1091 -0.2207 -0.006683
6.99760 1094 -0.2283 -0.006902
6.99942 1096 -0.4389 -0.013258
7.00216 1099 -0.8086 -0.024392
7.00397 1101 -1.0261 -0.030923
7.00670 1104 -1.0405 -0.031314
7.00851 1106 -0.9799 -0.029464
7.01121 1109 -1.1501 -0.034534
7.01302 1111 -0.7864 -0.023593
7.01571 1114 -0.3488 -0.010451
7.01751 1116 -0.4941 -0.014789
7.02019 1119 -0.6309 -0.018861
7.02198 1121 -0.6614 -0.019754
7.02465 1124 -0.5967 -0.017799
7.02643 1126 -0.5708 -0.017011
7.02909 1129 -1.1234 -0.033433
7.03086 1131 -1.3050 -0.038804
7.03351 1134 -0.8421 -0.025007
7.03527 1136 -0.7044 -0.020899
7.03791 1139 -0.6126 -0.018152
7.03966 1141 -0.4645 -0.013750
7.04229 1144 -0.3311 -0.009788
7.04491 1147 -0.4255 -0.012565
7.04665 1149 -0.3891 -0.011478
7.04925 1152 -0.2645 -0.007793
7.05099 1154 -0.2297 -0.006762
7.05359 1157 -0.5678 -0.016692
7.05618 1160 -0.4017 -0.011795
7.05790 1162 -0.2586 -0.007588
7.06048 1165 -0.6084 -0.017825
7.06219 1167 -0.4758 -0.013928
7.06476 1170 -0.3128 -0.009144
7.06732 1173 -0.9840 -0.028731
7.06902 1175 -0.8762 -0.025561
7.07157 1178 -0.8563 -0.024950
7.07412 1181 -1.3376 -0.038922
7.07581 1183 -1.3238 -0.038490
7.07834 1186 -1.1694 -0.033956
7.08087 1189 -1.2953 -0.037564
7.08255 1191 -1.3659 -0.039580
7.08506 1194 -1.2787 -0.037007
7.08757 1197 -1.4201 -0.041046
7.08924 1199 -1.5716 -0.045386
7.09174 1202 -1.6318 -0.047067
7.09423 1205 -2.2244 -0.064080
7.09589 1207 -2.6596 -0.076554
7.09838 1210 -2.4650 -0.070865
7.10085 1213 -2.7765 -0.079719
7.10332 1216 -2.5319 -0.072606
7.10497 1218 -2.5114 -0.071962
7.10743 1221 -3.1307 -0.089596
7.10988 1224 -2.6563 -0.075924
7.11233 1227 -2.9707 -0.084808
7.11396 1229 -3.1937 -0.091099
7.11639 1232 -2.8237 -0.080447
7.11883 1235 -3.1810 -0.090517
7.12125 1238 -2.6350 -0.074888
7.12367 1241 -2.7505 -0.078077
7.12528 1243 -2.8710 -0.081431
7.12769 1246 -2.5839 -0.073202
7.13010 1249 -3.2168 -0.091021
7.13250 1252 -2.8274 -0.079906
7.13489 1255 -3.2929 -0.092952
7.13648 1257 -3.6588 -0.103197
7.13887 1260 -3.2673 -0.092044
7.14125 1263 -3.5283 -0.099280
7.14362 1266 -2.7318 -0.076778
7.14598 1269 -2.7566 -0.077382
7.14835 1272 -2.3963 -0.067189
7.14992 1274 -2.2262 -0.062371
7.15227 1277 -2.6120 -0.073093
7.15462 1280 -2.2233 -0.062143
7.15696 1283 -2.7274 -0.076144
7.15929 1286 -2.7406 -0.076424
7.16162 1289 -2.8016 -0.078033
