logY Y P PoverSqrtY
6.90675 999 0.1409 0.004459
6.90975 1002 -0.1409 -0.004453
6.91175 1004 -0.0422 -0.001333
6.91374 1006 -0.2012 -0.006345
6.91672 1009 -0.2860 -0.009003
6.91870 1011 -0.6499 -0.020440
6.92067 1013 -0.3844 -0.012078
6.92264 1015 -0.4520 -0.014186
6.92560 1018 -0.5669 -0.017767
6.92756 1020 -1.0235 -0.032047
6.92952 1022 -0.8436 -0.026390
6.93245 1025 -0.8260 -0.025801
6.93440 1027 -0.7492 -0.023377
6.93634 1029 -1.0371 -0.032330
6.93828 1031 -0.6957 -0.021666
6.94119 1034 -0.7536 -0.023437
6.94312 1036 -0.7966 -0.024749
6.94505 1038 -1.1679 -0.036250
6.94794 1041 -1.1837 -0.036688
6.94986 1043 -0.9076 -0.028103
6.95273 1046 -0.8412 -0.026010
6.95464 1048 -0.7696 -0.023773
6.95655 1050 -1.0686 -0.032979
6.95940 1053 -1.0872 -0.033505
6.96130 1055 -0.8130 -0.025029
6.96319 1057 -0.8614 -0.026495
6.96602 1060 -0.9188 -0.028221
6.96791 1062 -1.3195 -0.040489
6.97073 1065 -1.1189 -0.034285
6.97261 1067 -0.6181 -0.018921
6.97448 1069 -0.4697 -0.014367
6.97728 1072 -0.2809 -0.008579
6.97915 1074 -0.5230 -0.015958
6.98193 1077 -0.4456 -0.013578
6.98379 1079 -0.1074 -0.003268
6.98564 1081 -0.1371 -0.004170
6.98841 1084 -0.1365 -0.004146
6.99026 1086 -0.3677 -0.011157
6.99302 1089 -0.2845 -0.008622
6.99485 1091 0.0575 0.001742
6.99760 1094 0.0045 0.000137
6.99942 1096 -0.0608 -0.001836
7.00216 1099 -0.2057 -0.006204
7.00397 1101 -0.6823 -0.020563
7.00670 1104 -0.4301 -0.012946
7.00851 1106 0.0426 0.001279
7.01121 1109 0.1820 0.005464
7.01302 1111 0.2684 0.008052
7.01571 1114 0.3880 0.011625
7.01751 1116 0.0877 0.002626
7.02019 1119 0.0672 0.002010
7.02198 1121 0.3533 0.010552
7.02465 1124 0.4514 0.013465
7.02643 1126 0.5499 0.016387
7.02909 1129 0.6316 0.018798
7.03086 1131 0.3117 0.009267
7.03351 1134 0.3740 0.011105
7.03527 1136 0.7084 0.021018
7.03791 1139 0.6400 0.018965
7.03966 1141 0.6589 0.019507
7.04229 1144 0.7838 0.023174
7.04491 1147 0.8247 0.024351
7.04665 1149 0.4719 0.013923
7.04925 1152 0.3728 0.010983
7.05099 1154 0.6734 0.019822
7.05359 1157 0.6030 0.017729
7.05618 1160 0.5272 0.015478
7.05790 1162 0.5602 0.016433
7.06048 1165 0.7102 0.020807
7.06219 1167 0.4332 0.012681
7.06476 1170 0.4476 0.013087
7.06732 1173 0.3863 0.011280
7.06902 1175 0.6326 0.018456
7.07157 1178 0.4320 0.012588
7.07412 1181 0.4440 0.012921
7.07581 1183 0.5187 0.015082
7.07834 1186 0.5880 0.017075
