logY Y P PoverSqrtY
6.90675 999 -1.1311 -0.035786
6.90975 1002 -1.1521 -0.036395
6.91175 1004 -1.1171 -0.035256
6.91374 1006 -1.0749 -0.033891
6.91672 1009 -1.0623 -0.033444
6.91870 1011 -1.1380 -0.035789
6.92067 1013 -1.2281 -0.038587
6.92264 1015 -1.1639 -0.036534
6.92560 1018 -1.0693 -0.033514
6.92756 1020 -1.0677 -0.033430
6.92952 1022 -1.0544 -0.032984
6.93245 1025 -1.1911 -0.037203
6.93440 1027 -1.2245 -0.038208
6.93634 1029 -1.2974 -0.040445
6.93828 1031 -1.2771 -0.039775
6.94119 1034 -1.2620 -0.039245
6.94312 1036 -1.2950 -0.040232
6.94505 1038 -1.4165 -0.043967
6.94794 1041 -1.3169 -0.040816
6.94986 1043 -1.1838 -0.036655
6.95273 1046 -1.0102 -0.031236
6.95464 1048 -1.0120 -0.031259
6.95655 1050 -1.0962 -0.033830
6.95940 1053 -1.0625 -0.032744
6.96130 1055 -1.0398 -0.032014
6.96319 1057 -0.9225 -0.028374
6.96602 1060 -0.7725 -0.023728
6.96791 1062 -0.7239 -0.022212
6.97073 1065 -0.7342 -0.022496
6.97261 1067 -0.7561 -0.023147
6.97448 1069 -0.7742 -0.023678
6.97728 1072 -0.7193 -0.021969
6.97915 1074 -0.7432 -0.022679
6.98193 1077 -0.9231 -0.028127
6.98379 1079 -0.8898 -0.027088
6.98564 1081 -0.9507 -0.028915
6.98841 1084 -0.9272 -0.028161
6.99026 1086 -1.0294 -0.031236
6.99302 1089 -1.3513 -0.040948
6.99485 1091 -1.4010 -0.042417
6.99760 1094 -1.4263 -0.043123
6.99942 1096 -1.2977 -0.039197
7.00216 1099 -1.0728 -0.032362
7.00397 1101 -0.9851 -0.029689
7.00670 1104 -0.9394 -0.028271
7.00851 1106 -0.8864 -0.026653
7.01121 1109 -0.7098 -0.021314
7.01302 1111 -0.5884 -0.017653
7.01571 1114 -0.5828 -0.017461
7.01751 1116 -0.6442 -0.019283
7.02019 1119 -0.5900 -0.017638
7.02198 1121 -0.5649 -0.016872
7.02465 1124 -0.5535 -0.016509
7.02643 1126 -0.6601 -0.019673
7.02909 1129 -0.8907 -0.026508
7.03086 1131 -0.9561 -0.028430
7.03351 1134 -1.1111 -0.032994
7.03527 1136 -1.0829 -0.032129
7.03791 1139 -1.1059 -0.032769
7.03966 1141 -1.2231 -0.036209
7.04229 1144 -1.3417 -0.039670
7.04491 1147 -1.3653 -0.040313
7.04665 1149 -1.3036 -0.038457
7.04925 1152 -1.3359 -0.039359
7.05099 1154 -1.3564 -0.039930
7.05359 1157 -1.2925 -0.037998
7.05618 1160 -1.2673 -0.037209
7.05790 1162 -1.2654 -0.037120
7.06048 1165 -1.4073 -0.041231
7.06219 1167 -1.5087 -0.044162
7.06476 1170 -1.5841 -0.046312
7.06732 1173 -1.5851 -0.046281
7.06902 1175 -1.4393 -0.041988
7.07157 1178 -1.3941 -0.040617
7.07412 1181 -1.5266 -0.044422
7.07581 1183 -1.5441 -0.044893
7.07834 1186 -1.4412 -0.041849
7.08087 1189 -1.2017 -0.034852
7.08255 1191 -1.1412 -0.033067
7.08506 1194 -1.0678 -0.030901
7.08757 1197 -0.9702 -0.028043
7.08924 1199 -0.9181 -0.026515
7.09174 1202 -0.8667 -0.024999
7.09423 1205 -0.9203 -0.026512
7.09589 1207 -1.0388 -0.029899
7.09838 1210 -1.0971 -0.031540
7.10085 1213 -0.9704 -0.027861
7.10332 1216 -0.9067 -0.026002
7.10497 1218 -0.9590 -0.027480
7.10743 1221 -1.1139 -0.031877
7.10988 1224 -1.1712 -0.033477
7.11233 1227 -1.1084 -0.031643
7.11396 1229 -1.1611 -0.033120
7.11639 1232 -1.1755 -0.033489
7.11883 1235 -1.2229 -0.034797
7.12125 1238 -1.2834 -0.036476
7.12367 1241 -1.3246 -0.037600
7.12528 1243 -1.2863 -0.036485
7.12769 1246 -1.3809 -0.039120
7.13010 1249 -1.3853 -0.039199
7.13250 1252 -1.3108 -0.037044
7.13489 1255 -1.3206 -0.037278
7.13648 1257 -1.4039 -0.039598
7.13887 1260 -1.5934 -0.044888
7.14125 1263 -1.6291 -0.045841
7.14362 1266 -1.6103 -0.045258
7.14598 1269 -1.5595 -0.043777
7.14835 1272 -1.5542 -0.043577
7.14992 1274 -1.4570 -0.040821
7.15227 1277 -1.3915 -0.038939
7.15462 1280 -1.2669 -0.035410
7.15696 1283 -1.2187 -0.034023
7.15929 1286 -1.2805 -0.035709
7.16162 1289 -1.2202 -0.033986
7.16395 1292 -1.1307 -0.031457
7.16627 1295 -1.1888 -0.033036
7.16858 1298 -1.4180 -0.039360
7.17089 1301 -1.4450 -0.040062
7.17242 1303 -1.4984 -0.041511
7.17472 1306 -1.5456 -0.042767
7.17702 1309 -1.5693 -0.043375
7.17931 1312 -1.5427 -0.042590
7.18159 1315 -1.5411 -0.042497
7.18387 1318 -1.4133 -0.038929
7.18614 1321 -1.3530 -0.037227
7.18841 1324 -1.4938 -0.041053
7.19068 1327 -1.3157 -0.036117
7.19293 1330 -1.1079 -0.030380
7.19519 1333 -0.9746 -0.026693
7.19744 1336 -1.0440 -0.028563
7.19968 1339 -0.9993 -0.027308
7.20192 1342 -0.9883 -0.026979
7.20415 1345 -0.9031 -0.024625
7.20638 1348 -0.9329 -0.025408
7.20860 1351 -1.0790 -0.029355
7.21082 1354 -1.2368 -0.033611
