logY Y P PoverSqrtY
6.90675 999 -6.3819 -0.201916
6.90975 1002 -6.3484 -0.200552
6.91175 1004 -6.4901 -0.204826
6.91374 1006 -6.6277 -0.208961
6.91672 1009 -6.1733 -0.194346
6.91870 1011 -5.8813 -0.184970
6.92067 1013 -5.9710 -0.187603
6.92264 1015 -6.0370 -0.189492
6.92560 1018 -6.1530 -0.192846
6.92756 1020 -5.8000 -0.181605
6.92952 1022 -5.7412 -0.179587
6.93245 1025 -5.6469 -0.176379
6.93440 1027 -5.7341 -0.178929
6.93634 1029 -5.7620 -0.179624
6.93828 1031 -5.8726 -0.182894
6.94119 1034 -6.0597 -0.188449
6.94312 1036 -6.1098 -0.189823
6.94505 1038 -6.2216 -0.193111
6.94794 1041 -6.2673 -0.194249
6.94986 1043 -6.2606 -0.193854
6.95273 1046 -6.2415 -0.192984
6.95464 1048 -6.3383 -0.195792
6.95655 1050 -6.4502 -0.199056
6.95940 1053 -6.3000 -0.194144
6.96130 1055 -6.2882 -0.193596
6.96319 1057 -6.3298 -0.194694
6.96602 1060 -6.2440 -0.191782
6.96791 1062 -6.1277 -0.188035
6.97073 1065 -5.9158 -0.181274
6.97261 1067 -6.0451 -0.185062
6.97448 1069 -6.1690 -0.188679
6.97728 1072 -6.4863 -0.198107
6.97915 1074 -6.3303 -0.193163
6.98193 1077 -6.0889 -0.185537
6.98379 1079 -6.1103 -0.186016
6.98564 1081 -6.1744 -0.187794
6.98841 1084 -6.4954 -0.197282
6.99026 1086 -6.3352 -0.192241
6.99302 1089 -6.3075 -0.191136
6.99485 1091 -6.4915 -0.196532
6.99760 1094 -6.5743 -0.198766
6.99942 1096 -6.4550 -0.194980
7.00216 1099 -6.3310 -0.190974
7.00397 1101 -6.2971 -0.189778
7.00670 1104 -6.5437 -0.196944
7.00851 1106 -6.8225 -0.205147
7.01121 1109 -6.6802 -0.200596
7.01302 1111 -6.5096 -0.195297
7.01571 1114 -6.5332 -0.195743
7.01751 1116 -6.4830 -0.194062
7.02019 1119 -6.3630 -0.190215
7.02198 1121 -6.3809 -0.190582
7.02465 1124 -6.5557 -0.195541
7.02643 1126 -6.8156 -0.203110
7.02909 1129 -6.9467 -0.206744
7.03086 1131 -6.7038 -0.199338
7.03351 1134 -6.6858 -0.198541
7.03527 1136 -6.8635 -0.203637
7.03791 1139 -6.9235 -0.205145
7.03966 1141 -6.7735 -0.200526
7.04229 1144 -6.7122 -0.198451
7.04491 1147 -6.8518 -0.202312
7.04665 1149 -6.8928 -0.203345
7.04925 1152 -6.7916 -0.200099
7.05099 1154 -6.7424 -0.198477
7.05359 1157 -6.7053 -0.197130
7.05618 1160 -6.9575 -0.204281
7.05790 1162 -6.8941 -0.202242
7.06048 1165 -6.9725 -0.204279
7.06219 1167 -7.0029 -0.204995
7.06476 1170 -7.2488 -0.211921
7.06732 1173 -7.0737 -0.206536
