logY Y P PoverSqrtY
6.90675 999 -0.4276 -0.013529
6.90975 1002 -0.5130 -0.016207
6.91175 1004 -0.3677 -0.011604
6.91374 1006 -0.3323 -0.010478
6.91672 1009 -0.4759 -0.014983
6.91870 1011 -0.5791 -0.018212
6.92067 1013 -0.7838 -0.024627
6.92264 1015 -0.8278 -0.025984
6.92560 1018 -0.5973 -0.018720
6.92756 1020 -0.5647 -0.017680
6.92952 1022 -0.5709 -0.017857
6.93245 1025 -0.7497 -0.023416
6.93440 1027 -0.8526 -0.026604
6.93634 1029 -0.8039 -0.025059
6.93828 1031 -0.6708 -0.020891
6.94119 1034 -0.4444 -0.013820
6.94312 1036 -0.4062 -0.012619
6.94505 1038 -0.4556 -0.014142
6.94794 1041 -0.5838 -0.018095
6.94986 1043 -0.5905 -0.018285
6.95273 1046 -0.5966 -0.018446
6.95464 1048 -0.7124 -0.022006
6.95655 1050 -0.7993 -0.024667
6.95940 1053 -1.0154 -0.031290
6.96130 1055 -1.0131 -0.031191
6.96319 1057 -0.9838 -0.030262
6.96602 1060 -0.8936 -0.027446
6.96791 1062 -0.7818 -0.023989
6.97073 1065 -0.7891 -0.024179
6.97261 1067 -0.6251 -0.019135
6.97448 1069 -0.4004 -0.012246
6.97728 1072 -0.2677 -0.008177
6.97915 1074 -0.3182 -0.009709
6.98193 1077 -0.5354 -0.016313
6.98379 1079 -0.5688 -0.017316
6.98564 1081 -0.5360 -0.016304
6.98841 1084 -0.4420 -0.013425
6.99026 1086 -0.4729 -0.014349
6.99302 1089 -0.6088 -0.018447
6.99485 1091 -0.6848 -0.020731
6.99760 1094 -0.6843 -0.020688
6.99942 1096 -0.5449 -0.016459
7.00216 1099 -0.4746 -0.014316
7.00397 1101 -0.4237 -0.012769
7.00670 1104 -0.5553 -0.016714
7.00851 1106 -0.6263 -0.018832
7.01121 1109 -0.6375 -0.019144
7.01302 1111 -0.7259 -0.021778
7.01571 1114 -0.8822 -0.026431
7.01751 1116 -1.0978 -0.032861
7.02019 1119 -1.0088 -0.030158
7.02198 1121 -0.7965 -0.023789
7.02465 1124 -0.6789 -0.020251
7.02643 1126 -0.7369 -0.021959
7.02909 1129 -0.8371 -0.024912
7.03086 1131 -0.8760 -0.026047
7.03351 1134 -0.7230 -0.021469
7.03527 1136 -0.6099 -0.018096
7.03791 1139 -0.6036 -0.017884
7.03966 1141 -0.7024 -0.020794
7.04229 1144 -0.9735 -0.028782
7.04491 1147 -0.9077 -0.026803
7.04665 1149 -0.8087 -0.023856
7.04925 1152 -0.6502 -0.019157
7.05099 1154 -0.6454 -0.018999
7.05359 1157 -0.7631 -0.022434
7.05618 1160 -0.7679 -0.022546
7.05790 1162 -0.8046 -0.023604
7.06048 1165 -0.8068 -0.023638
7.06219 1167 -0.9249 -0.027076
7.06476 1170 -0.9572 -0.027983
7.06732 1173 -0.8129 -0.023736
7.06902 1175 -0.7362 -0.021478
7.07157 1178 -0.6743 -0.019648
7.07412 1181 -0.6567 -0.019110
7.07581 1183 -0.6369 -0.018517
7.07834 1186 -0.4195 -0.012181
7.08087 1189 -0.2992 -0.008678
7.08255 1191 -0.3336 -0.009666
7.08506 1194 -0.5913 -0.017113
7.08757 1197 -0.8758 -0.025313
7.08924 1199 -0.9058 -0.026160
7.09174 1202 -0.9562 -0.027581
7.09423 1205 -0.9985 -0.028765
7.09589 1207 -1.0411 -0.029966
7.09838 1210 -1.1531 -0.033149
7.10085 1213 -1.1128 -0.031951
7.10332 1216 -1.0213 -0.029289
7.10497 1218 -1.0930 -0.031319
7.10743 1221 -1.1781 -0.033715
7.10988 1224 -1.0864 -0.031053
7.11233 1227 -1.0510 -0.030005
7.11396 1229 -1.1289 -0.032201
7.11639 1232 -1.3034 -0.037133
7.11883 1235 -1.3936 -0.039655
7.12125 1238 -1.1318 -0.032166
7.12367 1241 -0.9476 -0.026899
7.12528 1243 -0.8931 -0.025332
7.12769 1246 -0.9809 -0.027788
7.13010 1249 -0.9662 -0.027339
7.13250 1252 -0.8141 -0.023009
7.13489 1255 -0.7164 -0.020224
7.13648 1257 -0.7855 -0.022156
7.13887 1260 -1.0295 -0.029002
7.14125 1263 -1.0082 -0.028368
7.14362 1266 -0.8066 -0.022670
7.14598 1269 -0.7233 -0.020303
7.14835 1272 -0.6824 -0.019132
7.14992 1274 -0.6835 -0.019149
7.15227 1277 -0.5298 -0.014825
7.15462 1280 -0.4560 -0.012747
7.15696 1283 -0.3886 -0.010848
7.15929 1286 -0.4738 -0.013212
7.16162 1289 -0.3026 -0.008428
7.16395 1292 -0.0814 -0.002264
7.16627 1295 0.0572 0.001589
7.16858 1298 -0.0226 -0.000628
7.17089 1301 -0.0120 -0.000332
7.17242 1303 0.0881 0.002442
7.17472 1306 0.2595 0.007182
7.17702 1309 0.1918 0.005302
7.17931 1312 -0.0851 -0.002348
7.18159 1315 -0.2278 -0.006282
7.18387 1318 -0.2066 -0.005689
7.18614 1321 -0.1977 -0.005440
7.18841 1324 -0.1224 -0.003363
7.19068 1327 -0.0827 -0.002271
7.19293 1330 0.0162 0.000443
7.19519 1333 -0.0198 -0.000544
7.19744 1336 -0.1002 -0.002743
7.19968 1339 -0.2087 -0.005704
7.20192 1342 -0.1875 -0.005119
7.20415 1345 -0.2702 -0.007369
7.20638 1348 -0.5180 -0.014108
7.20860 1351 -0.6212 -0.016900
7.21082 1354 -0.4786 -0.013007
7.21303 1357 -0.1580 -0.004290
7.21524 1360 -0.0782 -0.002121
7.21744 1363 -0.2201 -0.005963
7.22037 1367 -0.2927 -0.007917
7.22257 1370 -0.1951 -0.005271
7.22475 1373 -0.2037 -0.005497
7.22694 1376 -0.3129 -0.008436
7.22911 1379 -0.3892 -0.010479
7.23129 1382 -0.2785 -0.007492
7.23346 1385 -0.2450 -0.006584
7.23562 1388 -0.2223 -0.005966
7.23778 1391 -0.1548 -0.004151
7.23993 1394 0.0741 0.001986
7.24280 1398 0.1371 0.003668
7.24494 1401 -0.0366 -0.000977
