logY Y P PoverSqrtY
6.90675 999 0.1712 0.005417
6.90975 1002 0.1274 0.004025
6.91175 1004 0.2313 0.007300
6.91374 1006 0.2388 0.007530
6.91672 1009 0.0961 0.003027
6.91870 1011 -0.0017 -0.000053
6.92067 1013 0.0248 0.000780
6.92264 1015 0.1755 0.005510
6.92560 1018 0.2580 0.008086
6.92756 1020 0.1983 0.006208
6.92952 1022 0.0397 0.001243
6.93245 1025 0.0596 0.001861
6.93440 1027 0.0821 0.002560
6.93634 1029 0.0517 0.001611
6.93828 1031 -0.0479 -0.001493
6.94119 1034 -0.2180 -0.006779
6.94312 1036 -0.1639 -0.005092
6.94505 1038 -0.0254 -0.000788
6.94794 1041 0.0980 0.003037
6.94986 1043 0.0349 0.001081
6.95273 1046 -0.0549 -0.001698
6.95464 1048 0.0546 0.001685
6.95655 1050 0.0868 0.002679
6.95940 1053 0.0479 0.001477
6.96130 1055 -0.0824 -0.002538
6.96319 1057 -0.0842 -0.002591
6.96602 1060 0.0633 0.001946
6.96791 1062 0.1264 0.003880
6.97073 1065 0.0918 0.002813
6.97261 1067 0.1160 0.003553
6.97448 1069 0.2421 0.007406
6.97728 1072 0.3998 0.012212
6.97915 1074 0.4475 0.013656
6.98193 1077 0.3172 0.009664
6.98379 1079 0.3016 0.009183
6.98564 1081 0.5416 0.016474
6.98841 1084 0.8123 0.024673
6.99026 1086 0.9583 0.029079
6.99302 1089 1.0657 0.032293
6.99485 1091 1.2041 0.036455
6.99760 1094 1.3303 0.040219
6.99942 1096 1.3316 0.040223
7.00216 1099 1.1711 0.035325
7.00397 1101 1.1258 0.033929
7.00670 1104 1.3174 0.039648
7.00851 1106 1.3337 0.040104
7.01121 1109 1.2695 0.038122
7.01302 1111 1.2460 0.037383
7.01571 1114 1.3181 0.039493
7.01751 1116 1.3176 0.039442
7.02019 1119 1.2031 0.035966
7.02198 1121 1.0215 0.030510
7.02465 1124 1.0092 0.030101
7.02643 1126 1.1074 0.033002
7.02909 1129 1.1321 0.033694
7.03086 1131 1.0923 0.032479
7.03351 1134 1.0401 0.030887
7.03527 1136 1.1500 0.034120
7.03791 1139 1.2059 0.035731
7.03966 1141 1.1819 0.034989
7.04229 1144 1.0489 0.031011
7.04491 1147 1.0424 0.030779
7.04665 1149 1.0085 0.029753
7.04925 1152 0.8280 0.024396
7.05099 1154 0.7024 0.020677
7.05359 1157 0.7788 0.022897
7.05618 1160 0.9302 0.027311
7.05790 1162 0.9235 0.027091
7.06048 1165 0.7384 0.021634
7.06219 1167 0.6974 0.020414
7.06476 1170 0.8032 0.023482
7.06732 1173 0.7498 0.021892
7.06902 1175 0.6458 0.018839
7.07157 1178 0.6385 0.018603
7.07412 1181 0.7958 0.023158
7.07581 1183 0.8344 0.024261
7.07834 1186 0.7944 0.023069
7.08087 1189 0.6960 0.020183
7.08255 1191 0.7256 0.021026
7.08506 1194 0.5567 0.016112
7.08757 1197 0.3812 0.011018
7.08924 1199 0.3147 0.009087
7.09174 1202 0.4119 0.011880
7.09423 1205 0.4321 0.012448
7.09589 1207 0.3109 0.008949
7.09838 1210 0.1282 0.003686
7.10085 1213 0.2260 0.006488
7.10332 1216 0.2729 0.007825
7.10497 1218 0.2134 0.006115
7.10743 1221 0.0695 0.001990
7.10988 1224 0.1708 0.004881
7.11233 1227 0.2091 0.005969
7.11396 1229 0.1341 0.003824
7.11639 1232 0.0376 0.001070
7.11883 1235 0.1699 0.004835
7.12125 1238 0.1440 0.004093
7.12367 1241 -0.0336 -0.000953
7.12528 1243 -0.0970 -0.002752
7.12769 1246 0.0648 0.001835
7.13010 1249 0.1630 0.004611
7.13250 1252 0.1334 0.003769
7.13489 1255 0.1222 0.003449
7.13648 1257 0.2726 0.007690
7.13887 1260 0.3061 0.008625
7.14125 1263 0.1459 0.004106
7.14362 1266 0.0408 0.001146
7.14598 1269 0.1532 0.004300
7.14835 1272 0.2233 0.006262
7.14992 1274 0.1292 0.003619
7.15227 1277 -0.0084 -0.000235
7.15462 1280 -0.0377 -0.001055
7.15696 1283 -0.2933 -0.008189
7.15929 1286 -0.5790 -0.016147
7.16162 1289 -0.4602 -0.012819
7.16395 1292 -0.2438 -0.006783
7.16627 1295 -0.1723 -0.004789
7.16858 1298 -0.2032 -0.005639
7.17089 1301 -0.0031 -0.000085
7.17242 1303 0.0596 0.001652
7.17472 1306 -0.0291 -0.000806
7.17702 1309 -0.2212 -0.006114
7.17931 1312 -0.1722 -0.004754
7.18159 1315 -0.0336 -0.000926
7.18387 1318 -0.0593 -0.001634
7.18614 1321 -0.0778 -0.002142
7.18841 1324 0.0731 0.002008
7.19068 1327 -0.0029 -0.000080
7.19293 1330 -0.2298 -0.006301
7.19519 1333 -0.2275 -0.006230
7.19744 1336 -0.1611 -0.004407
7.19968 1339 -0.1180 -0.003224
7.20192 1342 -0.1906 -0.005203
7.20415 1345 0.0298 0.000813
7.20638 1348 0.1236 0.003367
7.20860 1351 -0.0446 -0.001215
7.21082 1354 -0.2573 -0.006992
7.21303 1357 -0.1819 -0.004939
7.21524 1360 -0.1678 -0.004551
7.21744 1363 -0.2415 -0.006542
7.22037 1367 -0.1256 -0.003396
7.22257 1370 -0.1462 -0.003951
7.22475 1373 -0.2558 -0.006902
7.22694 1376 -0.3643 -0.009820
7.22911 1379 -0.2927 -0.007882
7.23129 1382 -0.2337 -0.006286
7.23346 1385 -0.2956 -0.007942
7.23562 1388 -0.0618 -0.001660
7.23778 1391 0.1334 0.003577
7.23993 1394 0.1398 0.003743
7.24280 1398 0.0792 0.002117
7.24494 1401 0.2915 0.007788
7.24708 1404 0.4091 0.010918
7.24922 1407 0.3512 0.009362
7.25134 1410 0.4607 0.012269
7.25347 1413 0.5008 0.013324
7.25630 1417 0.3445 0.009153
7.25841 1420 0.2933 0.007783
7.26052 1423 0.4101 0.010872
7.26263 1426 0.4470 0.011837
7.26473 1429 0.3728 0.009862
7.26753 1433 0.6874 0.018159
7.26962 1436 0.8338 0.022004
7.27170 1439 0.7264 0.019149
7.27379 1442 0.5533 0.014569
7.27656 1446 0.6053 0.015917
7.27863 1449 0.4661 0.012245
7.28070 1452 0.2957 0.007760
7.28276 1455 0.4528 0.011872
7.28551 1459 0.5593 0.014642
7.28756 1462 0.4581 0.011982
7.28961 1465 0.4759 0.012433
7.29234 1469 0.4458 0.011632
7.29438 1472 0.2754 0.007177
7.29641 1475 0.3138 0.008171
7.29845 1478 0.5649 0.014695
7.30115 1482 0.4940 0.012831
7.30317 1485 0.2774 0.007198
7.30519 1488 0.2871 0.007442
7.30787 1492 0.1716 0.004443
7.30988 1495 -0.0757 -0.001959
7.31255 1499 0.0775 0.002002
7.31455 1502 0.1846 0.004763
7.31655 1505 0.2143 0.005525
