logY Y P PoverSqrtY
6.90675 999 -1.6002 -0.050627
6.90975 1002 -1.6432 -0.051912
6.91175 1004 -1.5715 -0.049597
6.91374 1006 -1.6032 -0.050547
6.91672 1009 -1.6072 -0.050597
6.91870 1011 -1.5887 -0.049965
6.92067 1013 -1.4739 -0.046307
6.92264 1015 -1.3341 -0.041874
6.92560 1018 -1.4186 -0.044460
6.92756 1020 -1.5941 -0.049913
6.92952 1022 -1.7723 -0.055440
6.93245 1025 -1.5560 -0.048601
6.93440 1027 -1.4086 -0.043955
6.93634 1029 -1.3699 -0.042706
6.93828 1031 -1.4297 -0.044526
6.94119 1034 -1.5685 -0.048778
6.94312 1036 -1.4753 -0.045836
6.94505 1038 -1.3376 -0.041517
6.94794 1041 -1.4080 -0.043640
6.94986 1043 -1.6282 -0.050416
6.95273 1046 -1.8030 -0.055747
6.95464 1048 -1.7147 -0.052967
6.95655 1050 -1.5753 -0.048615
6.95940 1053 -1.5482 -0.047711
6.96130 1055 -1.6409 -0.050518
6.96319 1057 -1.7086 -0.052553
6.96602 1060 -1.5512 -0.047643
6.96791 1062 -1.4896 -0.045709
6.97073 1065 -1.5529 -0.047586
6.97261 1067 -1.6491 -0.050485
6.97448 1069 -1.6005 -0.048953
6.97728 1072 -1.6008 -0.048891
6.97915 1074 -1.6073 -0.049045
6.98193 1077 -1.6747 -0.051032
6.98379 1079 -1.7273 -0.052585
6.98564 1081 -1.6905 -0.051415
6.98841 1084 -1.8247 -0.055421
6.99026 1086 -1.9012 -0.057691
6.99302 1089 -2.0093 -0.060889
6.99485 1091 -1.9566 -0.059235
6.99760 1094 -1.9453 -0.058814
6.99942 1096 -2.0846 -0.062968
7.00216 1099 -2.3596 -0.071176
7.00397 1101 -2.3787 -0.071687
7.00670 1104 -2.2346 -0.067252
7.00851 1106 -2.2023 -0.066220
7.01121 1109 -2.3626 -0.070944
7.01302 1111 -2.4875 -0.074628
7.01571 1114 -2.3694 -0.070989
7.01751 1116 -2.2151 -0.066307
7.02019 1119 -2.1760 -0.065051
7.02198 1121 -2.2699 -0.067797
7.02465 1124 -2.2091 -0.065893
7.02643 1126 -2.1111 -0.062913
7.02909 1129 -1.9535 -0.058139
7.03086 1131 -2.0370 -0.060569
7.03351 1134 -2.2649 -0.067257
7.03527 1136 -2.3701 -0.070319
7.03791 1139 -2.3638 -0.070039
7.03966 1141 -2.3652 -0.070020
7.04229 1144 -2.3187 -0.068554
7.04491 1147 -2.1393 -0.063168
7.04665 1149 -2.1553 -0.063583
7.04925 1152 -2.2043 -0.064944
7.05099 1154 -2.1702 -0.063885
7.05359 1157 -1.9397 -0.057024
7.05618 1160 -1.7740 -0.052087
7.05790 1162 -1.7897 -0.052503
7.06048 1165 -1.8328 -0.053698
7.06219 1167 -1.6495 -0.048286
7.06476 1170 -1.3862 -0.040527
7.06732 1173 -1.4711 -0.042952
7.06902 1175 -1.7238 -0.050287
7.07157 1178 -1.9023 -0.055426
7.07412 1181 -1.7614 -0.051256
7.07581 1183 -1.8198 -0.052909
7.07834 1186 -2.1145 -0.061399
7.08087 1189 -2.3559 -0.068322
7.08255 1191 -2.3055 -0.066805
7.08506 1194 -2.1742 -0.062921
7.08757 1197 -2.3529 -0.068007
7.08924 1199 -2.5399 -0.073351
7.09174 1202 -2.5588 -0.073805
7.09423 1205 -2.5217 -0.072643
7.09589 1207 -2.4768 -0.071290
7.09838 1210 -2.6059 -0.074914
7.10085 1213 -2.5112 -0.072103
7.10332 1216 -2.4119 -0.069167
7.10497 1218 -2.3656 -0.067783
7.10743 1221 -2.3315 -0.066724
7.10988 1224 -2.2252 -0.063602
7.11233 1227 -2.3609 -0.067400
7.11396 1229 -2.4196 -0.069019
7.11639 1232 -2.4224 -0.069013
7.11883 1235 -2.1978 -0.062539
7.12125 1238 -2.1233 -0.060346
7.12367 1241 -2.3080 -0.065517
7.12528 1243 -2.4129 -0.068438
7.12769 1246 -2.2688 -0.064275
7.13010 1249 -2.2647 -0.064081
7.13250 1252 -2.5175 -0.071150
7.13489 1255 -2.6267 -0.074146
7.13648 1257 -2.4539 -0.069213
7.13887 1260 -2.2910 -0.064540
7.14125 1263 -2.4335 -0.068475
