logY Y P PoverSqrtY
6.90675 999 -9.0004 -0.284762
6.90875 1001 -9.0004 -0.284477
6.91075 1003 -9.0004 -0.284193
6.91274 1005 -9.0004 -0.283910
6.91374 1006 -9.0004 -0.283769
6.91572 1008 -9.0004 -0.283487
6.91771 1010 -9.0969 -0.286243
6.91870 1011 -9.0969 -0.286101
6.92067 1013 -9.0969 -0.285818
6.92264 1015 -9.0969 -0.285537
6.92461 1017 -9.0969 -0.285256
6.92560 1018 -9.0969 -0.285116
6.92756 1020 -9.0969 -0.284836
6.92952 1022 -9.4489 -0.295568
6.93049 1023 -9.4489 -0.295424
6.93245 1025 -9.4489 -0.295135
6.93440 1027 -5.9309 -0.185069
6.93634 1029 -5.9309 -0.184889
6.93731 1030 -5.9309 -0.184799
6.93925 1032 -5.9309 -0.184620
6.94119 1034 -7.3759 -0.229380
6.94312 1036 -7.3759 -0.229159
6.94409 1037 -7.3759 -0.229048
6.94601 1039 -7.6322 -0.236779
6.94794 1041 -7.6322 -0.236551
6.94986 1043 -7.6322 -0.236325
6.95081 1044 -7.6322 -0.236211
6.95273 1046 -7.6322 -0.235985
6.95464 1048 -7.6322 -0.235760
6.95655 1050 -7.6322 -0.235535
6.95750 1051 -8.7406 -0.269611
6.95940 1053 -8.7406 -0.269355
6.96130 1055 -8.7406 -0.269100
6.96319 1057 -5.1437 -0.158212
6.96508 1059 -5.1437 -0.158062
6.96602 1060 -5.1437 -0.157988
6.96791 1062 -5.1437 -0.157839
6.96979 1064 -6.3567 -0.194878
6.97167 1066 -6.3567 -0.194695
6.97354 1068 -6.3567 -0.194513
6.97448 1069 -5.3046 -0.162242
6.97635 1071 -5.3046 -0.162091
6.97821 1073 -5.3046 -0.161940
6.98008 1075 -5.3046 -0.161789
6.98193 1077 -5.3046 -0.161639
6.98286 1078 -5.3046 -0.161564
6.98472 1080 -5.3046 -0.161414
6.98657 1082 -5.3046 -0.161265
6.98841 1084 -5.3046 -0.161116
6.99026 1086 -5.3046 -0.160967
6.99210 1088 -7.2775 -0.220632
6.99302 1089 -7.2775 -0.220531
6.99485 1091 -7.2775 -0.220329
6.99668 1093 -7.6179 -0.230423
6.99851 1095 -7.6179 -0.230212
7.00033 1097 -7.6179 -0.230002
7.00216 1099 -9.4406 -0.284775
7.00307 1100 -9.4406 -0.284645
7.00488 1102 -9.4406 -0.284387
7.00670 1104 -9.4406 -0.284129
7.00851 1106 -9.4406 -0.283872
7.01031 1108 -9.4406 -0.283616
7.01212 1110 -9.4406 -0.283360
