logY Y P PoverSqrtY
6.90675 999 -5.2528 -0.166191
6.90776 1000 -5.1983 -0.164386
6.90875 1001 -5.2269 -0.165206
6.90875 1001 -5.2269 -0.165206
6.90975 1002 -5.1691 -0.163298
6.90975 1002 -5.1691 -0.163298
6.91075 1003 -5.2003 -0.164201
6.91075 1003 -5.2003 -0.164201
6.91175 1004 -5.3314 -0.168257
6.91274 1005 -5.2835 -0.166663
6.91274 1005 -5.2835 -0.166663
6.91374 1006 -5.3471 -0.168585
6.91374 1006 -5.3471 -0.168585
6.91473 1007 -5.3243 -0.167783
6.91473 1007 -5.3243 -0.167783
6.91572 1008 -5.3907 -0.169793
6.91672 1009 -5.5668 -0.175250
6.91672 1009 -5.5668 -0.175250
6.91771 1010 -5.6565 -0.177986
6.91771 1010 -5.6565 -0.177986
6.91870 1011 -5.8252 -0.183203
6.91870 1011 -5.8252 -0.183203
6.91968 1012 -5.6460 -0.177480
6.92067 1013 -5.5216 -0.173485
6.92067 1013 -5.5216 -0.173485
6.92166 1014 -5.5056 -0.172898
6.92166 1014 -5.5056 -0.172898
6.92264 1015 -5.3269 -0.167203
6.92264 1015 -5.3269 -0.167203
6.92363 1016 -5.2454 -0.164564
6.92461 1017 -5.0776 -0.159221
6.92461 1017 -5.0776 -0.159221
6.92560 1018 -4.9465 -0.155034
6.92560 1018 -4.9465 -0.155034
6.92658 1019 -4.9234 -0.154233
6.92658 1019 -4.9234 -0.154233
6.92756 1020 -4.8139 -0.150730
6.92854 1021 -4.7836 -0.149706
6.92854 1021 -4.7836 -0.149706
6.92952 1022 -4.6669 -0.145982
6.92952 1022 -4.6669 -0.145982
6.93049 1023 -4.6555 -0.145555
6.93049 1023 -4.6555 -0.145555
6.93147 1024 -4.7474 -0.148356
6.93245 1025 -4.6136 -0.144103
6.93245 1025 -4.6136 -0.144103
6.93342 1026 -4.5875 -0.143218
6.93342 1026 -4.5875 -0.143218
6.93440 1027 -4.4750 -0.139639
6.93440 1027 -4.4750 -0.139639
6.93537 1028 -4.4762 -0.139609
6.93634 1029 -4.5322 -0.141287
6.93634 1029 -4.5322 -0.141287
6.93731 1030 -4.4312 -0.138072
6.93731 1030 -4.4312 -0.138072
6.93828 1031 -4.3562 -0.135669
6.93828 1031 -4.3562 -0.135669
6.93925 1032 -4.1949 -0.130581
