logY Y P PoverSqrtY A AoverSqrtY
6.90776 1000 56.3375 1.781548 0.043597 0.001379
6.90975 1002 56.3113 1.778942 0.027496 0.000869
6.91175 1004 56.4943 1.782945 0.042154 0.001330
6.91374 1006 56.4923 1.781108 -0.080617 -0.002542
6.91473 1007 56.4117 1.777683 0.118964 0.003749
6.91672 1009 56.7372 1.786169 0.169166 0.005326
6.91870 1011 56.9622 1.791477 -0.057559 -0.001810
6.92067 1013 56.9399 1.789006 0.134345 0.004221
6.92264 1015 57.1044 1.792406 -0.080528 -0.002528
6.92461 1017 56.9146 1.784692 -0.016363 -0.000513
6.92658 1019 57.0085 1.785881 0.073832 0.002313
6.92854 1021 57.0537 1.785545 -0.138704 -0.004341
6.93049 1023 56.9552 1.780720 0.133426 0.004172
6.93147 1024 57.0886 1.784020 0.078883 0.002465
6.93342 1026 57.1350 1.783727 -0.131460 -0.004104
6.93537 1028 57.0001 1.777784 0.088469 0.002759
6.93731 1030 57.0636 1.778038 -0.090528 -0.002821
6.93925 1032 56.7692 1.767149 0.074147 0.002308
6.94119 1034 57.0757 1.774970 0.157032 0.004883
6.94312 1036 57.3533 1.781881 0.007211 0.000224
6.94505 1038 57.4789 1.784062 0.208535 0.006473
6.94698 1040 57.7826 1.791763 -0.016596 -0.000515
6.94890 1042 57.6949 1.787325 0.047908 0.001484
6.95081 1044 57.9173 1.792496 0.065048 0.002013
6.95273 1046 58.0236 1.794067 -0.066980 -0.002071
6.95368 1047 57.9566 1.791140 0.019644 0.000607
6.95559 1049 58.2003 1.796957 0.123442 0.003811
6.95750 1051 58.3927 1.801179 -0.044489 -0.001372
6.95940 1053 58.3946 1.799528 0.133084 0.004101
6.96130 1055 58.5474 1.802526 -0.093671 -0.002884
6.96319 1057 58.2812 1.792631 0.003310 0.000102
6.96508 1059 58.5428 1.798978 0.152262 0.004679
6.96697 1061 58.7349 1.803178 0.039565 0.001215
6.96885 1063 58.9007 1.806565 0.212806 0.006527
6.97073 1065 59.2141 1.814471 -0.009631 -0.000295
6.97261 1067 59.0814 1.808709 0.074851 0.002291
6.97448 1069 59.3847 1.816293 0.114131 0.003491
6.97635 1071 59.4996 1.818107 -0.025780 -0.000788
6.97821 1073 59.5365 1.817539 0.147458 0.004502
6.98008 1075 59.7950 1.823730 0.083467 0.002546
6.98193 1077 59.8528 1.823798 0.068871 0.002099
6.98379 1079 60.0772 1.828937 0.069129 0.002104
6.98564 1081 60.1021 1.828001 -0.157640 -0.004795
6.98749 1083 59.9134 1.820580 0.078232 0.002377
6.98934 1085 60.1051 1.824721 0.034580 0.001050
6.99118 1087 60.0622 1.821742 0.130469 0.003957
6.99302 1089 60.4098 1.830600 0.114009 0.003455
6.99485 1091 60.5791 1.834046 -0.058115 -0.001759
6.99668 1093 60.6210 1.833634 0.225704 0.006827
6.99851 1095 60.9590 1.842174 -0.001068 -0.000032
7.00033 1097 60.8444 1.837034 0.064467 0.001946
7.00216 1099 61.0892 1.842746 0.066959 0.002020
7.00397 1101 61.1866 1.844009 -0.011336 -0.000342
7.00579 1103 61.2641 1.844667 0.175372 0.005280
7.00760 1105 61.5321 1.851059 -0.018852 -0.000567
7.00941 1107 61.3810 1.844845 -0.005641 -0.000170
7.01212 1110 61.5026 1.846002 0.008965 0.000269
7.01392 1112 61.4072 1.841478 -0.017827 -0.000535
7.01571 1114 61.5589 1.844370 0.090636 0.002716
7.01751 1116 61.6356 1.845014 -0.074671 -0.002235
7.01930 1118 61.5738 1.841513 0.221873 0.006636
7.02108 1120 61.9386 1.850770 0.031870 0.000952
7.02287 1122 61.8988 1.847932 0.031414 0.000938
7.02465 1124 62.1651 1.854229 0.121418 0.003622
7.02643 1126 62.2945 1.856439 0.034895 0.001040
7.02820 1128 62.4598 1.859713 0.221058 0.006582
7.02997 1130 62.7894 1.867872 -0.004006 -0.000119
7.03174 1132 62.6738 1.862784 0.014976 0.000445
7.03439 1135 62.8000 1.864067 -0.054723 -0.001624
7.03615 1137 62.6744 1.858702 0.015721 0.000466
7.03791 1139 62.7924 1.860567 0.092112 0.002729
7.03966 1141 62.8632 1.861033 -0.089812 -0.002659
7.04141 1143 62.7826 1.857018 0.277240 0.008200
7.04316 1145 63.2254 1.868482 0.059292 0.001752
7.04491 1147 63.2306 1.867006 0.032487 0.000959
7.04665 1149 63.4513 1.871890 0.151711 0.004476
7.04925 1152 63.5662 1.872837 0.179830 0.005298
7.05099 1154 64.0458 1.885331 0.188611 0.005552
7.05272 1156 64.3096 1.891458 -0.038197 -0.001123
7.05445 1158 64.3933 1.892284 0.211488 0.006215
7.05618 1160 64.7058 1.899828 0.046466 0.001364
7.05790 1162 64.6853 1.897592 0.111960 0.003284
7.05962 1164 64.9959 1.905062 0.086089 0.002523
7.06219 1167 65.0786 1.905035 0.031960 0.000936
7.06390 1169 65.2789 1.909261 0.113666 0.003324
7.06561 1171 65.4092 1.911438 -0.096760 -0.002828
7.06732 1173 65.3436 1.907894 0.117800 0.003439
7.06902 1175 65.4658 1.909834 -0.032097 -0.000936
7.07072 1177 65.2882 1.903034 0.058639 0.001709
7.07327 1180 65.7810 1.914959 0.071352 0.002077
7.07496 1182 65.8111 1.914215 0.092531 0.002691
7.07665 1184 66.0881 1.920648 0.071068 0.002065
7.07834 1186 66.1169 1.919862 -0.085449 -0.002481
7.08003 1188 66.0326 1.915799 0.180036 0.005223
7.08255 1191 66.2989 1.921102 -0.023653 -0.000685
7.08423 1193 66.3390 1.920652 0.197519 0.005719
7.08590 1195 66.6829 1.928993 0.046670 0.001350
7.08757 1197 66.6941 1.927703 0.051083 0.001476
7.08924 1199 66.9121 1.932391 0.053521 0.001546
7.09174 1202 66.8532 1.928280 0.042180 0.001217
7.09340 1204 67.0948 1.933639 0.162858 0.004693
7.09506 1206 67.3087 1.938196 -0.029496 -0.000849
7.09672 1208 67.3763 1.938536 0.183665 0.005284
7.09920 1211 67.6198 1.943131 -0.081376 -0.002338
7.10085 1213 67.5580 1.939752 0.105268 0.003022
7.10250 1215 67.7468 1.943571 -0.002872 -0.000082
7.10414 1217 67.6299 1.938624 0.064107 0.001838
7.10661 1220 67.9620 1.945746 0.022664 0.000649
7.10824 1222 67.9183 1.942903 0.032091 0.000918
7.10988 1224 68.0742 1.945772 0.012179 0.000348
7.11233 1227 67.7725 1.934777 0.003891 0.000111
7.11396 1229 67.9565 1.938451 0.068215 0.001946
7.11558 1231 68.0935 1.940783 -0.028181 -0.000803
7.11721 1233 68.1766 1.941572 0.197777 0.005632
7.11964 1236 68.4689 1.947529 -0.098924 -0.002814
7.12125 1238 68.4290 1.944821 0.144815 0.004116
7.12287 1240 68.6451 1.949389 0.034770 0.000987
7.12528 1243 68.6334 1.946703 0.252516 0.007162
7.12689 1245 69.0250 1.956237 0.084485 0.002394
7.12850 1247 69.0805 1.956240 0.057630 0.001632
7.13010 1249 69.2898 1.960595 0.056273 0.001592
7.13250 1252 69.1200 1.953445 -0.045508 -0.001286
7.13409 1254 69.2160 1.954599 0.093753 0.002648
7.13569 1256 69.2901 1.955132 -0.056181 -0.001585
7.13807 1259 69.4719 1.957925 0.088635 0.002498
7.13966 1261 69.5402 1.958295 -0.133726 -0.003766
7.14125 1263 69.4627 1.954566 0.148295 0.004173
7.14362 1266 69.6922 1.958698 -0.052634 -0.001479
7.14520 1268 69.6802 1.956815 0.184743 0.005188
7.14756 1271 70.0929 1.966081 0.017111 0.000480
7.14913 1273 70.2137 1.967921 0.190248 0.005332
7.15070 1275 70.4808 1.973857 -0.027440 -0.000768
7.15305 1278 70.2641 1.965476 0.037379 0.001046
7.15462 1280 70.3657 1.966780 -0.011361 -0.000318
7.15618 1282 70.2295 1.961443 0.106830 0.002984
7.15851 1285 70.6424 1.970669 -0.014727 -0.000411
7.16007 1287 70.5050 1.965308 -0.019633 -0.000547
7.16240 1290 70.7646 1.970249 -0.017430 -0.000485
7.16395 1292 70.6221 1.964758 0.077094 0.002145
7.16549 1294 70.9464 1.972257 0.133848 0.003721
7.16781 1297 71.2634 1.978775 0.159366 0.004425
7.16935 1299 71.6687 1.988497 0.132492 0.003676
7.17166 1302 71.7712 1.989047 0.058210 0.001613
7.17319 1304 72.0154 1.994281 0.078263 0.002167
7.17472 1306 72.1987 1.997828 -0.008342 -0.000231
7.17702 1309 72.6217 2.007227 0.195942 0.005416
7.17855 1311 72.9036 2.013480 -0.027522 -0.000760
7.18083 1314 73.1528 2.018056 0.102748 0.002835
7.18235 1316 73.2448 2.019059 -0.124133 -0.003422
7.18463 1319 73.3592 2.019911 0.123208 0.003392
7.18614 1321 73.4929 2.022061 -0.000484 -0.000013
7.18766 1323 73.6939 2.026058 0.299920 0.008246
7.18992 1326 74.2585 2.039268 -0.009771 -0.000268
7.19143 1328 74.3306 2.039710 0.171814 0.004715
7.19369 1331 74.5645 2.043822 -0.014222 -0.000390
7.19519 1333 74.6626 2.044976 0.208419 0.005709
7.19744 1336 75.1036 2.054742 -0.042512 -0.001163
7.19893 1338 75.1051 2.053248 0.163032 0.004457
7.20117 1341 75.3715 2.058225 -0.086754 -0.002369
7.20266 1343 75.2846 2.054319 0.126357 0.003448
7.20489 1346 75.5312 2.058750 -0.076305 -0.002080
7.20638 1348 75.6346 2.060041 0.288987 0.007871
7.20860 1351 76.1613 2.072080 -0.016869 -0.000459
7.21008 1353 76.2184 2.072101 0.180237 0.004900
7.21229 1356 76.4376 2.075762 -0.082411 -0.002238
