logY Y P PoverSqrtY A AoverSqrtY
6.90776 1000 0.9662 0.030553 0.043597 0.001379
6.90975 1002 0.8263 0.026104 0.027496 0.000869
6.91175 1004 0.8956 0.028265 0.042154 0.001330
6.91374 1006 0.7799 0.024590 -0.080617 -0.002542
6.91473 1007 0.6425 0.020247 0.118964 0.003749
6.91672 1009 0.8543 0.026895 0.169166 0.005326
6.91870 1011 0.9656 0.030370 -0.057559 -0.001810
6.92067 1013 0.8297 0.026067 0.134345 0.004221
6.92264 1015 0.8805 0.027637 -0.080528 -0.002528
6.92461 1017 0.5770 0.018093 -0.016363 -0.000513
6.92658 1019 0.5572 0.017456 0.073832 0.002313
6.92854 1021 0.4887 0.015296 -0.138704 -0.004341
6.93049 1023 0.2766 0.008647 0.133426 0.004172
6.93147 1024 0.3531 0.011035 0.078883 0.002465
6.93342 1026 0.2858 0.008924 -0.131460 -0.004104
6.93537 1028 0.0373 0.001162 0.088469 0.002759
6.93731 1030 -0.0129 -0.000402 -0.090528 -0.002821
6.93925 1032 -0.4210 -0.013105 0.074147 0.002308
6.94119 1034 -0.2282 -0.007096 0.157032 0.004883
6.94312 1036 -0.0643 -0.001996 0.007211 0.000224
6.94505 1038 -0.0523 -0.001624 0.208535 0.006473
6.94698 1040 0.1377 0.004270 -0.016596 -0.000515
6.94890 1042 -0.0637 -0.001973 0.047908 0.001484
6.95081 1044 0.0450 0.001394 0.065048 0.002013
6.95273 1046 0.0377 0.001164 -0.066980 -0.002071
6.95368 1047 -0.0862 -0.002664 0.019644 0.000607
6.95559 1049 0.0438 0.001353 0.123442 0.003811
6.95750 1051 0.1226 0.003780 -0.044489 -0.001372
6.95940 1053 0.0108 0.000332 0.133084 0.004101
6.96130 1055 0.0499 0.001536 -0.093671 -0.002884
6.96319 1057 -0.3300 -0.010150 0.003310 0.000102
6.96508 1059 -0.1821 -0.005595 0.152262 0.004679
6.96697 1061 -0.1036 -0.003182 0.039565 0.001215
6.96885 1063 -0.0515 -0.001580 0.212806 0.006527
6.97073 1065 0.1482 0.004541 -0.009631 -0.000295
6.97261 1067 -0.0982 -0.003006 0.074851 0.002291
6.97448 1069 0.0914 0.002797 0.114131 0.003491
6.97635 1071 0.0927 0.002832 -0.025780 -0.000788
6.97821 1073 0.0159 0.000485 0.147458 0.004502
6.98008 1075 0.1607 0.004902 0.083467 0.002546
6.98193 1077 0.1048 0.003194 0.068871 0.002099
6.98379 1079 0.2155 0.006562 0.069129 0.002104
6.98564 1081 0.1268 0.003856 -0.157640 -0.004795
6.98749 1083 -0.1756 -0.005336 0.078232 0.002377
6.98934 1085 -0.0976 -0.002963 0.034580 0.001050
6.99118 1087 -0.2542 -0.007709 0.130469 0.003957
6.99302 1089 -0.0202 -0.000613 0.114009 0.003455
6.99485 1091 0.0354 0.001071 -0.058115 -0.001759
6.99668 1093 -0.0364 -0.001101 0.225704 0.006827
6.99851 1095 0.1879 0.005679 -0.001068 -0.000032
7.00033 1097 -0.0404 -0.001219 0.064467 0.001946
7.00216 1099 0.0908 0.002738 0.066959 0.002020
7.00397 1101 0.0745 0.002245 -0.011336 -0.000342
7.00579 1103 0.0383 0.001153 0.175372 0.005280
7.00760 1105 0.1926 0.005795 -0.018852 -0.000567
7.00941 1107 -0.0722 -0.002169 -0.005641 -0.000170
7.01212 1110 -0.1211 -0.003634 0.008965 0.000269
7.01392 1112 -0.3302 -0.009901 -0.017827 -0.000535
7.01571 1114 -0.2921 -0.008753 0.090636 0.002716
7.01751 1116 -0.3291 -0.009852 -0.074671 -0.002235
7.01930 1118 -0.5046 -0.015091 0.221873 0.006636
7.02108 1120 -0.2535 -0.007574 0.031870 0.000952
7.02287 1122 -0.4069 -0.012149 0.031414 0.000938
7.02465 1124 -0.2543 -0.007586 0.121418 0.003622
7.02643 1126 -0.2386 -0.007111 0.034895 0.001040
7.02820 1128 -0.1870 -0.005567 0.221058 0.006582
7.02997 1130 0.0289 0.000861 -0.004006 -0.000119
7.03174 1132 -0.2003 -0.005955 0.014976 0.000445
7.03439 1135 -0.2447 -0.007262 -0.054723 -0.001624
7.03615 1137 -0.4839 -0.014352 0.015721 0.000466
7.03791 1139 -0.4796 -0.014211 0.092112 0.002729
7.03966 1141 -0.5225 -0.015468 -0.089812 -0.002659
7.04141 1143 -0.7168 -0.021201 0.277240 0.008200
7.04316 1145 -0.3877 -0.011456 0.059292 0.001752
7.04491 1147 -0.4961 -0.014649 0.032487 0.000959
7.04665 1149 -0.3891 -0.011479 0.151711 0.004476
7.04925 1152 -0.4447 -0.013103 0.179830 0.005298
7.05099 1154 -0.0788 -0.002320 0.188611 0.005552
7.05272 1156 0.0713 0.002097 -0.038197 -0.001123
7.05445 1158 0.0413 0.001215 0.211488 0.006215
7.05618 1160 0.2401 0.007051 0.046466 0.001364
7.05790 1162 0.1060 0.003109 0.111960 0.003284
7.05962 1164 0.3029 0.008878 0.086089 0.002523
7.06219 1167 0.2151 0.006296 0.031960 0.000936
7.06390 1169 0.3017 0.008824 0.113666 0.003324
7.06561 1171 0.3183 0.009302 -0.096760 -0.002828
7.06732 1173 0.1390 0.004060 0.117800 0.003439
7.06902 1175 0.1476 0.004305 -0.032097 -0.000936
7.07072 1177 -0.1437 -0.004189 0.058639 0.001709
7.07327 1180 0.1786 0.005198 0.071352 0.002077
7.07496 1182 0.0950 0.002763 0.092531 0.002691
7.07665 1184 0.2583 0.007507 0.071068 0.002065
7.07834 1186 0.1734 0.005036 -0.085449 -0.002481
7.08003 1188 -0.0246 -0.000712 0.180036 0.005223
7.08255 1191 0.0712 0.002064 -0.023653 -0.000685
7.08423 1193 -0.0024 -0.000068 0.197519 0.005719
7.08590 1195 0.2279 0.006592 0.046670 0.001350
7.08757 1197 0.1254 0.003624 0.051083 0.001476
7.08924 1199 0.2297 0.006634 0.053521 0.001546
7.09174 1202 0.0003 0.000008 0.042180 0.001217
7.09340 1204 0.1282 0.003695 0.162858 0.004693
7.09506 1206 0.2284 0.006578 -0.029496 -0.000849
7.09672 1208 0.1824 0.005247 0.183665 0.005284
7.09920 1211 0.2553 0.007337 -0.081376 -0.002338
7.10085 1213 0.0799 0.002293 0.105268 0.003022
7.10250 1215 0.1550 0.004446 -0.002872 -0.000082
7.10414 1217 -0.0756 -0.002167 0.064107 0.001838
7.10661 1220 0.0860 0.002462 0.022664 0.000649
7.10824 1222 -0.0714 -0.002042 0.032091 0.000918
7.10988 1224 -0.0292 -0.000834 0.012179 0.000348
7.11233 1227 -0.5014 -0.014314 0.003891 0.000111
7.11396 1229 -0.4311 -0.012296 0.068215 0.001946
7.11558 1231 -0.4078 -0.011622 -0.028181 -0.000803
7.11721 1233 -0.4383 -0.012483 0.197777 0.005632
7.11964 1236 -0.3166 -0.009004 -0.098924 -0.002814
7.12125 1238 -0.4701 -0.013362 0.144815 0.004116
7.12287 1240 -0.3677 -0.010442 0.034770 0.000987
7.12528 1243 -0.5499 -0.015598 0.252516 0.007162
7.12689 1245 -0.2720 -0.007709 0.084485 0.002394
7.12850 1247 -0.3302 -0.009350 0.057630 0.001632
7.13010 1249 -0.2346 -0.006637 0.056273 0.001592
7.13250 1252 -0.5749 -0.016247 -0.045508 -0.001286
7.13409 1254 -0.5926 -0.016733 0.093753 0.002648
7.13569 1256 -0.6321 -0.017837 -0.056181 -0.001585
7.13807 1259 -0.6209 -0.017498 0.088635 0.002498
7.13966 1261 -0.6662 -0.018762 -0.133726 -0.003766
7.14125 1263 -0.8574 -0.024126 0.148295 0.004173
7.14362 1266 -0.7984 -0.022440 -0.052634 -0.001479
7.14520 1268 -0.9241 -0.025952 0.184743 0.005188
7.14756 1271 -0.6819 -0.019128 0.017111 0.000480
7.14913 1273 -0.6748 -0.018913 0.190248 0.005332
7.15070 1275 -0.5214 -0.014602 -0.027440 -0.000768
7.15305 1278 -0.9086 -0.025416 0.037379 0.001046
7.15462 1280 -0.9207 -0.025734 -0.011361 -0.000318
7.15618 1282 -1.1706 -0.032693 0.106830 0.002984
7.15851 1285 -0.9282 -0.025893 -0.014727 -0.000411
7.16007 1287 -1.1793 -0.032872 -0.019633 -0.000547
7.16240 1290 -1.0902 -0.030353 -0.017430 -0.000485
7.16395 1292 -1.3464 -0.037457 0.077094 0.002145
7.16549 1294 -1.1357 -0.031573 0.133848 0.003721
7.16781 1297 -0.9893 -0.027469 0.159366 0.004425
7.16935 1299 -0.6976 -0.019357 0.132492 0.003676
7.17166 1302 -0.7657 -0.021219 0.058210 0.001613
7.17319 1304 -0.6351 -0.017589 0.078263 0.002167
7.17472 1306 -0.5655 -0.015649 -0.008342 -0.000231
7.17702 1309 -0.3130 -0.008652 0.195942 0.005416
7.17855 1311 -0.1448 -0.004000 -0.027522 -0.000760
7.18083 1314 -0.0661 -0.001824 0.102748 0.002835
7.18235 1316 -0.0878 -0.002421 -0.124133 -0.003422
7.18463 1319 -0.1439 -0.003963 0.123208 0.003392
7.18614 1321 -0.1239 -0.003409 -0.000484 -0.000013
7.18766 1323 -0.0366 -0.001006 0.299920 0.008246
