logY Y P PoverSqrtY A AoverSqrtY
6.90776 1000 11.6378 0.368019 0.007812 0.000247
6.90975 1002 11.5870 0.366048 -0.124938 -0.003947
6.91175 1004 11.4440 0.361168 -0.011319 -0.000357
6.91374 1006 11.3984 0.359374 -0.095516 -0.003011
6.91473 1007 11.3029 0.356185 -0.161892 -0.005102
6.91672 1009 11.2538 0.354287 0.069692 0.002194
6.91870 1011 11.3268 0.356232 0.003638 0.000114
6.92067 1013 11.2119 0.352268 0.143426 0.004506
6.92264 1015 11.4367 0.358978 0.015039 0.000472
6.92461 1017 11.4004 0.357487 -0.117714 -0.003691
6.92658 1019 11.0287 0.345492 0.040441 0.001267
6.92854 1021 11.5507 0.361490 -0.063026 -0.001972
6.93049 1023 11.3583 0.355121 0.032120 0.001004
6.93147 1024 11.3904 0.355951 -0.029969 -0.000937
6.93342 1026 11.6586 0.363976 -0.138083 -0.004311
6.93537 1028 11.3483 0.353944 0.130824 0.004080
6.93731 1030 11.5436 0.359684 0.150768 0.004698
6.93925 1032 11.5052 0.358141 0.018004 0.000560
6.94119 1034 11.6748 0.363070 0.085239 0.002651
6.94312 1036 11.7825 0.366063 -0.032574 -0.001012
6.94505 1038 11.6523 0.361670 0.047023 0.001460
6.94698 1040 11.6891 0.362464 -0.076567 -0.002374
6.94890 1042 11.6249 0.360126 -0.052818 -0.001636
6.95081 1044 11.7085 0.362368 0.070028 0.002167
6.95273 1046 11.8410 0.366118 0.008135 0.000252
6.95368 1047 11.8491 0.366195 -0.058248 -0.001800
6.95559 1049 11.4314 0.352950 0.018436 0.000569
6.95750 1051 11.9034 0.367171 -0.070853 -0.002186
6.95940 1053 11.8151 0.364104 0.164264 0.005062
6.96130 1055 12.0829 0.372003 0.058416 0.001798
6.96319 1057 12.1334 0.373203 -0.067057 -0.002063
6.96508 1059 12.1792 0.374259 0.048911 0.001503
6.96697 1061 12.6065 0.387024 -0.050385 -0.001547
6.96885 1063 12.5017 0.383443 0.188215 0.005773
6.97073 1065 12.8350 0.393296 0.078697 0.002411
6.97261 1067 12.9509 0.396477 -0.029135 -0.000892
6.97448 1069 12.5276 0.383161 0.039258 0.001201
6.97635 1071 12.5743 0.384227 -0.030164 -0.000922
6.97821 1073 12.4489 0.380042 0.038421 0.001173
6.98008 1075 12.6157 0.384775 0.081950 0.002499
6.98193 1077 12.7225 0.387673 -0.041488 -0.001264
6.98379 1079 12.8435 0.390995 0.154835 0.004714
6.98564 1081 12.7852 0.388860 0.022051 0.000671
6.98749 1083 12.7629 0.387823 0.089265 0.002712
6.98934 1085 12.8954 0.391490 0.067798 0.002058
6.99118 1087 12.9646 0.393229 -0.064988 -0.001971
6.99302 1089 12.9682 0.392977 0.035507 0.001076
6.99485 1091 13.0499 0.395088 -0.092795 -0.002809
6.99668 1093 13.3315 0.403245 0.006675 0.000202
6.99851 1095 13.2785 0.401274 -0.100858 -0.003048
7.00033 1097 13.4508 0.406110 -0.033717 -0.001018
7.00216 1099 13.5275 0.408056 0.078591 0.002371
7.00397 1101 13.6353 0.410932 -0.037254 -0.001123
7.00579 1103 13.1024 0.394513 0.105854 0.003187
7.00760 1105 13.2477 0.398527 0.005316 0.000160
7.00941 1107 13.1919 0.396491 -0.011201 -0.000337
7.01212 1110 13.4517 0.403753 0.016393 0.000492
7.01392 1112 13.2598 0.397635 -0.091012 -0.002729
7.01571 1114 13.2900 0.398183 0.068915 0.002065
7.01751 1116 13.2628 0.397011 -0.056013 -0.001677
7.01930 1118 13.0866 0.391386 0.122501 0.003664
7.02108 1120 13.2652 0.396373 0.069668 0.002082
7.02287 1122 13.3381 0.398197 -0.062133 -0.001855
7.02465 1124 13.3862 0.399276 0.043772 0.001306
7.02643 1126 13.4086 0.399590 -0.087738 -0.002615
7.02820 1128 13.1667 0.392033 0.062216 0.001852
7.02997 1130 13.3299 0.396541 0.093415 0.002779
7.03174 1132 13.4692 0.400331 -0.014934 -0.000444
7.03439 1135 13.8499 0.411101 -0.014141 -0.000420
7.03615 1137 13.7875 0.408888 -0.104788 -0.003108
7.03791 1139 13.7488 0.407384 -0.000238 -0.000007
7.03966 1141 13.7742 0.407779 -0.040770 -0.001207
7.04141 1143 13.6263 0.403046 0.078598 0.002325
7.04316 1145 14.0201 0.414332 -0.052504 -0.001552
7.04491 1147 13.8487 0.408909 -0.115329 -0.003405
7.04665 1149 13.7626 0.406014 -0.015853 -0.000468
7.04925 1152 14.1294 0.416292 -0.039550 -0.001165
7.05099 1154 14.2584 0.419727 0.134324 0.003954
7.05272 1156 14.4606 0.425312 0.001512 0.000044
7.05445 1158 14.4333 0.424141 0.104743 0.003078
7.05618 1160 14.5993 0.428650 -0.005132 -0.000151
7.05790 1162 14.5309 0.426276 -0.030436 -0.000893
7.05962 1164 15.0499 0.441121 0.095575 0.002801
7.06219 1167 15.2024 0.445016 -0.027910 -0.000817
7.06390 1169 15.2801 0.446910 0.039275 0.001149
7.06561 1171 15.2923 0.446883 -0.093540 -0.002733
7.06732 1173 15.0397 0.439128 0.098183 0.002867
7.06902 1175 15.4122 0.449622 -0.026758 -0.000781
7.07072 1177 15.1513 0.441633 -0.159574 -0.004651
7.07327 1180 14.9693 0.435774 -0.109821 -0.003197
7.07496 1182 14.5424 0.422986 -0.125983 -0.003664
7.07665 1184 14.4406 0.419671 0.069286 0.002014
7.07834 1186 14.5591 0.422758 0.017293 0.000502
7.08003 1188 14.9889 0.434873 0.084473 0.002451
7.08255 1191 15.3235 0.444021 -0.064222 -0.001861
7.08423 1193 15.5226 0.449413 0.041872 0.001212
7.08590 1195 15.1072 0.437020 0.057017 0.001649
7.08757 1197 15.1761 0.438646 -0.050164 -0.001450
7.08924 1199 14.7309 0.425423 0.133987 0.003869
7.09174 1202 14.9347 0.430769 -0.064194 -0.001852
7.09340 1204 14.9860 0.431889 0.049069 0.001414
7.09506 1206 15.0177 0.432445 0.008944 0.000258
7.09672 1208 14.8996 0.428688 0.076114 0.002190
7.09920 1211 14.9287 0.428993 -0.114282 -0.003284
7.10085 1213 14.6924 0.421854 0.053536 0.001537
7.10250 1215 14.7331 0.422673 0.022410 0.000643
7.10414 1217 14.2860 0.409512 0.016159 0.000463
7.10661 1220 14.9363 0.427625 0.039821 0.001140
7.10824 1222 14.9548 0.427804 -0.087738 -0.002510
7.10988 1224 14.6856 0.419760 0.007051 0.000202
7.11233 1227 14.5084 0.414186 -0.191341 -0.005462
7.11396 1229 14.6911 0.419061 0.061850 0.001764
7.11558 1231 14.7484 0.420353 -0.070985 -0.002023
7.11721 1233 14.5988 0.415753 0.065005 0.001851
7.11964 1236 14.6699 0.417269 -0.035694 -0.001015
7.12125 1238 14.5509 0.413552 0.090126 0.002561
7.12287 1240 14.7585 0.419114 0.051081 0.001451
7.12528 1243 15.0591 0.427134 0.096743 0.002744
7.12689 1245 15.2588 0.432450 0.036507 0.001035
7.12850 1247 15.1459 0.428906 -0.064072 -0.001814
7.13010 1249 15.1513 0.428716 0.061911 0.001752
7.13250 1252 15.3217 0.433018 -0.041852 -0.001183
7.13409 1254 15.4144 0.435289 0.068093 0.001923
7.13569 1256 15.3458 0.433006 -0.038777 -0.001094
7.13807 1259 15.7255 0.443191 0.027600 0.000778
7.13966 1261 15.7562 0.443704 0.027561 0.000776
7.14125 1263 15.7628 0.443539 0.112665 0.003170
7.14362 1266 15.9629 0.448636 -0.016564 -0.000466
7.14520 1268 15.8885 0.446193 0.075766 0.002128
7.14756 1271 15.9543 0.447512 -0.123501 -0.003464
7.14913 1273 15.7318 0.440924 0.075939 0.002128
7.15070 1275 15.8172 0.442971 -0.024651 -0.000690
7.15305 1278 15.4490 0.432151 0.103584 0.002898
7.15462 1280 15.6130 0.436397 -0.002752 -0.000077
7.15618 1282 15.6088 0.435940 -0.067857 -0.001895
7.15851 1285 15.5838 0.434733 0.129979 0.003626
7.16007 1287 15.7774 0.439790 -0.002873 -0.000080
7.16240 1290 16.3906 0.456351 0.054164 0.001508
7.16395 1292 16.4647 0.458061 -0.043820 -0.001219
7.16549 1294 16.5169 0.459159 0.125003 0.003475
7.16781 1297 16.7184 0.464222 -0.060565 -0.001682
7.16935 1299 16.7309 0.464210 0.007497 0.000208
7.17166 1302 16.6378 0.461095 -0.080341 -0.002227
7.17319 1304 16.6587 0.461319 0.078283 0.002168
7.17472 1306 16.8437 0.466086 0.075074 0.002077
7.17702 1309 16.8845 0.466679 0.108049 0.002986
7.17855 1311 17.0574 0.471099 0.004036 0.000111
7.18083 1314 17.0702 0.470914 0.010446 0.000288
7.18235 1316 17.0209 0.469196 -0.031501 -0.000868
