logY Y P PoverSqrtY A AoverSqrtY
6.90776 1000 9.6767 0.306004 0.007812 0.000247
6.90975 1002 9.5935 0.303069 -0.124938 -0.003947
6.91175 1004 9.4180 0.297230 -0.011319 -0.000357
6.91374 1006 9.3400 0.294473 -0.095516 -0.003011
6.91473 1007 9.2282 0.290806 -0.161892 -0.005102
6.91672 1009 9.1467 0.287951 0.069692 0.002194
6.91870 1011 9.1872 0.288941 0.003638 0.000114
6.92067 1013 9.0399 0.284026 0.143426 0.004506
6.92264 1015 9.2322 0.289784 0.015039 0.000472
6.92461 1017 9.1635 0.287343 -0.117714 -0.003691
6.92658 1019 8.7593 0.274400 0.040441 0.001267
6.92854 1021 9.2489 0.289452 -0.063026 -0.001972
6.93049 1023 9.0241 0.282139 0.032120 0.001004
6.93147 1024 9.0399 0.282498 -0.029969 -0.000937
6.93342 1026 9.2757 0.289582 -0.138083 -0.004311
6.93537 1028 8.9329 0.278611 0.130824 0.004080
6.93731 1030 9.0958 0.283414 0.150768 0.004698
6.93925 1032 9.0249 0.280934 0.018004 0.000560
6.94119 1034 9.1621 0.284927 0.085239 0.002651
6.94312 1036 9.2373 0.286990 -0.032574 -0.001012
6.94505 1038 9.0747 0.281665 0.047023 0.001460
6.94698 1040 9.0790 0.281529 -0.076567 -0.002374
6.94890 1042 8.9824 0.278265 -0.052818 -0.001636
6.95081 1044 9.0336 0.279581 0.070028 0.002167
6.95273 1046 9.1336 0.282408 0.008135 0.000252
6.95368 1047 9.1255 0.282022 -0.058248 -0.001800
6.95559 1049 8.6753 0.267854 0.018436 0.000569
6.95750 1051 9.1149 0.281158 -0.070853 -0.002186
6.95940 1053 8.9941 0.277169 0.164264 0.005062
6.96130 1055 9.2295 0.284152 0.058416 0.001798
6.96319 1057 9.2475 0.284439 -0.067057 -0.002063
6.96508 1059 9.2609 0.284580 0.048911 0.001503
6.96697 1061 9.6557 0.296434 -0.050385 -0.001547
6.96885 1063 9.5185 0.291946 0.188215 0.005773
6.97073 1065 9.8194 0.300890 0.078697 0.002411
6.97261 1067 9.9028 0.303163 -0.029135 -0.000892
6.97448 1069 9.4471 0.288940 0.039258 0.001201
6.97635 1071 9.4613 0.289106 -0.030164 -0.000922
6.97821 1073 9.3035 0.284017 0.038421 0.001173
6.98008 1075 9.4378 0.287851 0.081950 0.002499
6.98193 1077 9.5122 0.289849 -0.041488 -0.001264
