logY Y P PoverSqrtY
6.90776 1000 0.7881 0.024920
6.90975 1002 0.6419 0.020278
6.91075 1003 0.6096 0.019248
6.91274 1005 0.6874 0.021684
6.91473 1007 0.4417 0.013918
6.91572 1008 0.5008 0.015773
6.91771 1010 0.7549 0.023754
6.91968 1012 0.6313 0.019845
6.92166 1014 0.6799 0.021350
6.92264 1015 0.6502 0.020408
6.92461 1017 0.3419 0.010722
6.92658 1019 0.3194 0.010006
6.92756 1020 0.3346 0.010476
6.92952 1022 0.0486 0.001522
6.93147 1024 0.1054 0.003293
6.93342 1026 0.0329 0.001028
6.93440 1027 -0.1574 -0.004910
6.93634 1029 -0.1892 -0.005897
6.93828 1031 -0.4210 -0.013112
6.94022 1033 -0.6656 -0.020709
6.94119 1034 -0.4908 -0.015262
6.94312 1036 -0.3264 -0.010139
6.94505 1038 -0.3165 -0.009823
6.94698 1040 -0.1250 -0.003877
6.94794 1041 -0.1976 -0.006125
6.94986 1043 -0.3335 -0.010327
6.95177 1045 -0.2073 -0.006411
6.95368 1047 -0.3452 -0.010667
6.95464 1048 -0.3819 -0.011798
6.95655 1050 -0.1462 -0.004513
6.95845 1052 -0.2337 -0.007206
6.96035 1054 -0.1655 -0.005099
6.96130 1055 -0.2020 -0.006218
6.96319 1057 -0.5813 -0.017881
6.96508 1059 -0.4309 -0.013241
6.96697 1061 -0.3504 -0.010758
6.96885 1063 -0.2951 -0.009050
6.96979 1064 -0.1379 -0.004227
6.97167 1066 -0.1570 -0.004809
6.97354 1068 -0.3150 -0.009639
6.97541 1070 -0.0814 -0.002487
6.97728 1072 -0.2148 -0.006560
6.97821 1073 -0.2082 -0.006356
6.98008 1075 -0.0591 -0.001803
6.98193 1077 -0.1114 -0.003395
6.98379 1079 0.0025 0.000076
6.98564 1081 -0.0841 -0.002558
6.98749 1083 -0.3854 -0.011711
6.98841 1084 -0.3634 -0.011036
6.99026 1086 -0.3271 -0.009926
6.99210 1088 -0.3848 -0.011665
6.99393 1090 -0.1644 -0.004978
6.99577 1092 -0.2775 -0.008396
6.99760 1094 -0.0639 -0.001931
6.99851 1095 -0.0076 -0.000229
7.00033 1097 -0.2360 -0.007126
7.00216 1099 -0.1048 -0.003161
7.00397 1101 -0.1219 -0.003674
7.00579 1103 -0.1582 -0.004763
7.00760 1105 -0.0082 -0.000246
7.00941 1107 -0.2742 -0.008242
7.01031 1108 -0.3377 -0.010145
7.01212 1110 -0.3277 -0.009836
7.01392 1112 -0.5405 -0.016210
7.01571 1114 -0.5069 -0.015188
7.01751 1116 -0.5488 -0.016428
7.01930 1118 -0.7296 -0.021822
7.02108 1120 -0.4810 -0.014372
7.02287 1122 -0.6371 -0.019020
7.02376 1123 -0.6639 -0.019811
7.02554 1125 -0.4208 -0.012547
7.02731 1127 -0.4920 -0.014657
7.02909 1129 -0.2543 -0.007569
7.03086 1131 -0.2642 -0.007857
7.03262 1133 -0.4746 -0.014098
7.03439 1135 -0.4772 -0.014165
7.03615 1137 -0.7168 -0.021257
7.03791 1139 -0.7132 -0.021133
7.03966 1141 -0.7562 -0.022387
7.04141 1143 -0.9502 -0.028107
7.04229 1144 -0.7275 -0.021510
7.04403 1146 -0.6141 -0.018141
7.04578 1148 -0.7464 -0.022029
7.04752 1150 -0.5160 -0.015217
7.04925 1152 -0.6635 -0.019548
7.05099 1154 -0.2939 -0.008652
7.05272 1156 -0.1395 -0.004103
7.05445 1158 -0.1677 -0.004927
7.05618 1160 0.0365 0.001071
7.05790 1162 -0.0929 -0.002727
7.05962 1164 0.1077 0.003155
7.06133 1166 0.1339 0.003922
7.06305 1168 0.0009 0.000028
7.06476 1170 0.1737 0.005078
7.06647 1172 -0.0166 -0.000484
7.06817 1174 0.0215 0.000627
7.06987 1176 -0.1182 -0.003448
7.07157 1178 -0.3166 -0.009225
7.07327 1180 0.0084 0.000244
7.07496 1182 -0.0725 -0.002108
7.07665 1184 0.0946 0.002749
7.07834 1186 0.0134 0.000389
7.08003 1188 -0.1805 -0.005238
7.08171 1190 -0.0255 -0.000739
7.08339 1192 -0.1613 -0.004673
7.08506 1194 -0.0129 -0.000372
7.08674 1196 0.0679 0.001964
7.08841 1198 -0.0292 -0.000843
7.09008 1200 0.0779 0.002248
7.09174 1202 -0.1487 -0.004290
7.09340 1204 -0.0201 -0.000579
7.09506 1206 0.0784 0.002259
7.09672 1208 0.0313 0.000901
7.09838 1210 0.1860 0.005346
7.10003 1212 -0.0388 -0.001113
7.10168 1214 -0.0316 -0.000908
7.10332 1216 -0.0674 -0.001933
7.10497 1218 -0.2345 -0.006719
7.10661 1220 -0.0838 -0.002400
7.10824 1222 -0.2458 -0.007030
7.10988 1224 -0.2072 -0.005921
7.11151 1226 -0.4128 -0.011790
7.11396 1229 -0.6140 -0.017514
7.11558 1231 -0.5899 -0.016814
7.11721 1233 -0.6196 -0.017647
7.11883 1235 -0.4478 -0.012743
