logY Y P PoverSqrtY
6.90776 1000 6.7095 0.212174
6.90975 1002 6.6395 0.209749
6.91274 1005 6.5231 0.205764
6.91473 1007 6.3741 0.200864
6.91672 1009 6.3066 0.198541
6.91870 1011 6.3630 0.200119
6.92166 1014 6.4952 0.203972
6.92363 1016 6.5754 0.206289
6.92560 1018 6.3897 0.200266
6.92756 1020 6.4289 0.201296
6.93049 1023 6.1903 0.193542
6.93245 1025 6.1751 0.192879
6.93440 1027 5.9426 0.185436
6.93731 1030 5.9399 0.185079
6.93925 1032 6.1588 0.191715
6.94119 1034 6.3130 0.196324
6.94409 1037 6.3645 0.197639
6.94601 1039 6.2971 0.195359
6.94794 1041 6.1941 0.191978
6.95081 1044 6.2681 0.193994
6.95273 1046 6.3856 0.197441
6.95464 1048 6.3222 0.195293
6.95750 1051 6.3557 0.196047
6.95940 1053 6.2529 0.192693
6.96130 1055 6.5085 0.200382
6.96414 1058 6.4752 0.199072
6.96602 1060 6.6254 0.203499
6.96885 1063 6.4844 0.198886
6.97073 1065 6.8041 0.208496
6.97261 1067 6.9056 0.211407
6.97541 1070 6.9971 0.213909
6.97728 1072 6.9579 0.212510
6.98008 1075 7.0231 0.214204
6.98193 1077 7.1128 0.216736
6.98379 1079 7.2172 0.219715
6.98657 1082 7.4598 0.226784
6.98841 1084 7.4892 0.227467
6.99118 1087 7.5778 0.229841
6.99302 1089 7.5643 0.229223
6.99577 1092 7.4490 0.225416
6.99760 1094 7.3098 0.221004
7.00033 1097 7.1103 0.214676
7.00216 1099 7.1691 0.216256
7.00488 1102 7.2146 0.217332
7.00670 1104 7.2379 0.217835
7.00941 1107 7.1987 0.216361
7.01121 1109 7.2935 0.219012
7.01392 1112 7.3188 0.219475
7.01571 1114 7.3321 0.219678
7.01840 1117 7.3213 0.219059
7.02019 1119 7.3063 0.218414
7.02287 1122 7.4107 0.221241
7.02465 1124 7.4427 0.221999
7.02731 1127 7.3537 0.219051
7.02909 1129 7.2449 0.215617
7.03174 1132 7.4609 0.221752
7.03351 1134 7.5482 0.224148
7.03615 1137 7.5124 0.222790
7.03791 1139 7.4560 0.220925
7.04054 1142 7.4131 0.219363
7.04229 1144 7.3661 0.217783
7.04491 1147 7.1804 0.212016
7.04752 1150 7.0524 0.207965
7.04925 1152 6.9788 0.205616
7.05186 1155 7.2195 0.212429
7.05359 1157 7.2738 0.213841
7.05618 1160 7.3871 0.216894
7.05876 1163 7.2633 0.212983
7.06048 1165 7.4443 0.218102
7.06305 1168 7.4254 0.217269
7.06561 1171 7.5159 0.219637
7.06732 1173 7.2442 0.211516
7.06987 1176 7.3181 0.213401
7.07157 1178 7.0449 0.205259
7.07412 1181 6.8804 0.200210
7.07665 1184 6.6518 0.193313
7.07834 1186 6.7472 0.195921
7.08087 1189 6.7670 0.196249
7.08339 1192 6.7342 0.195052
7.08506 1194 6.6231 0.191672
7.08757 1197 6.6650 0.192642
7.09008 1200 6.9081 0.199419
7.09257 1203 6.8768 0.198269
7.09423 1205 7.0161 0.202118
7.09672 1208 6.9112 0.198848
7.09920 1211 6.8998 0.198272
7.10085 1213 6.6368 0.190559
7.10332 1216 6.6635 0.191090
7.10579 1219 6.8050 0.194907
7.10824 1222 6.8944 0.197226
7.10988 1224 6.8289 0.195191
7.11233 1227 6.6150 0.188845
7.11477 1230 6.5419 0.186530
7.11721 1233 6.3493 0.180819
7.11883 1235 6.3880 0.181773
7.12125 1238 6.2413 0.177385
7.12367 1241 6.4662 0.183555
7.12609 1244 6.4344 0.182431
7.12850 1247 6.5115 0.184396
7.13010 1249 6.4953 0.183787
7.13250 1252 6.6318 0.187426
7.13489 1255 6.7587 0.190785
7.13728 1258 6.5975 0.186011
7.13966 1261 6.6888 0.188361
7.14204 1264 6.7744 0.190545
7.14362 1266 6.7869 0.190747
7.14598 1269 6.7522 0.189545
7.14835 1272 6.5437 0.183475
7.15070 1275 6.4912 0.181791
7.15305 1278 6.2517 0.174877
7.15540 1281 6.3709 0.178003
7.15774 1284 6.5201 0.181959
7.15929 1286 6.8175 0.190109
7.16162 1289 6.9657 0.194016
7.16395 1292 7.0694 0.196676
7.16627 1295 7.2047 0.200209
7.16858 1298 7.1785 0.199248
7.17089 1301 7.2173 0.200096
7.17319 1304 7.1306 0.197465
7.17549 1307 7.3503 0.203314
7.17778 1310 7.5702 0.209157
7.18007 1313 7.5368 0.207995
7.18235 1316 7.5215 0.207338
7.18463 1319 7.5667 0.208346
7.18690 1322 7.5254 0.206972
7.18917 1325 7.4966 0.205948
7.19143 1328 7.3019 0.200371
7.19369 1331 7.5555 0.207097
7.19594 1334 7.5456 0.206592
7.19818 1337 7.5326 0.206007
7.20042 1340 7.7468 0.211627
7.20266 1343 7.7942 0.212684
7.20489 1346 7.9216 0.215918
7.20712 1349 7.6583 0.208511
7.20934 1352 7.6343 0.207625
7.21156 1355 7.8242 0.212553
7.21377 1358 7.7252 0.209633
7.21598 1361 7.8483 0.212738
7.21818 1364 7.8321 0.212065
7.22037 1367 7.7279 0.209014
7.22257 1370 7.7830 0.210274
7.22475 1373 7.8533 0.211943
7.22694 1376 8.2373 0.222063
