logY Y P PoverSqrtY
6.90776 1000 -8.2632 -0.261305
6.90975 1002 -8.3329 -0.263246
6.91075 1003 -8.4670 -0.267349
6.91274 1005 -8.4487 -0.266507
6.91473 1007 -8.5974 -0.270927
6.91572 1008 -8.7691 -0.276201
6.91771 1010 -8.6028 -0.270694
6.91968 1012 -8.6121 -0.270719
6.92166 1014 -8.4750 -0.266147
6.92264 1015 -8.4014 -0.263705
6.92461 1017 -8.4538 -0.265089
6.92658 1019 -8.5724 -0.268542
6.92756 1020 -8.5402 -0.267404
6.92952 1022 -8.6400 -0.270265
6.93147 1024 -8.7552 -0.273599
6.93342 1026 -8.8787 -0.277189
6.93440 1027 -9.0252 -0.281625
6.93634 1029 -9.0834 -0.283167
6.93828 1031 -8.8845 -0.276696
6.94022 1033 -8.7980 -0.273736
6.94119 1034 -8.6536 -0.269114
6.94312 1036 -8.5612 -0.265982
6.94505 1038 -8.7072 -0.270260
6.94698 1040 -8.6866 -0.269359
6.94794 1041 -8.7712 -0.271854
6.94986 1043 -8.8261 -0.273291
6.95177 1045 -8.6338 -0.267081
6.95368 1047 -8.5770 -0.265071
6.95464 1048 -8.6418 -0.266948
6.95655 1050 -8.5525 -0.263937
6.95845 1052 -8.6862 -0.267808
6.96035 1054 -8.5519 -0.263415
6.96130 1055 -8.4542 -0.260284
6.96319 1057 -8.4143 -0.258810
6.96508 1059 -8.3796 -0.257499
6.96697 1061 -8.3598 -0.256647
6.96885 1063 -8.4769 -0.259998
6.96979 1064 -8.2952 -0.254305
6.97167 1066 -8.0851 -0.247632
6.97354 1068 -8.0914 -0.247592
6.97541 1070 -7.9629 -0.243433
6.97728 1072 -8.0018 -0.244394
6.97821 1073 -8.1053 -0.247440
6.98008 1075 -7.9360 -0.242046
6.98193 1077 -7.8460 -0.239079
6.98379 1079 -7.7412 -0.235666
6.98564 1081 -7.5125 -0.228492
6.98749 1083 -7.5502 -0.229426
6.98841 1084 -7.4683 -0.226835
6.99026 1086 -7.3726 -0.223720
6.99210 1088 -7.4524 -0.225934
6.99393 1090 -7.3654 -0.223091
6.99577 1092 -7.5071 -0.227174
6.99760 1094 -7.6458 -0.231162
6.99851 1095 -7.7150 -0.233145
7.00033 1097 -7.8449 -0.236854
7.00216 1099 -7.7857 -0.234853
7.00397 1101 -7.6947 -0.231900
7.00579 1103 -7.8148 -0.235305
7.00760 1105 -7.6837 -0.231149
7.00941 1107 -7.7547 -0.233071
7.01031 1108 -7.7738 -0.233540
7.01212 1110 -7.5850 -0.227664
7.01392 1112 -7.6337 -0.228918
7.01571 1114 -7.6199 -0.228302
7.01751 1116 -7.5654 -0.226465
7.01930 1118 -7.7594 -0.232065
7.02108 1120 -7.5970 -0.227003
7.02287 1122 -7.5399 -0.225096
7.02376 1123 -7.6103 -0.227096
7.02554 1125 -7.4712 -0.222749
7.02731 1127 -7.5960 -0.226267
7.02909 1129 -7.7045 -0.229296
7.03086 1131 -7.5261 -0.223788
7.03262 1133 -7.5108 -0.223136
7.03439 1135 -7.3564 -0.218357
7.03615 1137 -7.4355 -0.220512
7.03791 1139 -7.4915 -0.221977
7.03966 1141 -7.4840 -0.221559
7.04141 1143 -7.6504 -0.226287
7.04229 1144 -7.5805 -0.224123
7.04403 1146 -7.6373 -0.225605
7.04578 1148 -7.8893 -0.232844
7.04752 1150 -7.8931 -0.232755
7.04925 1152 -7.9663 -0.234710
7.05099 1154 -7.8523 -0.231151
7.05272 1156 -7.6646 -0.225429
7.05445 1158 -7.7069 -0.226478
7.05618 1160 -7.5566 -0.221869
7.05790 1162 -7.6411 -0.224156
7.05962 1164 -7.5853 -0.222329
7.06133 1166 -7.4784 -0.219008
7.06305 1168 -7.5169 -0.219946
7.06476 1170 -7.3896 -0.216036
7.06647 1172 -7.5286 -0.219913
7.06817 1174 -7.6085 -0.222056
7.06987 1176 -7.6227 -0.222282
7.07157 1178 -7.8956 -0.230043
7.07327 1180 -7.9389 -0.231111
7.07496 1182 -8.1634 -0.237444
7.07665 1184 -8.2876 -0.240854
7.07834 1186 -8.1918 -0.237869
7.08003 1188 -8.2451 -0.239215
7.08171 1190 -8.1169 -0.235298
7.08339 1192 -8.2037 -0.237614
7.08506 1194 -8.3145 -0.240620
7.08674 1196 -8.2725 -0.239206
7.08841 1198 -8.3338 -0.240778
7.09008 1200 -8.0284 -0.231760
7.09174 1202 -7.9826 -0.230246
7.09340 1204 -7.9560 -0.229287
7.09506 1206 -7.9495 -0.228911
7.09672 1208 -8.0238 -0.230859
7.09838 1210 -7.9645 -0.228962
7.10003 1212 -8.1628 -0.234469
7.10168 1214 -8.2557 -0.236944
7.10332 1216 -8.2700 -0.237160
7.10497 1218 -8.2894 -0.237518
7.10661 1220 -8.0332 -0.229990
7.10824 1222 -8.0380 -0.229940
7.10988 1224 -8.1032 -0.231615
7.11151 1226 -8.1794 -0.233603
7.11396 1229 -8.4381 -0.240697
7.11558 1231 -8.4065 -0.239601
7.11721 1233 -8.5812 -0.244380
7.11883 1235 -8.5422 -0.243072
7.12044 1237 -8.5937 -0.244342
7.12206 1239 -8.6092 -0.244584
7.12367 1241 -8.4628 -0.240231
7.12528 1243 -8.5804 -0.243373
7.12689 1245 -8.4016 -0.238109
7.12850 1247 -8.4164 -0.238338
7.13010 1249 -8.4323 -0.238598
7.13250 1252 -8.2952 -0.234437
7.13409 1254 -8.2250 -0.232268
7.13569 1256 -8.1761 -0.230701
7.13728 1258 -8.3285 -0.234814
7.13887 1260 -8.2289 -0.231824
7.14045 1262 -8.2200 -0.231388
7.14204 1264 -8.1505 -0.229250
7.14362 1266 -8.1376 -0.228706
7.14598 1269 -8.1718 -0.229396
7.14756 1271 -8.2439 -0.231238
7.14913 1273 -8.4913 -0.237992
7.15070 1275 -8.4316 -0.236133
7.15227 1277 -8.5472 -0.239182
7.15383 1279 -8.5807 -0.239931
7.15540 1281 -8.5509 -0.238911
7.15774 1284 -8.4011 -0.234453
7.15929 1286 -8.1034 -0.225969
7.16085 1288 -8.0713 -0.224897
7.16240 1290 -7.8977 -0.219890
7.16395 1292 -7.8504 -0.218403
7.16549 1294 -7.8258 -0.217551
7.16781 1297 -7.6660 -0.212863
7.16935 1299 -7.6811 -0.213117
7.17089 1301 -7.7008 -0.213500
7.17242 1303 -7.8745 -0.218148
7.17396 1305 -7.7221 -0.213761
7.17625 1308 -7.5711 -0.209341
7.17778 1310 -7.3463 -0.202971
7.17931 1312 -7.3037 -0.201639
7.18083 1314 -7.3214 -0.201975
7.18235 1316 -7.3939 -0.203820
