logY Y P PoverSqrtY
6.90675 999 -5.0814 -0.160769
6.90975 1002 -4.8558 -0.153401
6.91175 1004 -4.4447 -0.140275
6.91374 1006 -4.3904 -0.138421
6.91672 1009 -4.3684 -0.137523
6.91870 1011 -4.7692 -0.149992
6.92067 1013 -4.5690 -0.143553
6.92264 1015 -4.7407 -0.148801
6.92560 1018 -5.0776 -0.159143
6.92756 1020 -5.7137 -0.178902
6.92952 1022 -5.2914 -0.165519
6.93245 1025 -5.2661 -0.164487
6.93440 1027 -5.1613 -0.161054
6.93634 1029 -5.2903 -0.164921
6.93828 1031 -4.8112 -0.149839
6.94119 1034 -4.5823 -0.142502
6.94312 1036 -4.4673 -0.138791
6.94505 1038 -4.7513 -0.147473
6.94794 1041 -4.8004 -0.148784
6.94986 1043 -4.5728 -0.141593
6.95273 1046 -4.7006 -0.145340
6.95464 1048 -4.7396 -0.146408
6.95655 1050 -5.1007 -0.157412
6.95940 1053 -5.2328 -0.161256
6.96130 1055 -4.7838 -0.147281
6.96319 1057 -4.7291 -0.145458
6.96602 1060 -4.5903 -0.140989
6.96791 1062 -4.6829 -0.143700
6.97073 1065 -4.4222 -0.135506
6.97261 1067 -3.9921 -0.122214
6.97448 1069 -3.9575 -0.121040
6.97728 1072 -4.0232 -0.122877
6.97915 1074 -4.4824 -0.136776
6.98193 1077 -4.7944 -0.146092
6.98379 1079 -4.5587 -0.138781
6.98564 1081 -4.7193 -0.143538
6.98841 1084 -5.0648 -0.153833
6.99026 1086 -5.6912 -0.172698
6.99302 1089 -5.8252 -0.176522
6.99485 1091 -5.5300 -0.167422
6.99760 1094 -5.3854 -0.162821
6.99942 1096 -5.1776 -0.156397
7.00216 1099 -4.7630 -0.143675
7.00397 1101 -4.7709 -0.143783
7.00670 1104 -4.3765 -0.131716
7.00851 1106 -3.8436 -0.115573
7.01121 1109 -3.6382 -0.109251
7.01302 1111 -3.5738 -0.107218
7.01571 1114 -3.6002 -0.107865
7.01751 1116 -4.0332 -0.120730
7.02019 1119 -4.3059 -0.128720
7.02198 1121 -3.9131 -0.116873
7.02465 1124 -3.9395 -0.117506
7.02643 1126 -3.8939 -0.116042
7.02909 1129 -3.7343 -0.111139
7.03086 1131 -4.0434 -0.120229
7.03351 1134 -4.1300 -0.122645
7.03527 1136 -3.7458 -0.111136
7.03791 1139 -3.7384 -0.110770
7.03966 1141 -3.7975 -0.112424
7.04229 1144 -4.0094 -0.118540
7.04491 1147 -4.2091 -0.124283
7.04665 1149 -4.5446 -0.134070
7.04925 1152 -4.4400 -0.130816
7.05099 1154 -3.8135 -0.112258
7.05359 1157 -3.4931 -0.102693
7.05618 1160 -3.0329 -0.089049
7.05790 1162 -2.7103 -0.079507
7.06048 1165 -2.3409 -0.068584
7.06219 1167 -2.5042 -0.073306
7.06476 1170 -2.3591 -0.068970
7.06732 1173 -2.3618 -0.068960
7.06902 1175 -2.1024 -0.061333
7.07157 1178 -2.3364 -0.068073
7.07412 1181 -2.7182 -0.079096
7.07581 1183 -3.0471 -0.088592
7.07834 1186 -3.5092 -0.101897
7.08087 1189 -3.8075 -0.110422
7.08255 1191 -4.3876 -0.127138
7.08506 1194 -4.2178 -0.122063
7.08757 1197 -4.1957 -0.121272
7.08924 1199 -3.7483 -0.108249
7.09174 1202 -3.4861 -0.100551
7.09423 1205 -3.0907 -0.089036
7.09589 1207 -2.8394 -0.081729
7.09838 1210 -2.5678 -0.073818
7.10085 1213 -2.4439 -0.070170
7.10332 1216 -2.4678 -0.070769
7.10497 1218 -2.8991 -0.083070
7.10743 1221 -2.7407 -0.078434
7.10988 1224 -2.7300 -0.078033
7.11233 1227 -2.4385 -0.069615
