logY Y P PoverSqrtY
6.90675 999 0.5816 0.018403
6.90975 1002 0.2962 0.009356
6.91274 1005 0.5526 0.017432
6.91473 1007 0.1524 0.004804
6.91771 1010 0.4215 0.013263
6.91968 1012 0.5614 0.017647
6.92264 1015 0.2573 0.008077
6.92461 1017 0.4005 0.012558
6.92756 1020 0.3335 0.010443
6.92952 1022 0.1247 0.003902
6.93245 1025 0.2599 0.008117
6.93537 1028 0.0583 0.001817
6.93731 1030 0.0477 0.001486
6.94022 1033 0.2973 0.009251
6.94216 1035 0.0408 0.001269
6.94505 1038 0.1338 0.004152
6.94794 1041 0.0405 0.001256
6.94986 1043 -0.1094 -0.003386
6.95273 1046 0.1624 0.005021
6.95464 1048 0.0615 0.001899
6.95750 1051 0.1482 0.004572
6.96035 1054 0.5998 0.018475
6.96224 1056 0.3191 0.009820
6.96508 1059 0.3616 0.011113
6.96791 1062 0.3295 0.010111
6.96979 1064 0.0526 0.001612
6.97261 1067 0.0125 0.000384
6.97541 1070 -0.3798 -0.011610
6.97821 1073 -0.1052 -0.003213
6.98008 1075 0.0197 0.000601
6.98286 1078 -0.1932 -0.005885
6.98564 1081 -0.0556 -0.001691
6.98749 1083 -0.3373 -0.010248
6.99026 1086 -0.7509 -0.022785
6.99302 1089 -0.8148 -0.024690
6.99577 1092 -1.4745 -0.044619
6.99760 1094 -1.5356 -0.046426
7.00033 1097 -1.6320 -0.049274
7.00307 1100 -2.0848 -0.062860
7.00579 1103 -1.6053 -0.048337
7.00760 1105 -1.8348 -0.055195
7.01031 1108 -1.6751 -0.050325
7.01302 1111 -1.7924 -0.053776
7.01571 1114 -2.0880 -0.062558
7.01840 1117 -1.6591 -0.049642
7.02019 1119 -1.6765 -0.050116
7.02287 1122 -1.2053 -0.035982
7.02554 1125 -1.1257 -0.033561
7.02820 1128 -1.3469 -0.040104
7.03086 1131 -1.1529 -0.034281
7.03351 1134 -1.5120 -0.044901
7.03527 1136 -1.3905 -0.041257
7.03791 1139 -1.4624 -0.043330
7.04054 1142 -1.7037 -0.050414
7.04316 1145 -1.3452 -0.039753
7.04578 1148 -1.5509 -0.045772
7.04839 1151 -1.4584 -0.042988
7.05099 1154 -1.8621 -0.054815
7.05359 1157 -1.9066 -0.056052
7.05618 1160 -2.2936 -0.067342
7.05876 1163 -2.4902 -0.073022
7.06048 1165 -1.9286 -0.056504
7.06305 1168 -1.9538 -0.057167
7.06561 1171 -1.3767 -0.040231
7.06817 1174 -1.1804 -0.034452
7.07072 1177 -1.3663 -0.039824
