logY Y P PoverSqrtY
6.90675 999 -1.8513 -0.058571
6.90975 1002 -1.9116 -0.060391
6.91175 1004 -1.7844 -0.056316
6.91374 1006 -1.8159 -0.057252
6.91672 1009 -1.8239 -0.057419
6.91870 1011 -1.8156 -0.057103
6.92067 1013 -1.6630 -0.052249
6.92264 1015 -1.4462 -0.045393
6.92560 1018 -1.5366 -0.048160
6.92756 1020 -1.7628 -0.055196
6.92952 1022 -2.0115 -0.062920
6.93245 1025 -1.6906 -0.052806
6.93440 1027 -1.4736 -0.045983
6.93634 1029 -1.4208 -0.044293
6.93828 1031 -1.5246 -0.047483
6.94119 1034 -1.7306 -0.053818
6.94312 1036 -1.5837 -0.049203
6.94505 1038 -1.3702 -0.042528
6.94794 1041 -1.4470 -0.044849
6.94986 1043 -1.7508 -0.054212
6.95273 1046 -1.9981 -0.061780
6.95464 1048 -1.8453 -0.057001
6.95655 1050 -1.6282 -0.050246
6.95940 1053 -1.5896 -0.048985
6.96130 1055 -1.7502 -0.053884
6.96319 1057 -1.8468 -0.056803
6.96602 1060 -1.6132 -0.049550
6.96791 1062 -1.5287 -0.046909
6.97073 1065 -1.6357 -0.050123
6.97261 1067 -1.7836 -0.054603
6.97448 1069 -1.7239 -0.052727
6.97728 1072 -1.7167 -0.052432
6.97915 1074 -1.7353 -0.052951
6.98193 1077 -1.8396 -0.056055
6.98379 1079 -1.8936 -0.057648
6.98564 1081 -1.8138 -0.055167
6.98841 1084 -1.9974 -0.060667
6.99026 1086 -2.1145 -0.064164
6.99302 1089 -2.2821 -0.069155
6.99485 1091 -2.1925 -0.066378
6.99760 1094 -2.1499 -0.065000
6.99942 1096 -2.3400 -0.070683
7.00216 1099 -2.7303 -0.082359
7.00397 1101 -2.7415 -0.082621
7.00670 1104 -2.4929 -0.075027
7.00851 1106 -2.4604 -0.073982
7.01121 1109 -2.7367 -0.082178
7.01302 1111 -2.9245 -0.087739
7.01571 1114 -2.7275 -0.081719
7.01751 1116 -2.5028 -0.074918
7.02019 1119 -2.4637 -0.073650
7.02198 1121 -2.6241 -0.078376
7.02465 1124 -2.5285 -0.075418
7.02643 1126 -2.3609 -0.070356
7.02909 1129 -2.1125 -0.062870
7.03086 1131 -2.2162 -0.065899
7.03351 1134 -2.4919 -0.073998
7.03527 1136 -2.5713 -0.076289
