logY Y P PoverSqrtY
6.90675 999 -6.2784 -0.198639
6.90975 1002 -5.9676 -0.188523
6.91175 1004 -6.5905 -0.207993
6.91374 1006 -6.5544 -0.206650
6.91672 1009 -6.8200 -0.214702
6.91870 1011 -7.1875 -0.226050
6.92067 1013 -6.3100 -0.198254
6.92264 1015 -6.0854 -0.191009
6.92560 1018 -5.3718 -0.168364
6.92756 1020 -5.3240 -0.166701
6.92952 1022 -4.9994 -0.156384
6.93245 1025 -5.0352 -0.157273
6.93440 1027 -4.5454 -0.141837
6.93634 1029 -4.7821 -0.149076
6.93828 1031 -4.3146 -0.134372
6.94119 1034 -3.7954 -0.118033
6.94312 1036 -3.6907 -0.114665
6.94505 1038 -3.2780 -0.101743
6.94794 1041 -3.7065 -0.114877
6.94986 1043 -3.4603 -0.107146
6.95273 1046 -3.9499 -0.122129
6.95464 1048 -3.4201 -0.105649
6.95655 1050 -3.4546 -0.106611
6.95940 1053 -2.9026 -0.089450
6.96130 1055 -3.0668 -0.094418
6.96319 1057 -2.8116 -0.086480
6.96602 1060 -2.9405 -0.090318
6.96791 1062 -2.8279 -0.086777
6.97073 1065 -2.8221 -0.086476
6.97261 1067 -2.6019 -0.079655
6.97448 1069 -3.1041 -0.094940
6.97728 1072 -2.5117 -0.076714
6.97915 1074 -3.0378 -0.092694
6.98193 1077 -2.9142 -0.088798
6.98379 1079 -3.3117 -0.100819
6.98564 1081 -3.0866 -0.093877
6.98841 1084 -2.7909 -0.084767
6.99026 1086 -2.6326 -0.079887
6.99302 1089 -2.7303 -0.082735
6.99485 1091 -2.4314 -0.073612
6.99760 1094 -2.2878 -0.069168
6.99942 1096 -2.3286 -0.070338
7.00216 1099 -1.8698 -0.056402
7.00397 1101 -1.6876 -0.050861
7.00670 1104 -1.5573 -0.046871
7.00851 1106 -1.6107 -0.048433
7.01121 1109 -1.7479 -0.052488
7.01302 1111 -1.9130 -0.057392
7.01571 1114 -2.3797 -0.071299
7.01751 1116 -2.3614 -0.070686
7.02019 1119 -2.5486 -0.076188
7.02198 1121 -2.8783 -0.085966
7.02465 1124 -2.9519 -0.088049
7.02643 1126 -3.1737 -0.094580
7.02909 1129 -3.4795 -0.103556
7.03086 1131 -3.6750 -0.109276
7.03351 1134 -3.5931 -0.106701
7.03527 1136 -3.3000 -0.097910
7.03791 1139 -2.8462 -0.084333
7.03966 1141 -2.7861 -0.082482
7.04229 1144 -2.4074 -0.071177
7.04491 1147 -2.0801 -0.061419
7.04665 1149 -2.3123 -0.068215
7.04925 1152 -1.8379 -0.054150
7.05099 1154 -2.4401 -0.071830
7.05359 1157 -1.8967 -0.055760
7.05618 1160 -2.1974 -0.064518
7.05790 1162 -1.9083 -0.055983
7.06048 1165 -2.1940 -0.064279
7.06219 1167 -1.7974 -0.052616
7.06476 1170 -1.6659 -0.048704
7.06732 1173 -1.4281 -0.041698
7.06902 1175 -1.5117 -0.044100
7.07157 1178 -1.5184 -0.044240
7.07412 1181 -2.4175 -0.070347
7.07581 1183 -1.9738 -0.057385
7.07834 1186 -2.4124 -0.070049
7.08087 1189 -2.1198 -0.061475
7.08255 1191 -2.1343 -0.061844
7.08506 1194 -2.4052 -0.069606
7.08757 1197 -2.1943 -0.063423
7.08924 1199 -2.7902 -0.080579
7.09174 1202 -1.7131 -0.049412
7.09423 1205 -1.6718 -0.048162
7.09589 1207 -1.3369 -0.038481
7.09838 1210 -1.2174 -0.034999
7.10085 1213 -0.8397 -0.024110
7.10332 1216 -0.9577 -0.027464
7.10497 1218 -0.2018 -0.005782
7.10743 1221 0.0164 0.000470
7.10988 1224 0.4790 0.013691
7.11233 1227 1.3220 0.037742
7.11396 1229 1.1127 0.031740
7.11639 1232 1.4715 0.041924
7.11883 1235 1.6245 0.046226
7.12125 1238 1.8301 0.052012
7.12367 1241 1.3163 0.037365
7.12528 1243 1.4605 0.041426
7.12769 1246 0.5174 0.014657
7.13010 1249 -0.0465 -0.001316
7.13250 1252 0.2243 0.006341
7.13489 1255 0.1557 0.004395
7.13648 1257 0.2145 0.006050
7.13887 1260 -0.3210 -0.009042
7.14125 1263 -0.6877 -0.019352
7.14362 1266 -1.6302 -0.045816
7.14598 1269 -1.6931 -0.047527
7.14835 1272 -1.3483 -0.037805
7.14992 1274 -1.5915 -0.044588
7.15227 1277 -1.3237 -0.037042
7.15462 1280 -1.7392 -0.048611
7.15696 1283 -1.9480 -0.054385
7.15929 1286 -2.0052 -0.055917
7.16162 1289 -1.7149 -0.047766
7.16395 1292 -1.0916 -0.030370
7.16627 1295 -1.3382 -0.037186
7.16858 1298 -1.3286 -0.036876
7.17089 1301 -1.9971 -0.055367
7.17242 1303 -1.5501 -0.042942
7.17472 1306 -1.8441 -0.051030
7.17702 1309 -2.0806 -0.057506
7.17931 1312 -2.0184 -0.055724
7.18159 1315 -2.7904 -0.076949
7.18387 1318 -3.0006 -0.082651
7.18614 1321 -3.4980 -0.096243
7.18841 1324 -3.8047 -0.104562
7.19068 1327 -3.9230 -0.107693
7.19293 1330 -4.7223 -0.129489
7.19519 1333 -4.8464 -0.132741
7.19744 1336 -5.4836 -0.150025
7.19968 1339 -5.1395 -0.140453
7.20192 1342 -4.6046 -0.125694
7.20415 1345 -4.7205 -0.128714
7.20638 1348 -4.7667 -0.129829
7.20860 1351 -5.4218 -0.147508
7.21082 1354 -5.1931 -0.141128
7.21303 1357 -4.6973 -0.127514
7.21524 1360 -4.8858 -0.132485
7.21744 1363 -4.9605 -0.134361
7.22037 1367 -5.6370 -0.152464
7.22257 1370 -6.1717 -0.166742
7.22475 1373 -5.9739 -0.161222
7.22694 1376 -6.5625 -0.176913
7.22911 1379 -6.7981 -0.183065
7.23129 1382 -6.7617 -0.181888
7.23346 1385 -7.1054 -0.190925
7.23562 1388 -6.8213 -0.183094
7.23778 1391 -6.9782 -0.187102
7.23993 1394 -7.1779 -0.192250
7.24280 1398 -6.4548 -0.172635
7.24494 1401 -7.0365 -0.187992
7.24708 1404 -6.7268 -0.179524
7.24922 1407 -6.1659 -0.164379
7.25134 1410 -6.2438 -0.166280
7.25347 1413 -6.2853 -0.167208
7.25630 1417 -6.4593 -0.171592
7.25841 1420 -6.6776 -0.177206
7.26052 1423 -6.0242 -0.159696
7.26263 1426 -6.3271 -0.167551
7.26473 1429 -6.1451 -0.162560
7.26753 1433 -5.8867 -0.155506
7.26962 1436 -6.4231 -0.169499
7.27170 1439 -6.3472 -0.167323
7.27379 1442 -5.8960 -0.155267
7.27656 1446 -6.5534 -0.172340
7.27863 1449 -6.4612 -0.169739
7.28070 1452 -6.4092 -0.168197
7.28276 1455 -6.7785 -0.177706
7.28551 1459 -6.8765 -0.180028
7.28756 1462 -6.1866 -0.161799
7.28961 1465 -6.5286 -0.170570
7.29234 1469 -6.9230 -0.180629
7.29438 1472 -6.6182 -0.172500
7.29641 1475 -6.5658 -0.170958
7.29845 1478 -6.3853 -0.166091
7.30115 1482 -6.2844 -0.163245
7.30317 1485 -6.6203 -0.171796
7.30519 1488 -6.3398 -0.164352
7.30787 1492 -6.3282 -0.163831
7.30988 1495 -6.4274 -0.166233
7.31255 1499 -6.8658 -0.177333
7.31455 1502 -6.6339 -0.171171
7.31655 1505 -7.1874 -0.185270
7.31920 1509 -7.1206 -0.183305
7.32119 1512 -6.7639 -0.173948
7.32383 1516 -7.0697 -0.181573
7.32581 1519 -7.3149 -0.187686
7.32778 1522 -7.2222 -0.185124
7.33041 1526 -7.5774 -0.193973
7.33237 1529 -7.7440 -0.198044
7.33498 1533 -7.4889 -0.191270
7.33694 1536 -8.0000 -0.204125
7.33954 1540 -7.8778 -0.200744
7.34148 1543 -7.5676 -0.192653
7.34407 1547 -7.0860 -0.180158
7.34601 1550 -7.1823 -0.182430
7.34859 1554 -7.4090 -0.187947
7.35052 1557 -7.2043 -0.182577
7.35308 1561 -7.5998 -0.192353
7.35500 1564 -7.7634 -0.196306
7.35756 1568 -7.7074 -0.194642
7.35947 1571 -8.6376 -0.217925
7.36201 1575 -8.7729 -0.221056
7.36391 1578 -8.5465 -0.215146
7.36645 1582 -8.5160 -0.214109
7.36834 1585 -8.6963 -0.218434
7.37086 1589 -9.3690 -0.235034
7.37275 1592 -8.3740 -0.209876
7.37526 1596 -8.4596 -0.211755
7.37776 1600 -7.6207 -0.190517
7.37963 1603 -7.2250 -0.180455
7.38212 1607 -7.0400 -0.175615
7.38399 1610 -6.7733 -0.168805
7.38647 1614 -6.4136 -0.159643
7.38895 1618 -5.7349 -0.142572
7.39080 1621 -6.0415 -0.150057
7.39326 1625 -5.5515 -0.137715
7.39572 1629 -5.1885 -0.128552
7.39756 1632 -4.3965 -0.108830
7.40001 1636 -4.8749 -0.120523
7.40245 1640 -4.9862 -0.123126
7.40428 1643 -4.4338 -0.109384
7.40671 1647 -4.1172 -0.101451
7.40914 1651 -4.5142 -0.111099
7.41156 1655 -4.6239 -0.113661
7.41337 1658 -4.5571 -0.111918
7.41578 1662 -4.3713 -0.107225
7.41818 1666 -4.5885 -0.112417
7.41998 1669 -4.7042 -0.115149
7.42237 1673 -4.7968 -0.117275
7.42476 1677 -4.7004 -0.114779
7.42714 1681 -4.8347 -0.117920
7.42952 1685 -4.8079 -0.117127
7.43130 1688 -5.0206 -0.122199
7.43367 1692 -5.4595 -0.132724
7.43603 1696 -5.8694 -0.142522
7.43838 1700 -6.2550 -0.151706
7.44073 1704 -7.0641 -0.171129
7.44249 1707 -7.0908 -0.171624
7.44483 1711 -7.3407 -0.177464
7.44717 1715 -7.0958 -0.171345
7.44950 1719 -7.3612 -0.177547
7.45182 1723 -6.8020 -0.163869
7.45414 1727 -6.8813 -0.165587
7.45645 1731 -6.6234 -0.159195
7.45876 1735 -6.1637 -0.147976
7.46049 1738 -6.0673 -0.145537
7.46279 1742 -6.1577 -0.147536
7.46508 1746 -6.3086 -0.150977
7.46737 1750 -5.9518 -0.142275
7.46965 1754 -6.3812 -0.152367
7.47193 1758 -6.6585 -0.158805
7.47420 1762 -6.9143 -0.164719
7.47647 1766 -7.6481 -0.181994
7.47873 1770 -7.9479 -0.188914
7.48099 1774 -8.6453 -0.205259
7.48324 1778 -8.5682 -0.203199
7.48549 1782 -8.5901 -0.203491
7.48773 1786 -9.1761 -0.217129
7.48997 1790 -9.1976 -0.217394
7.49220 1794 -9.3985 -0.221896
7.49443 1798 -8.3913 -0.197895
7.49665 1802 -8.0318 -0.189207
7.49887 1806 -8.0036 -0.188333
7.50108 1810 -7.4889 -0.176026
7.50329 1814 -6.7035 -0.157393
7.50549 1818 -5.8377 -0.136912
7.50824 1823 -5.8516 -0.137051
7.51043 1827 -6.0388 -0.141281
7.51262 1831 -6.5802 -0.153779
7.51480 1835 -6.7552 -0.157697
7.51698 1839 -7.3738 -0.171948
7.51915 1843 -7.8289 -0.182364
7.52132 1847 -8.2951 -0.193015
7.52402 1852 -8.5907 -0.199622
7.52618 1856 -9.3875 -0.217901
7.52833 1860 -9.4796 -0.219803
7.53048 1864 -9.4796 -0.219567
7.53262 1868 -8.8460 -0.204671
7.53476 1872 -8.5233 -0.196994
7.53743 1877 -8.6234 -0.199043
7.53956 1881 -8.9674 -0.206763
7.54168 1885 -8.6169 -0.198471
7.54380 1889 -9.2346 -0.212472
7.54645 1894 -10.1648 -0.233565
7.54856 1898 -10.3578 -0.237750
7.55066 1902 -10.6243 -0.243610
7.55276 1906 -11.0885 -0.253986
7.55538 1911 -11.5541 -0.264304
7.55747 1915 -11.3803 -0.260058
7.55956 1919 -11.2946 -0.257830
7.56216 1924 -10.8101 -0.246449
7.56424 1928 -10.4633 -0.238294
7.56631 1932 -10.3244 -0.234887
7.56890 1937 -10.1163 -0.229857
7.57096 1941 -10.3715 -0.235413
7.57302 1945 -10.3731 -0.235206
7.57558 1950 -10.2710 -0.232593
7.57763 1954 -10.2632 -0.232178
7.58019 1959 -10.4357 -0.235778
7.58223 1963 -10.7296 -0.242172
7.58426 1967 -11.1002 -0.250282
7.58680 1972 -11.3916 -0.256526
7.58883 1976 -12.4151 -0.279292
7.59136 1981 -13.3217 -0.299308
7.59337 1985 -13.1496 -0.295142
7.59589 1990 -12.7951 -0.286826
7.59790 1994 -12.7335 -0.285159
7.60040 1999 -12.5955 -0.281713
7.60240 2003 -11.4765 -0.256429
7.60489 2008 -11.0834 -0.247338
7.60688 2012 -11.1540 -0.248667
7.60937 2017 -11.1342 -0.247917
7.61135 2021 -11.6549 -0.259254
7.61382 2026 -12.3144 -0.273587
7.61579 2030 -12.6936 -0.281733
7.61825 2035 -12.5307 -0.277775
7.62071 2040 -12.4593 -0.275854
7.62266 2044 -13.1727 -0.291363
7.62511 2049 -13.6231 -0.300957
7.62706 2053 -13.0638 -0.288319
7.62949 2058 -12.9234 -0.284876
7.63192 2063 -13.3056 -0.292944
7.63385 2067 -13.0361 -0.286732
7.63627 2072 -12.2531 -0.269184
7.63868 2077 -12.0950 -0.265392
7.64060 2081 -12.7085 -0.278585
7.64300 2086 -12.8343 -0.281007
7.64540 2091 -13.3131 -0.291140
7.64731 2095 -13.8732 -0.303099
7.64969 2100 -14.4839 -0.316065
7.65207 2105 -14.6589 -0.319503
7.65444 2110 -15.4327 -0.335969
7.65634 2114 -16.1117 -0.350420
7.65870 2119 -15.8123 -0.343503
7.66106 2124 -15.1942 -0.329686
7.66341 2129 -15.2146 -0.329740
7.66528 2133 -14.7065 -0.318430
7.66763 2138 -13.9878 -0.302513
7.66996 2143 -13.5650 -0.293028
7.67229 2148 -13.5800 -0.293011
7.67462 2153 -13.4743 -0.290392
7.67694 2158 -13.1676 -0.283453
7.67879 2162 -13.1584 -0.282994
7.68110 2167 -13.4058 -0.287981
7.68340 2172 -13.3959 -0.287437
7.68570 2177 -13.1062 -0.280897
7.68800 2182 -13.0893 -0.280214
7.69029 2187 -12.6346 -0.270171
7.69257 2192 -12.2401 -0.261436
7.69485 2197 -12.1045 -0.258244
7.69712 2202 -11.8500 -0.252529
7.69939 2207 -11.2224 -0.238884
7.70165 2212 -10.7794 -0.229192
7.70391 2217 -10.8855 -0.231189
7.70616 2222 -10.9397 -0.232077
7.70841 2227 -11.1713 -0.236725
7.71065 2232 -11.5808 -0.245128
7.71289 2237 -11.9845 -0.253388
7.71512 2242 -11.5860 -0.244689
7.71735 2247 -11.4560 -0.241674
7.71957 2252 -11.3624 -0.239434
7.72179 2257 -11.1788 -0.235304
7.72400 2262 -11.2044 -0.235582
7.72621 2267 -11.7799 -0.247410
7.72842 2272 -12.2005 -0.255960
7.73061 2277 -12.3991 -0.259842
7.73281 2282 -13.1010 -0.274249
7.73543 2288 -13.9387 -0.291403
7.73762 2293 -13.9593 -0.291515
7.73979 2298 -14.2372 -0.296995
7.74197 2303 -14.7650 -0.307672
7.74414 2308 -14.3929 -0.299591
7.74630 2313 -14.2428 -0.296147
7.74889 2319 -14.5743 -0.302647
7.75105 2324 -13.9542 -0.289458
7.75319 2329 -12.8268 -0.265787
7.75534 2334 -12.3917 -0.256496
7.75791 2340 -12.2499 -0.253235
7.76004 2345 -12.2337 -0.252631
7.76217 2350 -12.6307 -0.260551
7.76430 2355 -13.4850 -0.277878
7.76684 2361 -12.8337 -0.264122
7.76896 2366 -12.7539 -0.262202
7.77107 2371 -13.2243 -0.271585
7.77359 2377 -12.4915 -0.256212
7.77570 2382 -12.3562 -0.253170
7.77779 2387 -12.4844 -0.255531
7.78030 2393 -12.1658 -0.248696
7.78239 2398 -11.7667 -0.240287
7.78489 2404 -12.2712 -0.250276
7.78697 2409 -11.9255 -0.242973
