logY Y P PoverSqrtY
6.90675 999 -4.4945 -0.142199
6.90975 1002 -4.5500 -0.143740
6.91274 1005 -4.6945 -0.148082
6.91473 1007 -4.7492 -0.149661
6.91771 1010 -4.7589 -0.149743
6.91968 1012 -4.5614 -0.143385
6.92264 1015 -4.3288 -0.135873
6.92461 1017 -4.5343 -0.142184
6.92756 1020 -4.8038 -0.150413
6.92952 1022 -4.4138 -0.138065
6.93245 1025 -4.1080 -0.128312
6.93537 1028 -3.9438 -0.123004
6.93731 1030 -4.0214 -0.125303
6.94022 1033 -4.2603 -0.132553
6.94216 1035 -4.0940 -0.127257
6.94505 1038 -4.0136 -0.124576
6.94794 1041 -4.0757 -0.126321
6.94986 1043 -3.8781 -0.120083
6.95273 1046 -4.0797 -0.126143
6.95464 1048 -4.0481 -0.125045
6.95750 1051 -3.6894 -0.113803
6.96035 1054 -3.7030 -0.114058
6.96224 1056 -3.7736 -0.116124
6.96508 1059 -4.2657 -0.131082
6.96791 1062 -4.0249 -0.123506
6.96979 1064 -3.6629 -0.112294
6.97261 1067 -3.5883 -0.109852
6.97541 1070 -3.5292 -0.107889
6.97821 1073 -3.7642 -0.114913
6.98008 1075 -3.3825 -0.103164
6.98286 1078 -3.0459 -0.092769
6.98564 1081 -3.0298 -0.092150
6.98749 1083 -3.1592 -0.095997
6.99026 1086 -3.2210 -0.097742
6.99302 1089 -3.0379 -0.092056
6.99577 1092 -2.8046 -0.084870
6.99760 1094 -3.0697 -0.092808
7.00033 1097 -3.2649 -0.098576
7.00307 1100 -3.0821 -0.092929
7.00579 1103 -3.0113 -0.090671
7.00760 1105 -3.0542 -0.091879
7.01031 1108 -3.2486 -0.097596
7.01302 1111 -3.5228 -0.105690
7.01571 1114 -3.2822 -0.098339
7.01840 1117 -3.4335 -0.102733
7.02019 1119 -3.5047 -0.104770
7.02287 1122 -4.0951 -0.122256
7.02554 1125 -4.6913 -0.139868
7.02820 1128 -4.3021 -0.128093
7.03086 1131 -4.3286 -0.128712
7.03351 1134 -4.2741 -0.126921
7.03527 1136 -4.6476 -0.137891
7.03791 1139 -4.3976 -0.130302
7.04054 1142 -3.9422 -0.116654
7.04316 1145 -3.8861 -0.114844
7.04578 1148 -3.8450 -0.113481
7.04839 1151 -4.0668 -0.119872
7.05099 1154 -3.7592 -0.110661
7.05359 1157 -3.7940 -0.111539
7.05618 1160 -3.8747 -0.113765
7.05876 1163 -4.1053 -0.120381
7.06048 1165 -3.9928 -0.116982
7.06305 1168 -3.6875 -0.107898
7.06561 1171 -3.6940 -0.107949
7.06817 1174 -3.8718 -0.112999
7.07072 1177 -3.7222 -0.108497
7.07327 1180 -3.5339 -0.102877
7.07581 1183 -3.4045 -0.098984
7.07834 1186 -3.5701 -0.103665
7.08087 1189 -3.8036 -0.110308
7.08339 1192 -3.8157 -0.110519
7.08590 1195 -3.6558 -0.105755
7.08841 1198 -3.5753 -0.103297
7.09091 1201 -3.8026 -0.109725
7.09340 1204 -3.5482 -0.102259
7.09589 1207 -3.3828 -0.097370
7.09838 1210 -3.3635 -0.096693
7.10085 1213 -3.7924 -0.108889
7.10332 1216 -4.1314 -0.118476
7.10661 1220 -4.0322 -0.115442
7.10906 1223 -3.8621 -0.110437
7.11151 1226 -3.8385 -0.109628
7.11396 1229 -4.1789 -0.119202
7.11639 1232 -3.9408 -0.112275
7.11883 1235 -3.9839 -0.113363
7.12125 1238 -4.0556 -0.115265
7.12367 1241 -4.4125 -0.125256
7.12609 1244 -4.1466 -0.117565
7.12850 1247 -3.9117 -0.110773
7.13170 1251 -4.2805 -0.121022
7.13409 1254 -4.3836 -0.123788
7.13648 1257 -4.3115 -0.121607
7.13887 1260 -4.0357 -0.113693
7.14125 1263 -3.9447 -0.110996
7.14362 1266 -3.9971 -0.112338
7.14677 1270 -3.9719 -0.111454
7.14913 1273 -3.7918 -0.106275
7.15149 1276 -4.0499 -0.113375
7.15383 1279 -4.2723 -0.119460
7.15696 1283 -4.1460 -0.115748
7.15929 1286 -4.0652 -0.113361
7.16162 1289 -4.0818 -0.113692
7.16395 1292 -4.4079 -0.122630
7.16704 1296 -4.4212 -0.122811
7.16935 1299 -4.2984 -0.119261
7.17166 1302 -4.3302 -0.120006
7.17396 1305 -4.8182 -0.133376
7.17702 1309 -4.8324 -0.133564
7.17931 1312 -4.8172 -0.132992
7.18159 1315 -4.7974 -0.132296
7.18463 1319 -4.9017 -0.134966
7.18690 1322 -4.6439 -0.127722
7.18917 1325 -4.6546 -0.127871
7.19218 1329 -4.5952 -0.126049
7.19444 1332 -5.0693 -0.138899
7.19669 1335 -4.8414 -0.132505
7.19968 1339 -4.6703 -0.127630
7.20192 1342 -4.9156 -0.134185
7.20415 1345 -5.2999 -0.144514
7.20712 1349 -5.2002 -0.141585
7.20934 1352 -4.9441 -0.134463
7.21229 1356 -4.8577 -0.131918
7.21450 1359 -4.6610 -0.126436
7.21671 1362 -4.4028 -0.119299
7.21964 1366 -4.1979 -0.113582
7.22184 1369 -4.3705 -0.118120
7.22475 1373 -4.4551 -0.120233
7.22694 1376 -4.3319 -0.116779
7.22984 1380 -4.3431 -0.116914
7.23201 1383 -4.7997 -0.129065
7.23490 1387 -4.5930 -0.123327
7.23706 1390 -4.4666 -0.119803
7.23993 1394 -4.1680 -0.111635
7.24208 1397 -4.3439 -0.116219
7.24494 1401 -4.0323 -0.107729
7.24708 1404 -3.9349 -0.105015
7.24993 1408 -3.8951 -0.103804
7.25205 1411 -4.0352 -0.107424
7.25488 1415 -3.6501 -0.097034
7.25700 1418 -3.6282 -0.096351
7.25982 1422 -3.9143 -0.103802
7.26263 1426 -3.9511 -0.104631
7.26473 1429 -3.7584 -0.099424
7.26753 1433 -3.8607 -0.101985
7.26962 1436 -3.9583 -0.104456
7.27240 1440 -3.7188 -0.098000
7.27517 1444 -3.2961 -0.086741
7.27725 1447 -3.2454 -0.085316
7.28001 1451 -2.9632 -0.077790
7.28276 1455 -2.3820 -0.062446
7.28482 1458 -2.5325 -0.066324
7.28756 1462 -2.6114 -0.068297
7.29029 1466 -2.5281 -0.066029
7.29234 1469 -2.4076 -0.062817
7.29506 1473 -2.5962 -0.067646
7.29777 1477 -2.7224 -0.070838
7.30047 1481 -2.4706 -0.064199
7.30250 1484 -2.3595 -0.061251
7.30519 1488 -2.6926 -0.069803
7.30787 1492 -2.3718 -0.061403
7.30988 1495 -2.3659 -0.061189
7.31255 1499 -2.4806 -0.064070
7.31522 1503 -2.5697 -0.066283
7.31788 1507 -2.3196 -0.059751
7.32053 1511 -2.2148 -0.056977
7.32251 1514 -2.7282 -0.070116
7.32515 1518 -2.4832 -0.063735
7.32778 1522 -2.6152 -0.067034
7.33041 1526 -2.9985 -0.076759
7.33302 1530 -3.3043 -0.084477
7.33563 1534 -3.4161 -0.087219
7.33824 1538 -3.6912 -0.094121
7.34019 1541 -3.6202 -0.092222
7.34278 1545 -3.4388 -0.087486
7.34536 1549 -3.4555 -0.087797
7.34794 1553 -3.7179 -0.094344
7.35052 1557 -3.6502 -0.092507
7.35308 1561 -3.7644 -0.095277
7.35564 1565 -4.1003 -0.103647
7.35819 1569 -4.1011 -0.103534
7.36074 1573 -4.1820 -0.105443
7.36328 1577 -4.1721 -0.105060
7.36581 1581 -4.0277 -0.101297
7.36834 1585 -3.6467 -0.091597
7.37086 1589 -3.6570 -0.091741
7.37337 1593 -4.1514 -0.104014
7.37588 1597 -3.9258 -0.098236
7.37838 1601 -4.3585 -0.108928
7.38088 1605 -4.7509 -0.118587
7.38337 1609 -4.4829 -0.111758
7.38585 1613 -4.5936 -0.114377
7.38833 1617 -4.6953 -0.116764
7.39080 1621 -4.6086 -0.114466
7.39326 1625 -4.0642 -0.100820
7.39572 1629 -4.1432 -0.102653
7.39817 1633 -4.0627 -0.100536
7.40062 1637 -3.6698 -0.090702
7.40367 1642 -3.8812 -0.095781
7.40610 1646 -4.1003 -0.101065
7.40853 1650 -4.2517 -0.104669
7.41095 1654 -4.4978 -0.110593
7.41337 1658 -4.6971 -0.115354
7.41578 1662 -4.3979 -0.107878
7.41878 1667 -4.4041 -0.107868
7.42118 1671 -4.7055 -0.115110
7.42357 1675 -4.4003 -0.107517
7.42595 1679 -4.1980 -0.102451
7.42833 1683 -4.5941 -0.111985
7.43130 1688 -4.2915 -0.104453
7.43367 1692 -4.3385 -0.105473
7.43603 1696 -4.5761 -0.111117
7.43838 1700 -3.9572 -0.095976
7.44132 1705 -4.0757 -0.098705
7.44366 1709 -4.3215 -0.104537
7.44600 1713 -4.2848 -0.103526
7.44892 1718 -4.1814 -0.100881
7.45124 1722 -4.3875 -0.105729
7.45356 1726 -4.3103 -0.103749
7.45645 1731 -4.3138 -0.103685
7.45876 1735 -4.5451 -0.109118
7.46107 1739 -4.3763 -0.104945
7.46394 1744 -4.6192 -0.110610
7.46623 1748 -5.2581 -0.125765
7.46908 1753 -5.0054 -0.119549
7.47136 1757 -4.8156 -0.114886
7.47364 1761 -5.1701 -0.123202
7.47647 1766 -4.7848 -0.113860
7.47873 1770 -4.6409 -0.110311
7.48156 1775 -4.9528 -0.117558
7.48381 1779 -4.7471 -0.112548
7.48661 1784 -5.0424 -0.119382
7.48885 1788 -5.5767 -0.131883
7.49165 1793 -5.3031 -0.125239
7.49387 1797 -5.5420 -0.130735
7.49665 1802 -5.6185 -0.132355
7.49887 1806 -5.1238 -0.120569
7.50163 1811 -5.2962 -0.124453
7.50384 1815 -5.3134 -0.124720
7.50659 1820 -5.0440 -0.118233
7.50934 1825 -5.4167 -0.126795
7.51152 1829 -5.5997 -0.130936
7.51425 1834 -5.5920 -0.130576
7.51698 1839 -6.5866 -0.153594
7.51915 1843 -6.3115 -0.147017
